184,"select top # objid, modelmag_u, modelmag_g, modelmag_r, modelmag_i, modelmag_z, z from SpecPhoto where class = #"
2019-01-04 22:17:00,1
2019-01-17 08:57:00,1
2019-01-17 08:58:00,3
2019-01-17 08:59:00,4
2019-01-17 09:00:00,1
2019-01-17 09:17:00,1
2019-01-17 09:21:00,1
2019-01-17 09:23:00,1
2019-01-17 09:24:00,1
2019-01-17 09:26:00,1
2019-01-17 09:43:00,1
2019-01-17 09:53:00,2
2019-01-18 06:43:00,1
2019-01-18 07:10:00,5
2019-01-18 07:11:00,2
2019-01-18 07:12:00,3
2019-01-21 13:14:00,1
2019-01-23 15:42:00,1
2019-01-23 15:59:00,1
2019-01-23 16:00:00,1
2019-01-26 21:43:00,2
2019-01-30 12:55:00,2
2019-01-30 14:00:00,1
2019-01-30 14:30:00,1
2019-01-31 09:57:00,1
2019-02-01 08:14:00,1
2019-02-01 14:44:00,1
2019-02-04 15:00:00,1
2019-02-04 15:07:00,1
2019-02-04 17:57:00,2
2019-02-04 17:59:00,1
2019-02-08 20:38:00,1
2019-02-13 21:07:00,1
2019-02-19 14:58:00,1
2019-02-20 17:20:00,1
2019-02-23 09:29:00,1
2019-02-23 09:34:00,1
2019-02-24 11:11:00,1
2019-02-24 11:12:00,1
2019-02-24 11:20:00,1
2019-02-24 18:38:00,1
2019-02-24 19:49:00,1
2019-03-01 03:43:00,1
2019-03-01 03:48:00,1
2019-03-03 08:22:00,1
2019-03-03 08:24:00,1
2019-03-03 08:25:00,1
2019-03-03 08:26:00,1
2019-03-03 08:29:00,1
2019-04-09 16:05:00,1
2019-04-10 01:10:00,1
2019-04-16 11:53:00,1
2019-04-30 07:29:00,1
2019-05-01 05:37:00,1
2019-05-01 06:08:00,1
2019-05-01 06:24:00,1
2019-05-01 06:26:00,1
2019-05-01 06:28:00,1
2019-05-01 06:30:00,1
2019-05-01 06:32:00,1
2019-05-01 06:37:00,1
2019-05-01 08:12:00,1
2019-05-06 19:15:00,1
2019-05-08 07:35:00,1
2019-05-08 07:36:00,1
2019-05-10 19:14:00,1
2019-05-10 22:06:00,1
2019-05-11 00:32:00,2
2019-05-14 18:24:00,1
2019-05-14 18:25:00,1
2019-05-15 18:25:00,1
2019-05-20 23:25:00,1
2019-05-20 23:27:00,1
2019-05-30 06:25:00,1
2019-06-03 09:41:00,1
2019-06-03 09:46:00,2
2019-06-20 17:31:00,1
2019-06-20 18:21:00,1
2019-06-21 08:07:00,1
2019-06-21 08:13:00,1
2019-06-21 10:18:00,1
2019-06-21 10:21:00,1
2019-06-28 18:04:00,1
2019-06-29 17:43:00,1
2019-06-29 21:45:00,1
2019-07-01 12:20:00,1
2019-07-06 04:55:00,1
2019-07-10 11:11:00,2
2019-07-10 11:12:00,1
2019-07-10 11:19:00,1
2019-07-10 11:22:00,1
2019-07-10 11:26:00,1
2019-07-10 11:28:00,1
2019-07-10 11:29:00,1
2019-07-10 11:30:00,1
2019-07-10 11:37:00,1
2019-07-10 11:46:00,1
2019-07-10 12:20:00,3
2019-07-10 12:22:00,1
2019-07-10 14:30:00,1
2019-07-10 14:41:00,1
2019-07-11 09:32:00,1
2019-07-11 10:12:00,1
2019-07-11 10:14:00,2
2019-07-11 10:17:00,1
2019-07-11 10:37:00,2
2019-07-11 10:54:00,1
2019-07-11 23:03:00,2
2019-07-11 23:11:00,1
2019-07-12 16:19:00,1
2019-07-13 18:55:00,1
2019-07-13 18:56:00,1
2019-07-15 10:36:00,1
2019-07-15 11:48:00,2
2019-07-15 11:49:00,3
2019-07-15 12:06:00,1
2019-07-15 12:07:00,1
2019-07-15 12:09:00,2
2019-07-16 10:20:00,3
2019-07-16 10:37:00,2
2019-08-13 19:22:00,1
2019-08-27 18:13:00,1
2019-08-27 18:14:00,1
2019-08-27 18:15:00,1
2019-08-27 18:17:00,1
2019-08-27 18:20:00,2
2019-08-27 18:35:00,2
2019-08-27 18:56:00,1
2019-08-27 18:58:00,1
2019-09-28 17:56:00,1
2019-09-29 04:58:00,1
2019-09-29 05:03:00,1
2019-10-07 18:19:00,2
2019-10-09 17:53:00,1
2019-10-22 14:08:00,1
2019-10-22 14:13:00,1
2019-10-22 14:20:00,1
2019-10-22 14:58:00,1
2019-10-25 07:33:00,1
2019-10-25 08:38:00,1
2019-11-01 15:37:00,2
2019-11-15 15:55:00,1
2019-11-17 14:00:00,1
2019-12-07 19:53:00,1
2019-12-19 04:43:00,1
2019-12-19 11:31:00,1
2019-12-19 11:32:00,1
2019-12-19 11:41:00,1
2019-12-21 21:16:00,1
