274,"SELECT up_id, dbo.fGetNearestObjIdEq (up_ra, up_dec, #) as objId FROM #upload WHERE dbo.fGetNearestObjIdEq (up_ra, up_dec, #) IS NOT # EXEC spExecuteSQL #'< a target = INFO href = http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx? id = # + cast (x.objId as varchar (#) ) + #> #+ cast (x.objId as varchar (#) ) + #< /a> # as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, s.specObjID, s.plate, s.mjd, s.fiberID, s.z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID JOIN SpecObjAll s ON p.objID = s.bestObjID ORDER by x.up_id ##', @log = #, @filter = #"
2019-01-05 09:42:00,1
2019-01-05 11:16:00,1
2019-01-05 11:19:00,1
2019-01-05 11:24:00,1
2019-01-05 11:27:00,1
2019-01-05 11:41:00,1
2019-01-05 11:46:00,1
2019-01-05 11:50:00,1
2019-01-05 11:55:00,1
2019-01-05 11:57:00,1
2019-01-05 12:02:00,1
2019-01-05 12:04:00,1
2019-01-05 12:07:00,1
2019-01-05 12:09:00,1
2019-01-05 12:11:00,1
2019-01-05 12:15:00,1
2019-01-05 12:19:00,1
2019-01-05 12:20:00,1
2019-01-05 12:24:00,1
2019-01-05 12:26:00,1
2019-01-05 12:28:00,1
2019-01-05 12:32:00,1
2019-01-05 12:35:00,1
2019-01-05 12:36:00,1
2019-01-05 12:38:00,1
2019-01-05 12:39:00,1
2019-01-05 12:40:00,1
2019-01-05 12:43:00,1
2019-01-05 12:45:00,1
2019-01-05 12:46:00,1
2019-01-05 12:48:00,1
2019-01-05 12:49:00,1
2019-01-05 12:54:00,1
2019-01-05 12:57:00,1
2019-01-05 12:58:00,1
2019-01-05 12:59:00,1
2019-01-05 13:02:00,1
2019-01-05 13:03:00,1
2019-01-05 13:04:00,1
2019-01-05 13:06:00,1
2019-01-05 13:07:00,1
2019-01-05 13:08:00,1
2019-01-05 13:09:00,1
2019-01-05 13:11:00,1
2019-01-05 13:12:00,1
2019-01-05 13:14:00,1
2019-01-08 08:23:00,1
2019-01-15 16:16:00,1
2019-01-15 18:16:00,1
2019-01-21 13:43:00,1
2019-01-24 09:06:00,1
2019-01-24 16:08:00,1
2019-01-30 03:30:00,1
2019-01-30 07:44:00,2
2019-01-31 02:20:00,1
2019-02-01 13:06:00,1
2019-02-08 09:06:00,1
2019-02-08 09:34:00,1
2019-02-11 15:03:00,1
2019-02-11 15:05:00,1
2019-02-12 07:26:00,1
2019-02-13 09:14:00,1
2019-02-13 17:39:00,1
2019-02-19 13:51:00,1
2019-02-19 14:24:00,1
2019-02-19 14:25:00,2
2019-02-21 12:51:00,2
2019-02-21 13:10:00,1
2019-02-21 14:43:00,2
2019-02-21 14:44:00,1
2019-02-21 14:45:00,1
2019-02-23 02:37:00,1
2019-02-23 02:43:00,1
2019-02-23 14:28:00,1
2019-02-23 14:29:00,1
2019-02-23 14:34:00,1
2019-02-24 22:55:00,1
2019-02-24 23:10:00,1
2019-02-28 11:54:00,1
2019-03-02 13:58:00,1
2019-03-04 05:10:00,1
2019-03-04 05:15:00,1
2019-03-04 05:21:00,1
2019-03-04 05:22:00,1
2019-03-06 05:16:00,1
2019-03-06 05:17:00,1
2019-03-07 16:08:00,1
2019-03-07 16:09:00,1
2019-03-08 09:16:00,1
2019-03-08 09:17:00,1
2019-03-08 09:19:00,1
2019-03-12 12:28:00,2
2019-03-21 18:35:00,1
2019-03-26 09:47:00,1
2019-03-26 10:17:00,1
2019-03-26 10:18:00,1
2019-03-26 23:56:00,2
2019-03-29 09:48:00,1
2019-04-16 01:57:00,1
2019-04-16 02:01:00,1
2019-04-22 12:14:00,1
2019-04-22 12:15:00,1
2019-04-22 12:16:00,2
2019-04-23 07:09:00,1
2019-04-23 07:15:00,1
2019-04-23 07:16:00,1
2019-04-25 11:19:00,2
2019-04-25 11:25:00,1
2019-04-28 17:22:00,1
2019-04-28 17:44:00,1
2019-04-28 20:31:00,1
2019-04-28 22:23:00,1
2019-04-29 14:57:00,1
2019-04-29 15:01:00,1
2019-04-29 15:19:00,1
2019-04-29 15:29:00,2
2019-04-29 15:30:00,1
