169,select top # *
2019-01-06 10:13:00,1
2019-01-06 10:14:00,1
2019-01-06 10:17:00,1
2019-01-15 15:21:00,1
2019-01-15 15:23:00,2
2019-01-15 15:42:00,2
2019-01-16 01:31:00,1
2019-01-16 01:32:00,2
2019-01-16 01:33:00,1
2019-01-16 01:34:00,1
2019-01-16 01:49:00,1
2019-01-16 01:51:00,2
2019-01-27 12:35:00,1
2019-01-27 12:36:00,1
2019-01-30 12:01:00,2
2019-02-09 21:57:00,1
2019-02-10 08:14:00,1
2019-02-10 08:15:00,1
2019-02-10 13:09:00,1
2019-02-10 13:10:00,1
2019-02-10 13:13:00,3
2019-02-13 03:29:00,1
2019-02-15 14:13:00,1
2019-02-15 14:14:00,1
2019-02-25 09:41:00,1
2019-02-25 09:46:00,1
2019-03-15 09:03:00,2
2019-03-15 09:14:00,3
2019-03-15 09:32:00,1
2019-03-15 17:39:00,1
2019-03-19 07:07:00,2
2019-03-19 07:08:00,1
2019-03-20 01:23:00,1
2019-03-25 15:42:00,1
2019-03-25 15:55:00,1
2019-03-25 22:10:00,1
2019-03-25 22:11:00,1
2019-04-09 11:58:00,1
2019-04-18 02:32:00,1
2019-05-14 10:53:00,1
2019-05-14 10:54:00,1
2019-06-07 16:55:00,2
2019-06-20 17:54:00,2
2019-06-21 09:20:00,1
2019-06-30 13:13:00,1
2019-07-01 01:18:00,1
2019-07-12 12:10:00,1
2019-07-16 17:19:00,4
2019-07-16 17:20:00,1
2019-07-16 17:21:00,1
2019-07-30 14:10:00,2
2019-07-30 14:18:00,2
2019-07-30 16:29:00,1
2019-07-30 16:30:00,1
2019-07-31 17:23:00,3
2019-08-01 11:55:00,1
2019-08-01 13:32:00,1
2019-08-08 08:28:00,1
2019-08-08 08:29:00,1
2019-08-08 08:31:00,2
2019-08-08 14:48:00,1
2019-08-09 08:00:00,1
2019-08-09 12:57:00,1
2019-08-09 15:48:00,1
2019-08-18 09:33:00,3
2019-08-28 13:39:00,1
2019-08-30 09:00:00,1
2019-09-18 19:16:00,2
2019-09-18 19:18:00,4
2019-09-18 19:19:00,1
2019-09-18 19:20:00,1
2019-09-18 19:24:00,1
2019-09-18 19:25:00,1
2019-09-18 19:26:00,1
2019-09-18 19:36:00,1
2019-09-30 14:04:00,1
2019-09-30 16:17:00,2
2019-09-30 16:18:00,1
2019-09-30 16:19:00,2
2019-09-30 16:20:00,1
2019-09-30 16:21:00,5
2019-09-30 16:23:00,1
2019-09-30 16:40:00,1
2019-10-09 17:46:00,1
2019-10-11 14:18:00,2
2019-10-15 12:32:00,1
2019-10-15 12:34:00,1
2019-10-15 13:02:00,1
2019-10-15 13:30:00,1
2019-10-16 05:46:00,2
2019-10-16 05:48:00,1
2019-10-16 06:01:00,1
2019-10-16 06:07:00,2
2019-10-16 06:08:00,3
2019-10-16 06:09:00,1
2019-10-16 06:10:00,2
2019-10-22 14:03:00,1
2019-10-22 15:55:00,2
2019-10-22 15:56:00,2
2019-10-22 15:57:00,1
2019-10-23 04:52:00,2
2019-11-09 15:26:00,1
2019-11-10 08:59:00,1
2019-11-15 08:39:00,1
2019-11-20 12:13:00,1
2019-11-20 12:17:00,1
2019-11-25 08:54:00,1
2019-11-25 08:57:00,1
2019-11-25 09:01:00,1
2019-11-25 09:02:00,1
2019-11-25 09:05:00,1
2019-11-26 08:22:00,1
2019-11-26 08:26:00,1
2019-11-26 08:28:00,1
2019-11-26 10:38:00,1
2019-11-26 10:41:00,1
2019-11-28 02:59:00,1
2019-11-28 03:00:00,1
2019-11-28 03:03:00,1
2019-11-28 03:05:00,1
2019-12-09 17:14:00,1
2019-12-11 13:56:00,1
2019-12-29 02:55:00,1
2019-12-31 11:31:00,1
2019-12-31 11:33:00,2
2019-12-31 11:37:00,1
