6527,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-18 11:25:00,1
2019-02-18 11:32:00,9
2019-02-18 11:35:00,17
2019-02-18 11:36:00,123
2019-02-18 11:37:00,119
2019-02-18 11:38:00,125
2019-02-18 11:39:00,123
2019-02-18 11:40:00,119
2019-02-18 11:41:00,132
2019-02-18 11:42:00,128
2019-02-18 11:43:00,136
2019-02-18 11:44:00,133
2019-02-18 11:45:00,133
2019-02-18 11:46:00,136
2019-02-18 11:47:00,133
2019-02-18 11:48:00,128
2019-02-18 11:49:00,135
2019-02-18 11:50:00,61
2019-02-18 23:55:00,103
2019-02-18 23:56:00,112
2019-02-18 23:57:00,104
2019-02-18 23:58:00,102
2019-02-18 23:59:00,108
2019-02-19 00:00:00,110
2019-02-19 00:01:00,116
2019-02-19 00:02:00,122
2019-02-19 00:03:00,118
2019-02-19 00:04:00,130
2019-02-19 00:05:00,128
2019-02-19 00:06:00,142
2019-02-19 00:07:00,138
2019-02-19 00:08:00,118
2019-02-19 00:09:00,153
2019-02-19 00:10:00,148
2019-02-19 00:11:00,142
2019-02-19 00:12:00,144
2019-02-19 00:13:00,149
2019-02-19 00:14:00,136
2019-02-19 00:15:00,120
2019-02-19 00:16:00,132
2019-02-19 00:17:00,126
2019-02-19 00:18:00,24
2019-02-23 16:14:00,47
2019-02-23 16:15:00,53
2019-02-26 15:42:00,16
2019-02-26 15:43:00,79
2019-02-26 15:44:00,3
2019-02-26 15:45:00,4
2019-02-26 15:46:00,2
2019-02-26 15:47:00,3
2019-02-26 15:48:00,2
2019-02-26 15:50:00,10
2019-02-26 15:51:00,76
2019-02-26 15:52:00,120
2019-02-26 15:53:00,87
2019-03-05 11:13:00,1
2019-03-05 11:14:00,10
2019-03-05 11:15:00,9
2019-03-05 11:16:00,7
2019-03-05 11:17:00,163
2019-03-05 11:18:00,196
2019-03-05 11:19:00,189
2019-03-05 11:20:00,173
2019-03-05 11:21:00,170
2019-03-05 11:22:00,109
2019-03-05 11:51:00,165
2019-03-05 11:52:00,17
