1949,select * from zoo2MainSpecz where dr8objid = #
2019-01-01 04:47:00,1
2019-01-01 05:03:00,1
2019-01-01 05:28:00,1
2019-01-01 08:38:00,1
2019-01-01 10:41:00,1
2019-01-02 00:26:00,1
2019-01-02 01:13:00,1
2019-01-02 02:29:00,1
2019-01-02 06:57:00,1
2019-01-02 09:17:00,1
2019-01-02 14:35:00,1
2019-01-02 15:29:00,1
2019-01-02 15:51:00,1
2019-01-02 17:31:00,1
2019-01-02 18:08:00,1
2019-01-02 18:42:00,1
2019-01-02 19:57:00,1
2019-01-02 20:20:00,1
2019-01-02 21:31:00,1
2019-01-02 23:51:00,1
2019-01-03 00:22:00,1
2019-01-03 02:10:00,1
2019-01-03 03:31:00,1
2019-01-03 06:24:00,1
2019-01-03 07:15:00,1
2019-01-03 07:22:00,1
2019-01-03 10:04:00,1
2019-01-03 10:19:00,1
2019-01-03 11:10:00,1
2019-01-03 11:58:00,1
2019-01-03 12:16:00,1
2019-01-03 13:06:00,1
2019-01-03 14:10:00,1
2019-01-03 14:19:00,1
2019-01-03 14:58:00,1
2019-01-03 16:26:00,1
2019-01-03 16:34:00,1
2019-01-03 16:39:00,1
2019-01-03 16:53:00,1
2019-01-03 20:07:00,2
2019-01-04 00:42:00,1
2019-01-04 00:44:00,1
2019-01-04 00:49:00,1
2019-01-04 00:50:00,2
2019-01-04 01:00:00,1
2019-01-04 01:53:00,1
2019-01-04 02:16:00,1
2019-01-04 02:17:00,2
2019-01-04 03:00:00,1
2019-01-04 04:11:00,1
2019-01-04 04:42:00,1
2019-01-04 06:32:00,1
2019-01-04 07:19:00,1
2019-01-04 07:34:00,1
2019-01-04 08:12:00,1
2019-01-04 08:56:00,1
2019-01-04 09:35:00,1
2019-01-04 10:34:00,1
2019-01-04 11:45:00,1
2019-01-04 11:50:00,1
2019-01-04 12:02:00,1
2019-01-04 14:13:00,1
2019-01-04 15:09:00,1
2019-01-04 21:59:00,1
2019-01-04 22:57:00,1
2019-01-05 04:25:00,1
2019-01-05 04:26:00,1
2019-01-05 05:19:00,1
2019-01-05 08:50:00,1
2019-01-05 10:23:00,1
2019-01-05 11:34:00,1
2019-01-05 12:27:00,1
2019-01-05 15:24:00,1
2019-01-05 16:05:00,1
2019-01-05 23:58:00,1
2019-01-06 02:37:00,1
2019-01-06 04:11:00,1
2019-01-06 08:02:00,1
2019-01-06 09:02:00,1
2019-01-06 19:13:00,1
2019-01-06 22:03:00,1
2019-01-07 09:32:00,1
2019-01-07 10:02:00,1
2019-01-07 10:04:00,1
2019-01-07 13:21:00,1
2019-01-07 16:14:00,1
2019-01-07 17:03:00,1
2019-01-08 02:00:00,1
2019-01-08 11:44:00,1
2019-01-08 18:14:00,1
2019-01-08 19:04:00,1
2019-01-08 20:45:00,1
2019-01-10 02:00:00,1
2019-01-10 03:49:00,1
2019-01-10 05:12:00,1
2019-01-10 07:29:00,1
2019-01-10 16:17:00,1
2019-01-11 17:02:00,1
2019-01-12 07:06:00,1
2019-01-12 11:17:00,1
2019-01-14 19:35:00,1
2019-01-14 20:58:00,1
2019-01-15 00:17:00,1
2019-01-16 04:13:00,1
2019-01-19 09:35:00,1
2019-01-19 09:48:00,1
2019-01-19 21:34:00,1
2019-01-20 05:14:00,1
2019-01-20 09:30:00,1
2019-01-20 11:45:00,1
2019-01-22 00:47:00,1
2019-01-22 04:06:00,1
2019-01-22 15:21:00,1
2019-01-22 17:40:00,1
2019-01-22 20:17:00,1
2019-01-24 04:12:00,1
2019-01-24 04:24:00,1
2019-01-24 06:52:00,1
2019-01-24 07:25:00,1
2019-01-24 15:33:00,1
2019-01-24 23:39:00,1
2019-01-25 20:48:00,1
2019-01-27 04:02:00,8
2019-01-27 05:45:00,1
2019-01-27 07:25:00,1
2019-01-27 09:03:00,1
2019-01-27 10:03:00,1
2019-01-27 17:42:00,1
2019-01-27 20:14:00,1
2019-01-28 09:50:00,1
2019-01-28 10:46:00,1
2019-01-28 13:53:00,1
2019-01-28 16:06:00,1
2019-01-28 17:05:00,1
2019-01-29 02:14:00,1
2019-01-29 18:24:00,1
2019-01-30 06:04:00,23
2019-01-30 09:15:00,1
2019-01-30 10:57:00,1
2019-01-30 11:03:00,1
2019-01-30 22:47:00,1
2019-01-30 23:38:00,1
2019-01-30 23:57:00,1
2019-01-31 00:56:00,1
2019-01-31 06:14:00,1
2019-01-31 06:17:00,1
2019-01-31 18:18:00,1
2019-01-31 19:34:00,1
2019-01-31 23:28:00,1
2019-02-01 07:42:00,1
2019-02-01 14:44:00,2
2019-02-01 14:56:00,1
2019-02-01 18:21:00,8
2019-02-01 18:22:00,35
2019-02-01 18:23:00,10
2019-02-01 20:21:00,1
2019-02-01 20:52:00,1
2019-02-01 22:39:00,6
2019-02-01 23:57:00,1
