179,"SELECT TOP # s.apogee_id, s.ra, s.dec, s.glon, s.glat, s.vhelio_avg, s.vscatter, a.teff, a.teff_err, a.logg, a.logg_err, a.metals, a.metals_err, a.alphafe, a.alphafe_err, dbo.fApogeeAspcapFlagN (a.aspxcapflag) , dbo.fApogeeStarFlagN (s.starflag) FROM apogeeStar s JOIN aspcapStar a on a.apstar_id = s.apstar_id WHERE (a.aspxcapflag & dbo.fApogeeAspcapFlag (#) ) = # and s.commiss = # and (s.apogee_target1 & (dbo.fApogeeTarget1 (#) + dbo.fApogeeTarget1 (#) + dbo.fApogeeTarget1 (#) )) ! = #"
2019-01-01 10:06:00,1
2019-01-02 01:57:00,1
2019-01-05 09:36:00,1
2019-01-08 06:56:00,1
2019-01-10 22:47:00,1
2019-01-24 13:50:00,1
2019-01-25 17:48:00,1
2019-01-27 22:48:00,1
2019-01-28 16:15:00,1
2019-01-29 03:49:00,1
2019-02-02 15:48:00,1
2019-02-08 05:21:00,1
2019-02-11 22:22:00,1
2019-02-12 19:52:00,1
2019-02-12 19:57:00,1
2019-02-19 00:15:00,1
2019-02-24 07:44:00,1
2019-02-24 20:59:00,1
2019-02-26 02:58:00,1
2019-02-28 08:58:00,1
2019-03-01 04:52:00,1
2019-03-01 17:08:00,1
2019-03-01 22:09:00,1
2019-03-04 23:58:00,1
2019-03-06 11:57:00,1
2019-03-06 13:56:00,1
2019-03-07 07:04:00,1
2019-03-07 14:10:00,1
2019-03-08 22:04:00,1
2019-03-09 12:18:00,1
2019-03-09 15:15:00,1
2019-03-09 20:02:00,1
2019-03-11 11:18:00,1
2019-03-11 22:27:00,1
2019-03-14 11:36:00,1
2019-03-15 19:38:00,1
2019-03-20 15:40:00,1
2019-03-25 02:26:00,1
2019-03-26 11:14:00,1
2019-03-28 18:45:00,1
2019-03-30 10:02:00,1
2019-04-01 20:15:00,1
2019-04-04 13:45:00,1
2019-04-07 14:36:00,1
2019-04-07 19:17:00,1
2019-04-14 13:07:00,1
2019-04-15 11:00:00,1
2019-04-18 10:12:00,2
2019-04-22 19:56:00,1
2019-04-22 23:39:00,1
2019-04-27 19:10:00,1
2019-04-28 03:53:00,1
2019-04-30 11:49:00,1
2019-05-06 08:53:00,1
2019-05-08 18:02:00,1
2019-05-11 07:46:00,1
2019-05-14 08:31:00,1
2019-05-15 23:16:00,2
2019-05-17 05:03:00,1
2019-05-17 05:10:00,1
2019-05-19 21:26:00,1
2019-05-20 19:37:00,1
2019-05-21 06:56:00,1
2019-05-22 13:41:00,1
2019-05-24 20:07:00,1
2019-05-25 07:32:00,1
2019-05-29 04:48:00,1
2019-05-30 04:17:00,1
2019-05-31 17:59:00,1
2019-06-01 15:34:00,1
2019-06-05 18:42:00,1
2019-06-06 05:45:00,1
2019-06-10 06:21:00,1
2019-06-11 01:59:00,1
2019-06-11 05:34:00,1
2019-06-16 17:59:00,1
2019-06-19 14:10:00,1
2019-06-23 18:03:00,1
2019-06-24 02:51:00,1
2019-06-24 08:34:00,1
2019-06-24 20:21:00,1
2019-06-27 03:08:00,1
2019-06-27 20:05:00,1
2019-07-02 19:03:00,1
2019-07-03 10:18:00,1
2019-07-05 12:10:00,1
2019-07-08 05:52:00,1
2019-07-12 03:35:00,1
2019-07-13 05:05:00,1
2019-07-14 02:26:00,1
2019-07-20 05:21:00,1
2019-07-28 08:48:00,1
2019-07-30 23:15:00,1
2019-08-04 21:49:00,1
2019-08-09 15:00:00,1
2019-08-11 01:16:00,1
2019-08-12 17:11:00,1
2019-08-17 07:42:00,1
2019-08-27 23:02:00,1
2019-08-28 00:25:00,1
2019-08-31 20:58:00,1
2019-09-01 08:42:00,1
2019-09-02 18:24:00,1
2019-09-07 17:43:00,1
2019-09-09 01:11:00,1
2019-09-10 08:29:00,1
2019-09-10 09:06:00,1
2019-09-12 09:14:00,1
2019-09-18 14:21:00,1
2019-09-18 18:01:00,1
2019-09-18 19:28:00,1
2019-09-20 00:57:00,1
2019-09-21 13:22:00,1
2019-09-22 19:35:00,1
2019-09-23 06:02:00,1
2019-09-26 05:11:00,1
2019-09-29 22:33:00,1
2019-10-02 07:21:00,1
2019-10-03 20:20:00,1
2019-10-05 11:30:00,1
2019-10-08 03:48:00,1
2019-10-08 15:12:00,1
2019-10-09 17:25:00,1
2019-10-10 19:51:00,1
2019-10-15 15:23:00,1
2019-10-17 13:10:00,1
2019-10-21 11:04:00,1
2019-10-22 09:02:00,1
2019-10-23 00:05:00,1
2019-10-24 08:28:00,1
2019-10-24 15:23:00,1
2019-10-25 03:06:00,1
2019-10-25 10:53:00,1
2019-10-25 18:34:00,1
2019-10-25 18:35:00,1
2019-10-26 05:56:00,1
2019-10-26 15:01:00,1
2019-10-28 17:39:00,1
2019-10-30 21:26:00,1
2019-11-02 00:20:00,1
2019-11-02 23:03:00,1
2019-11-04 14:02:00,1
2019-11-08 21:16:00,1
2019-11-09 16:44:00,1
2019-11-12 14:55:00,1
2019-11-13 19:19:00,1
2019-11-14 00:28:00,1
2019-11-14 15:28:00,1
2019-11-15 02:56:00,1
2019-11-15 16:29:00,1
2019-11-16 13:09:00,1
2019-11-16 21:29:00,1
2019-11-17 16:19:00,1
2019-11-19 19:24:00,1
2019-11-20 02:19:00,1
2019-11-22 08:58:00,1
2019-11-27 12:54:00,1
2019-12-01 00:31:00,1
2019-12-05 00:17:00,1
2019-12-05 01:08:00,1
2019-12-05 03:02:00,1
2019-12-05 11:03:00,1
2019-12-05 11:04:00,1
2019-12-06 07:36:00,1
2019-12-10 22:16:00,1
2019-12-12 00:50:00,1
2019-12-12 06:48:00,1
2019-12-13 10:31:00,1
2019-12-13 13:51:00,1
2019-12-14 02:45:00,1
2019-12-18 10:57:00,1
2019-12-19 18:34:00,1
2019-12-22 14:09:00,1
2019-12-23 08:56:00,1
2019-12-25 05:10:00,1
2019-12-27 13:18:00,1
2019-12-30 07:01:00,1
