162,select specobjid from specobjall where specobjall.dec between # and # and specobjall.ra between # and #
2019-02-26 17:02:00,2
2019-02-28 13:27:00,3
2019-02-28 17:48:00,1
2019-02-28 23:25:00,1
2019-03-01 00:18:00,1
2019-03-01 00:19:00,2
2019-03-01 10:57:00,2
2019-03-01 14:48:00,4
2019-03-01 14:56:00,3
2019-03-01 15:42:00,1
2019-03-01 16:51:00,1
2019-03-01 16:58:00,1
2019-03-01 17:14:00,1
2019-03-01 17:15:00,1
2019-03-01 17:16:00,2
2019-03-01 17:21:00,1
2019-03-02 09:09:00,2
2019-03-02 13:26:00,1
2019-03-02 16:42:00,1
2019-03-02 20:54:00,5
2019-03-02 21:03:00,1
2019-03-03 13:09:00,4
2019-03-03 13:46:00,2
2019-03-03 16:02:00,2
2019-03-03 16:30:00,12
2019-03-03 16:31:00,1
2019-03-03 16:51:00,2
2019-03-03 16:58:00,12
2019-03-03 16:59:00,6
2019-03-04 21:17:00,2
2019-03-04 21:21:00,1
2019-03-04 21:27:00,2
2019-03-04 21:35:00,1
2019-03-04 22:02:00,1
2019-03-04 23:11:00,8
2019-03-04 23:24:00,1
2019-03-04 23:42:00,6
2019-03-04 23:50:00,5
2019-03-04 23:56:00,5
2019-03-05 00:03:00,7
2019-03-05 00:10:00,6
2019-03-05 00:11:00,1
2019-03-05 05:50:00,1
2019-03-05 06:07:00,4
2019-03-05 06:08:00,3
2019-03-05 06:26:00,1
2019-03-05 08:48:00,2
2019-03-05 08:49:00,1
2019-03-05 08:50:00,2
2019-03-05 09:18:00,1
2019-03-05 09:19:00,1
2019-03-05 09:20:00,1
2019-03-05 09:21:00,1
2019-03-05 09:46:00,4
2019-03-05 09:47:00,1
2019-03-05 10:02:00,1
2019-03-05 10:08:00,2
2019-03-05 10:09:00,1
2019-03-05 10:51:00,1
2019-03-05 10:52:00,1
2019-03-05 17:23:00,1
2019-03-05 18:02:00,4
2019-03-12 10:25:00,2
2019-03-12 21:01:00,1
2019-03-13 23:35:00,1
