862,select objid from photoprimary where photoprimary.dec between .# and # and photoprimary.ra between # and #
2019-02-26 17:17:00,2
2019-02-26 17:18:00,1
2019-02-26 17:19:00,1
2019-02-26 17:23:00,1
2019-02-26 17:25:00,1
2019-02-26 17:48:00,2
2019-02-26 20:21:00,2
2019-02-26 20:22:00,1
2019-02-26 20:23:00,1
2019-02-26 20:25:00,1
2019-02-26 20:27:00,1
2019-02-26 20:40:00,2
2019-02-26 20:41:00,2
2019-02-26 20:44:00,2
2019-02-26 20:53:00,4
2019-02-26 20:55:00,1
2019-02-26 20:59:00,1
2019-02-26 21:02:00,2
2019-02-26 21:03:00,2
2019-02-26 21:04:00,1
2019-02-26 21:17:00,1
2019-02-26 21:20:00,1
2019-02-26 21:25:00,1
2019-02-26 21:38:00,1
2019-02-26 21:40:00,1
2019-02-26 21:42:00,1
2019-02-26 23:05:00,1
2019-02-26 23:56:00,1
2019-02-26 23:57:00,1
2019-02-26 23:58:00,1
2019-02-26 23:59:00,1
2019-02-27 00:00:00,1
2019-02-27 00:02:00,1
2019-02-27 00:03:00,2
2019-02-27 00:07:00,4
2019-02-27 00:09:00,1
2019-02-27 00:10:00,2
2019-02-27 00:11:00,2
2019-02-27 00:12:00,1
2019-02-27 00:25:00,1
2019-02-27 00:26:00,1
2019-02-27 00:27:00,2
2019-02-27 00:28:00,1
2019-02-27 00:29:00,1
2019-02-27 00:30:00,2
2019-02-27 00:31:00,2
2019-02-27 00:32:00,1
2019-02-27 00:33:00,2
2019-02-27 00:34:00,2
2019-02-27 00:35:00,1
2019-02-27 00:43:00,2
2019-02-27 00:44:00,1
2019-02-27 00:45:00,1
2019-02-27 00:46:00,1
2019-02-27 00:47:00,1
2019-02-27 00:48:00,1
2019-02-27 00:49:00,3
2019-02-27 00:50:00,2
2019-02-27 00:52:00,2
2019-02-27 00:57:00,1
2019-02-27 00:58:00,1
2019-02-27 01:03:00,1
2019-02-27 01:06:00,1
2019-02-27 01:27:00,1
2019-02-27 01:29:00,1
2019-02-27 06:37:00,2
2019-02-27 07:00:00,1
2019-02-27 07:53:00,1
2019-02-27 08:11:00,1
2019-02-27 12:18:00,1
2019-02-27 12:19:00,7
2019-02-27 13:28:00,2
2019-02-27 13:58:00,1
2019-02-27 13:59:00,1
2019-02-27 14:27:00,4
2019-02-27 14:28:00,2
2019-02-27 14:31:00,2
2019-02-27 14:32:00,4
2019-02-27 14:33:00,2
2019-02-27 14:34:00,2
2019-02-27 15:00:00,1
2019-02-27 15:02:00,2
2019-02-27 15:04:00,1
2019-02-28 03:20:00,5
2019-02-28 03:21:00,4
2019-02-28 03:58:00,3
2019-02-28 06:25:00,1
2019-02-28 07:00:00,2
2019-02-28 07:13:00,1
2019-02-28 07:20:00,17
2019-02-28 07:21:00,29
2019-02-28 07:22:00,3
2019-02-28 07:31:00,3
2019-02-28 07:32:00,10
2019-02-28 07:33:00,3
2019-02-28 07:48:00,1
2019-02-28 08:01:00,1
2019-02-28 08:06:00,1
2019-02-28 08:17:00,1
2019-02-28 08:20:00,1
2019-02-28 08:22:00,1
2019-02-28 09:07:00,1
2019-02-28 09:11:00,1
2019-02-28 09:38:00,1
2019-02-28 09:46:00,1
2019-02-28 10:14:00,1
2019-02-28 10:24:00,1
2019-02-28 11:06:00,1
2019-02-28 12:23:00,1
2019-02-28 12:24:00,2
2019-02-28 12:25:00,3
2019-02-28 12:26:00,1
2019-02-28 12:27:00,2
2019-02-28 12:28:00,4
2019-02-28 13:27:00,1
2019-02-28 23:25:00,1
2019-03-01 00:31:00,2
2019-03-01 00:32:00,1
2019-03-01 00:34:00,1
2019-03-01 16:55:00,1
2019-03-01 16:58:00,1
2019-03-01 20:21:00,1
2019-03-01 20:24:00,1
2019-03-01 20:27:00,3
2019-03-01 20:30:00,1
2019-03-01 20:31:00,4
2019-03-01 20:33:00,1
2019-03-01 20:34:00,1
2019-03-01 20:38:00,4
2019-03-02 02:09:00,1
2019-03-02 02:15:00,1
2019-03-02 04:53:00,1
2019-03-02 04:54:00,3
2019-03-02 05:02:00,1
2019-03-02 05:03:00,1
2019-03-02 05:11:00,1
2019-03-02 05:13:00,3
2019-03-02 05:19:00,1
