80,"SELECT p.objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-01-08 16:51:00,1
2019-01-10 01:14:00,1
2019-01-10 01:16:00,2
2019-01-10 01:43:00,1
2019-01-10 01:46:00,1
2019-01-10 03:33:00,1
2019-01-10 17:49:00,1
2019-01-10 17:50:00,1
2019-01-11 14:18:00,1
2019-01-11 14:20:00,1
2019-01-11 14:21:00,3
2019-01-11 14:22:00,7
2019-01-13 23:54:00,1
2019-02-11 20:43:00,2
2019-04-05 20:01:00,2
2019-04-05 20:02:00,1
2019-04-21 23:20:00,3
2019-04-22 22:23:00,1
2019-04-22 22:25:00,1
2019-04-22 22:26:00,2
2019-04-22 23:30:00,2
2019-04-22 23:32:00,1
2019-04-22 23:33:00,1
2019-04-23 00:18:00,3
2019-04-26 01:35:00,1
2019-05-01 16:52:00,3
2019-05-01 16:53:00,2
2019-05-01 17:19:00,4
2019-05-01 17:20:00,1
2019-05-03 00:38:00,1
2019-05-03 00:39:00,1
2019-05-03 03:27:00,1
2019-05-04 16:31:00,1
2019-05-08 02:11:00,1
2019-06-22 12:15:00,1
2019-06-23 05:48:00,1
2019-06-23 05:51:00,1
2019-06-23 05:53:00,1
2019-06-23 05:55:00,1
2019-06-23 05:57:00,1
2019-06-23 05:59:00,1
2019-06-23 06:00:00,1
2019-06-23 06:07:00,1
2019-06-23 06:08:00,2
2019-06-25 01:33:00,1
2019-06-25 01:34:00,1
2019-06-25 04:22:00,1
2019-06-25 04:23:00,1
2019-06-25 04:25:00,1
2019-06-25 04:37:00,1
2019-06-25 04:49:00,1
2019-06-25 05:06:00,1
2019-06-25 05:16:00,1
2019-06-25 05:25:00,1
2019-06-25 05:32:00,1
2019-11-24 07:15:00,1
