10443,"SELECT DISTINCT p.ra, p.dec, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.lnLExp_u, p.lnLDeV_u, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-28 16:51:00,48
2019-02-28 16:52:00,52
2019-02-28 16:54:00,41
2019-02-28 16:55:00,79
2019-02-28 17:03:00,57
2019-02-28 17:04:00,109
2019-02-28 17:05:00,92
2019-02-28 17:06:00,94
2019-02-28 17:07:00,92
2019-02-28 17:08:00,106
2019-02-28 17:09:00,88
2019-02-28 17:10:00,86
2019-02-28 17:11:00,101
2019-02-28 17:12:00,81
2019-02-28 17:13:00,75
2019-02-28 17:14:00,72
2019-02-28 17:15:00,79
2019-02-28 17:16:00,89
2019-02-28 17:17:00,87
2019-02-28 17:18:00,87
2019-02-28 17:19:00,95
2019-02-28 17:20:00,90
2019-02-28 17:21:00,83
2019-02-28 17:22:00,94
2019-02-28 17:23:00,82
2019-02-28 17:24:00,81
2019-02-28 17:25:00,66
2019-02-28 17:26:00,73
2019-02-28 17:27:00,68
2019-02-28 17:28:00,74
2019-02-28 17:29:00,80
2019-02-28 17:30:00,70
2019-02-28 17:31:00,70
2019-02-28 17:32:00,86
2019-02-28 17:33:00,74
2019-02-28 17:34:00,81
2019-02-28 17:35:00,88
2019-02-28 17:36:00,93
2019-02-28 17:37:00,91
2019-02-28 17:38:00,102
2019-02-28 17:39:00,92
2019-02-28 17:40:00,118
2019-02-28 17:41:00,83
2019-02-28 17:42:00,85
2019-02-28 17:43:00,124
2019-02-28 17:44:00,107
2019-02-28 17:45:00,103
2019-02-28 17:46:00,115
2019-02-28 17:47:00,112
2019-02-28 17:48:00,128
2019-02-28 17:49:00,134
2019-02-28 17:50:00,109
2019-02-28 17:51:00,143
2019-02-28 17:52:00,121
2019-02-28 17:53:00,56
2019-03-05 12:33:00,1
2019-03-05 19:06:00,1
2019-03-05 19:10:00,32
2019-03-05 19:11:00,129
2019-03-05 19:12:00,107
2019-03-05 19:13:00,103
2019-03-05 19:14:00,70
2019-03-05 19:15:00,63
2019-03-05 19:16:00,114
2019-03-05 19:17:00,140
2019-03-05 19:18:00,109
2019-03-05 19:19:00,144
2019-03-05 19:20:00,132
2019-03-05 19:21:00,104
2019-03-05 19:22:00,105
2019-03-05 19:23:00,114
2019-03-05 19:24:00,111
2019-03-05 19:25:00,62
2019-03-05 19:26:00,117
2019-03-05 19:27:00,162
2019-03-05 19:28:00,151
2019-03-05 19:29:00,121
2019-03-05 19:30:00,112
2019-03-05 19:31:00,122
2019-03-05 19:32:00,96
2019-03-05 19:33:00,75
2019-03-05 19:34:00,88
2019-03-05 19:35:00,118
2019-03-05 19:36:00,114
2019-03-05 19:37:00,156
2019-03-05 19:38:00,185
2019-03-05 19:39:00,184
2019-03-05 19:40:00,204
2019-03-05 19:41:00,214
2019-03-05 19:42:00,203
2019-03-05 19:43:00,159
2019-03-05 19:44:00,195
2019-03-05 19:45:00,157
2019-03-05 19:46:00,156
2019-03-05 19:47:00,123
2019-03-07 16:00:00,2
2019-03-18 06:47:00,31
2019-03-18 06:48:00,169
2019-03-18 06:49:00,44
2019-03-18 06:50:00,157
2019-03-18 06:51:00,139
2019-03-18 06:52:00,141
2019-03-18 06:53:00,21
