24,"SELECT TOP # b, l FROM PhotoPrimary -- for each object WHERE (l between # and #) and (b between # and #)"
2019-03-04 14:52:00,1
2019-03-04 14:56:00,1
2019-03-04 14:57:00,2
2019-03-04 15:02:00,1
2019-03-04 15:03:00,1
2019-03-04 15:05:00,1
2019-03-04 15:06:00,1
2019-03-04 15:08:00,2
2019-03-04 15:09:00,1
2019-03-04 15:11:00,1
2019-03-04 15:12:00,2
2019-03-04 15:14:00,3
2019-03-04 15:15:00,1
2019-03-04 15:27:00,1
2019-03-04 15:29:00,1
2019-03-06 13:28:00,1
2019-03-06 13:32:00,1
2019-03-06 13:33:00,2
