1567,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and # and photoprimary.r between .# and #
2019-03-06 05:08:00,3
2019-03-06 05:09:00,1
2019-03-06 05:10:00,1
2019-03-06 05:11:00,5
2019-03-06 05:12:00,102
2019-03-06 05:13:00,390
2019-03-06 05:14:00,103
2019-03-06 05:15:00,79
2019-03-06 05:16:00,1
2019-03-06 05:17:00,14
2019-03-06 05:18:00,132
2019-03-06 05:19:00,119
2019-03-06 05:20:00,7
2019-03-06 05:21:00,3
2019-03-06 05:22:00,73
2019-03-06 05:23:00,132
2019-03-06 05:24:00,19
2019-03-06 05:25:00,9
2019-03-06 14:49:00,11
2019-03-06 14:50:00,6
2019-03-06 14:51:00,3
2019-03-06 14:52:00,2
2019-03-06 14:53:00,3
2019-03-06 14:54:00,1
2019-03-06 14:56:00,1
2019-03-06 14:57:00,2
2019-03-06 15:00:00,3
2019-03-06 15:01:00,1
2019-03-06 15:02:00,4
2019-03-06 15:03:00,2
2019-03-06 15:04:00,2
2019-03-06 15:06:00,1
2019-03-06 18:51:00,8
2019-03-06 18:58:00,2
2019-03-07 16:01:00,59
2019-03-07 16:03:00,6
2019-03-14 07:48:00,39
2019-03-14 07:49:00,22
2019-03-14 07:50:00,10
2019-03-14 07:51:00,1
2019-03-14 08:11:00,1
2019-03-14 08:12:00,8
2019-03-14 08:14:00,1
2019-03-14 08:16:00,3
2019-03-14 08:17:00,2
2019-03-14 08:18:00,9
2019-03-14 08:19:00,1
2019-03-14 08:22:00,2
2019-03-14 08:23:00,3
2019-03-14 08:29:00,1
2019-03-14 08:30:00,9
2019-03-14 08:31:00,9
2019-03-14 08:34:00,4
2019-03-14 08:35:00,5
2019-03-14 08:36:00,5
2019-03-14 08:37:00,7
2019-03-14 08:46:00,1
2019-03-14 08:47:00,8
2019-03-14 08:48:00,6
2019-03-14 08:49:00,9
2019-03-14 08:55:00,2
2019-03-14 08:56:00,1
2019-03-14 08:57:00,1
2019-03-14 08:58:00,2
2019-03-14 08:59:00,1
2019-03-14 09:00:00,2
2019-03-14 09:01:00,8
2019-03-14 09:02:00,8
2019-03-14 09:03:00,12
2019-03-14 09:04:00,10
2019-03-14 09:05:00,3
2019-03-14 09:06:00,7
2019-03-14 09:07:00,3
2019-03-14 09:08:00,5
2019-03-14 09:09:00,10
2019-03-14 09:10:00,6
2019-03-14 09:14:00,5
2019-03-14 09:15:00,5
