145,"SELECT Top # p.objId, p.b, p.l, p.petror9#_r, p.expAB_r, p.dered_g, p.g, p.dered_r, p.r FROM galaxy AS p WHERE (b between # and #)"
2019-03-06 17:56:00,1
2019-03-06 17:58:00,1
2019-03-06 17:59:00,1
2019-03-06 18:01:00,1
2019-03-07 13:13:00,1
2019-03-07 13:14:00,5
2019-03-07 13:15:00,1
2019-03-07 13:16:00,1
2019-03-07 13:29:00,1
2019-03-07 14:24:00,3
2019-03-07 14:25:00,4
2019-03-07 14:29:00,1
2019-03-07 17:16:00,1
2019-03-07 17:18:00,1
2019-03-07 17:19:00,1
2019-03-07 17:21:00,3
2019-03-07 17:22:00,3
2019-03-07 17:25:00,6
2019-03-07 17:26:00,12
2019-03-07 17:28:00,6
2019-03-07 17:29:00,12
2019-03-07 17:30:00,6
2019-03-07 17:35:00,1
2019-03-07 17:44:00,6
2019-03-07 17:46:00,2
2019-03-07 17:47:00,16
2019-03-07 17:48:00,12
2019-03-07 17:49:00,6
2019-04-04 13:19:00,9
2019-04-04 13:20:00,9
2019-05-09 17:17:00,6
2019-05-09 17:20:00,6
