42,select * from MyDB.lightcone_fof_#
2019-03-06 15:27:00,1
2019-03-06 15:28:00,1
2019-03-06 15:30:00,1
2019-03-06 15:31:00,1
2019-03-06 17:42:00,1
2019-03-06 17:43:00,1
2019-03-06 17:50:00,1
2019-03-06 17:51:00,1
2019-03-07 12:54:00,1
2019-03-07 12:55:00,1
2019-03-07 13:01:00,1
2019-03-07 13:33:00,1
2019-03-07 13:35:00,1
2019-03-07 13:39:00,1
2019-03-07 13:41:00,1
2019-03-07 13:44:00,1
2019-03-07 16:01:00,2
2019-03-07 16:17:00,1
2019-03-07 16:18:00,1
2019-03-07 16:19:00,1
2019-03-07 16:20:00,1
2019-03-07 16:45:00,1
2019-03-13 13:33:00,1
2019-03-13 17:12:00,1
2019-03-13 17:14:00,1
2019-03-13 17:18:00,1
2019-03-15 12:00:00,1
2019-03-15 12:07:00,1
2019-03-15 12:10:00,1
2019-03-15 12:26:00,1
2019-03-15 12:27:00,1
2019-03-17 11:06:00,1
2019-03-17 11:15:00,1
2019-04-16 16:52:00,1
2019-04-16 18:11:00,1
2019-04-18 10:56:00,1
2019-04-18 11:12:00,1
2019-11-23 16:07:00,1
2019-11-23 16:20:00,1
2019-11-23 16:44:00,1
2019-11-24 14:30:00,1
