100,"SELECT TOP # bestObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # and #"
2019-03-07 15:41:00,1
2019-03-07 15:43:00,1
2019-03-07 15:46:00,1
2019-03-07 15:49:00,1
2019-03-07 15:56:00,3
2019-03-07 15:59:00,2
2019-03-07 16:00:00,1
2019-03-07 16:01:00,1
2019-03-07 16:02:00,2
2019-03-07 16:03:00,2
2019-03-07 16:04:00,1
2019-03-08 16:39:00,1
2019-03-08 16:45:00,1
2019-03-08 16:46:00,1
2019-03-08 16:51:00,1
2019-03-08 17:17:00,1
2019-03-08 17:20:00,1
2019-03-09 14:25:00,1
2019-03-10 10:17:00,1
2019-03-10 10:20:00,1
2019-03-10 10:21:00,1
2019-03-10 10:30:00,2
2019-03-10 10:32:00,2
2019-03-10 10:33:00,1
2019-03-10 13:40:00,1
2019-03-10 13:46:00,1
2019-03-12 20:02:00,2
2019-03-13 20:53:00,1
2019-03-13 21:05:00,1
2019-03-13 21:07:00,1
2019-03-13 21:11:00,1
2019-03-13 21:13:00,1
2019-03-13 21:15:00,1
2019-03-13 21:17:00,1
2019-03-13 21:18:00,1
2019-03-13 21:20:00,1
2019-03-13 21:24:00,1
2019-03-15 19:05:00,2
2019-03-15 19:06:00,3
2019-03-15 19:07:00,2
2019-03-17 09:42:00,1
2019-03-17 10:19:00,1
2019-03-17 10:34:00,2
2019-03-17 10:35:00,1
2019-03-17 10:36:00,2
2019-03-17 10:37:00,1
2019-03-17 10:38:00,1
2019-03-17 10:39:00,2
2019-03-17 10:40:00,1
2019-03-17 18:29:00,1
2019-03-21 10:01:00,1
2019-03-21 10:06:00,1
2019-03-21 10:08:00,1
2019-03-21 10:11:00,1
2019-03-21 10:17:00,1
2019-03-21 10:21:00,1
2019-03-21 10:29:00,1
2019-03-21 10:30:00,1
2019-03-21 10:33:00,1
2019-03-21 10:35:00,1
2019-03-21 10:38:00,1
2019-03-21 11:45:00,2
2019-03-21 11:46:00,1
2019-03-21 12:07:00,1
2019-03-21 12:15:00,1
2019-03-21 12:27:00,1
2019-03-21 14:01:00,1
2019-03-22 19:21:00,1
2019-03-25 17:12:00,1
2019-03-25 17:14:00,1
2019-03-25 17:16:00,1
2019-03-25 17:18:00,2
2019-03-25 17:19:00,2
2019-03-26 10:57:00,1
2019-03-26 12:43:00,2
2019-03-26 20:38:00,2
2019-03-26 20:45:00,2
2019-03-26 20:46:00,1
2019-04-16 08:04:00,1
