67,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-01-09 01:30:00,1
2019-01-17 23:03:00,1
2019-01-23 15:57:00,3
2019-01-31 21:07:00,1
2019-01-31 21:13:00,1
2019-02-01 13:37:00,1
2019-02-02 09:02:00,1
2019-02-11 07:43:00,1
2019-02-13 19:11:00,1
2019-02-18 18:47:00,1
2019-02-28 05:57:00,1
2019-03-02 14:26:00,1
2019-03-02 14:33:00,1
2019-03-24 07:54:00,1
2019-04-17 22:18:00,1
2019-04-23 09:21:00,1
2019-04-30 12:42:00,1
2019-05-23 02:54:00,1
2019-05-26 11:38:00,1
2019-05-26 11:39:00,1
2019-06-03 23:48:00,1
2019-06-11 08:50:00,1
2019-06-11 08:54:00,1
2019-06-25 23:23:00,1
2019-07-03 16:41:00,1
2019-07-03 16:42:00,1
2019-07-05 20:21:00,2
2019-07-05 20:22:00,1
2019-07-05 20:25:00,1
2019-07-05 20:48:00,1
2019-07-05 20:50:00,1
2019-07-05 20:57:00,1
2019-07-05 20:58:00,1
2019-07-06 15:28:00,1
2019-07-06 15:35:00,1
2019-07-07 01:07:00,3
2019-07-07 01:08:00,1
2019-07-07 01:10:00,2
2019-07-17 04:18:00,1
2019-07-22 14:11:00,1
2019-08-14 01:36:00,1
2019-08-14 12:24:00,1
2019-08-14 12:27:00,1
2019-08-22 04:17:00,1
2019-08-22 04:38:00,1
2019-08-22 06:48:00,1
2019-08-23 14:40:00,1
2019-08-26 10:06:00,1
2019-09-11 03:54:00,1
2019-09-11 04:01:00,1
2019-09-11 04:05:00,1
2019-09-23 22:33:00,1
2019-09-23 22:34:00,1
2019-10-07 09:45:00,1
2019-10-09 12:08:00,2
2019-11-08 19:43:00,1
2019-11-10 21:10:00,1
2019-12-20 16:36:00,1
2019-12-27 00:52:00,1
2019-12-31 07:41:00,1
