11,"SELECT TOP # p.extinction_g, p.extinction_i, p.extinction_r, p.petroMag_g, p.petroMag_i, p.petroMag_r, p.petroMagErr_g, p.petroMagErr_i, p.petroMagErr_r, p.petroR5#_r, p.petroR9#_r, IS# (s.z, #) as redshift, IS# (s.zErr, #) as redshiftErr FROM ..PhotoObj AS p LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON p.objID = b.objID WHERE p.petroMag_r > # AND p.petroMag_r < # AND (p.score > = #) AND (p.type = #)"
2019-03-17 20:18:00,1
2019-03-29 16:33:00,1
2019-04-08 03:20:00,1
2019-04-08 03:28:00,1
2019-04-08 04:01:00,1
2019-04-08 04:03:00,2
2019-04-08 04:09:00,1
2019-04-08 04:17:00,1
2019-04-09 03:09:00,1
2019-04-09 03:11:00,1
