52,SELECT count (*) as count
2019-03-20 18:03:00,1
2019-03-20 18:07:00,4
2019-03-20 18:08:00,3
2019-03-20 18:09:00,2
2019-03-20 18:17:00,5
2019-03-20 18:18:00,2
2019-03-20 18:23:00,5
2019-09-06 11:55:00,1
2019-09-06 11:58:00,3
2019-09-06 12:00:00,1
2019-09-06 12:27:00,2
2019-09-06 12:28:00,3
2019-09-06 12:29:00,1
2019-09-06 12:31:00,2
2019-09-06 12:32:00,2
2019-09-06 13:02:00,3
2019-09-06 13:03:00,2
2019-09-06 13:04:00,1
2019-12-10 12:00:00,1
2019-12-10 12:01:00,4
2019-12-10 12:02:00,1
2019-12-10 12:27:00,1
2019-12-10 12:28:00,1
2019-12-11 12:24:00,1
