54,"select r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip, r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax, r.mu, r.nu, r.incl, r.node, r.a, r.b, r.c, r.d, r.e, r.f, f.quality, f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z, dbo.fGetUrlFitsCFrame (f.fieldId, #) as u_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as g_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as r_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as i_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as z_url from dbo.fGetNearbyFrameEq (#E-#, #E-#, #, #) n, Frame r, Field f where f.fieldId = r.fieldId and r.fieldId = n.fieldId and r.zoom = #"
2019-03-22 10:44:00,4
2019-03-22 10:45:00,1
2019-03-22 11:13:00,3
2019-03-22 11:14:00,2
2019-04-03 12:05:00,5
2019-04-05 11:49:00,4
2019-04-05 11:50:00,1
2019-04-10 10:36:00,1
2019-04-10 10:37:00,4
2019-04-10 11:50:00,5
2019-04-12 10:13:00,3
2019-04-12 10:14:00,2
2019-04-17 10:06:00,5
2019-04-18 09:39:00,5
2019-07-17 02:14:00,1
2019-08-02 18:19:00,2
2019-08-02 18:20:00,4
2019-11-16 06:05:00,1
2019-12-03 05:38:00,1
