17958,select * from wise_xmatch x join wise_allsky a on x.wise_cntr = a.cntr where x.sdss_objid = #
2019-01-01 00:26:00,1
2019-01-01 02:42:00,1
2019-01-01 04:42:00,1
2019-01-01 12:39:00,1
2019-01-01 15:15:00,5
2019-01-01 16:38:00,1
2019-01-01 19:46:00,1
2019-01-01 20:05:00,1
2019-01-01 20:12:00,1
2019-01-01 20:13:00,1
2019-01-01 20:53:00,1
2019-01-02 04:34:00,1
2019-01-02 05:10:00,1
2019-01-02 12:08:00,1
2019-01-02 16:25:00,1
2019-01-02 20:00:00,1
2019-01-02 21:26:00,4
2019-01-02 21:27:00,2
2019-01-02 23:54:00,1
2019-01-03 01:06:00,1
2019-01-03 01:51:00,1
2019-01-03 07:49:00,1
2019-01-03 08:04:00,1
2019-01-03 09:42:00,1
2019-01-03 10:21:00,1
2019-01-03 14:06:00,1
2019-01-03 15:45:00,1
2019-01-03 15:58:00,1
2019-01-03 17:02:00,1
2019-01-03 17:21:00,1
2019-01-03 18:42:00,1
2019-01-03 18:50:00,1
2019-01-04 00:40:00,1
2019-01-04 00:43:00,1
2019-01-04 00:53:00,1
2019-01-04 01:47:00,1
2019-01-04 03:00:00,1
2019-01-04 03:13:00,1
2019-01-04 04:01:00,1
2019-01-04 04:05:00,1
2019-01-04 07:34:00,1
2019-01-04 08:24:00,1
2019-01-04 08:31:00,1
2019-01-04 09:41:00,1
2019-01-04 10:40:00,1
2019-01-04 13:12:00,1
2019-01-04 15:26:00,1
2019-01-04 16:50:00,1
2019-01-04 18:33:00,1
2019-01-04 18:49:00,1
2019-01-04 18:57:00,1
2019-01-04 19:10:00,1
2019-01-04 19:16:00,1
2019-01-04 20:41:00,1
2019-01-04 22:00:00,1
2019-01-04 23:24:00,1
2019-01-05 00:19:00,1
2019-01-05 01:52:00,1
2019-01-05 06:17:00,1
2019-01-05 07:12:00,1
2019-01-05 07:17:00,1
2019-01-05 07:48:00,1
2019-01-05 08:50:00,2
2019-01-05 09:15:00,1
