331,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run = # AND p.camcol = # AND p.field = # AND p.rerun = #)"
2019-01-01 15:59:00,1
2019-01-01 16:00:00,1
2019-01-01 18:16:00,1
2019-01-02 01:08:00,1
2019-01-02 01:10:00,1
2019-01-02 20:42:00,1
2019-01-02 20:47:00,1
2019-01-08 21:54:00,2
2019-01-08 21:55:00,1
2019-01-08 22:25:00,1
2019-01-08 23:13:00,1
2019-01-10 15:57:00,1
2019-01-25 06:49:00,1
2019-01-25 08:03:00,1
2019-01-25 09:46:00,2
2019-01-25 17:51:00,1
2019-01-25 17:52:00,1
2019-01-25 18:41:00,1
2019-01-25 18:48:00,1
2019-01-25 19:47:00,1
2019-01-25 19:49:00,1
2019-01-25 19:55:00,1
2019-01-25 19:57:00,1
2019-01-25 19:59:00,1
2019-01-25 20:00:00,1
2019-01-25 20:09:00,1
2019-01-25 20:25:00,1
2019-01-25 21:13:00,1
2019-01-25 21:17:00,1
2019-01-25 22:02:00,1
2019-01-25 22:03:00,1
2019-01-25 23:25:00,1
2019-01-25 23:26:00,1
2019-01-26 00:02:00,1
2019-01-26 00:05:00,1
2019-01-29 04:40:00,1
2019-01-29 16:33:00,1
2019-01-29 16:58:00,1
2019-01-29 17:04:00,1
2019-01-29 22:24:00,1
2019-01-30 00:58:00,1
2019-01-30 00:59:00,1
2019-01-30 22:19:00,1
2019-01-30 22:23:00,1
2019-01-31 22:41:00,1
2019-02-01 19:37:00,1
2019-02-01 19:39:00,1
2019-02-04 10:35:00,1
2019-02-05 18:42:00,1
2019-02-05 18:49:00,1
2019-02-05 18:53:00,1
2019-02-05 18:58:00,1
2019-02-07 15:57:00,1
2019-02-07 16:19:00,1
2019-02-14 15:57:00,1
2019-02-14 16:01:00,1
2019-02-15 00:25:00,1
2019-02-15 00:33:00,1
2019-02-15 17:47:00,1
2019-02-15 19:37:00,1
2019-02-20 10:03:00,1
2019-02-20 10:04:00,1
2019-02-21 16:14:00,1
2019-02-21 20:36:00,1
2019-02-23 07:38:00,2
2019-02-24 22:34:00,1
2019-02-25 11:14:00,1
2019-02-28 15:51:00,1
2019-02-28 15:52:00,1
2019-03-01 22:00:00,1
2019-03-07 20:35:00,1
2019-03-12 18:28:00,2
2019-03-14 16:10:00,1
2019-03-14 16:11:00,1
2019-03-18 23:27:00,2
2019-03-19 01:02:00,2
2019-03-19 19:47:00,2
2019-03-22 13:45:00,2
2019-03-25 14:55:00,1
2019-03-25 15:01:00,1
2019-03-25 15:21:00,1
2019-03-25 15:26:00,1
2019-03-26 03:56:00,1
2019-03-26 03:58:00,1
2019-03-26 19:37:00,2
2019-03-26 20:39:00,1
2019-03-26 20:40:00,1
2019-03-27 00:08:00,2
2019-03-27 07:12:00,1
2019-03-27 07:14:00,1
2019-03-28 20:41:00,1
2019-03-28 20:44:00,1
2019-04-03 04:04:00,1
2019-04-03 04:05:00,1
2019-04-04 15:48:00,1
2019-04-04 15:49:00,1
2019-04-09 01:13:00,2
2019-04-09 21:25:00,1
2019-04-09 21:27:00,1
2019-04-10 00:54:00,2
2019-04-10 16:10:00,1
2019-04-10 16:19:00,1
2019-04-10 18:51:00,1
2019-04-10 18:54:00,1
2019-04-10 20:30:00,1
2019-04-10 20:32:00,1
2019-04-18 16:21:00,2
2019-04-20 05:03:00,2
2019-04-24 08:23:00,1
2019-04-24 19:16:00,1
2019-04-24 19:17:00,1
2019-04-25 01:02:00,1
2019-04-25 01:03:00,1
2019-05-02 02:55:00,2
2019-05-03 00:04:00,2
2019-05-03 18:24:00,2
