8329,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-01 15:59:00,1
2019-01-01 16:00:00,1
2019-01-01 18:16:00,1
2019-01-02 01:08:00,1
2019-01-02 01:09:00,1
2019-01-02 20:42:00,1
2019-01-02 20:47:00,1
2019-01-06 18:02:00,1
2019-01-08 21:54:00,2
2019-01-08 21:55:00,1
2019-01-08 22:25:00,1
2019-01-08 23:13:00,1
2019-01-10 15:57:00,1
2019-01-18 10:44:00,1
2019-01-25 06:49:00,1
2019-01-25 08:03:00,1
2019-01-25 09:45:00,1
2019-01-25 09:46:00,1
2019-01-25 17:51:00,1
2019-01-25 17:52:00,1
2019-01-25 18:41:00,1
2019-01-25 18:48:00,1
2019-01-25 19:47:00,1
2019-01-25 19:49:00,1
2019-01-25 19:55:00,1
2019-01-25 19:57:00,1
2019-01-25 19:59:00,2
2019-01-25 20:09:00,1
2019-01-25 20:25:00,1
2019-01-25 21:13:00,1
2019-01-25 21:17:00,1
2019-01-25 22:02:00,1
2019-01-25 22:03:00,1
2019-01-25 23:25:00,1
2019-01-25 23:26:00,1
2019-01-26 00:02:00,1
2019-01-26 00:05:00,1
2019-01-29 04:39:00,1
2019-01-29 16:33:00,1
2019-01-29 16:58:00,1
2019-01-29 17:04:00,1
2019-01-29 22:24:00,1
2019-01-30 00:57:00,1
2019-01-30 00:59:00,1
2019-01-30 22:19:00,1
2019-01-30 22:23:00,1
2019-01-31 22:41:00,1
2019-02-01 19:37:00,1
2019-02-01 19:38:00,1
2019-02-04 10:35:00,1
2019-02-05 18:42:00,1
2019-02-05 18:49:00,1
2019-02-05 18:53:00,1
2019-02-05 18:58:00,1
2019-02-07 15:56:00,1
2019-02-07 16:19:00,1
2019-02-12 10:32:00,1
2019-02-12 10:34:00,1
2019-02-13 02:49:00,1
2019-02-14 14:14:00,2
2019-02-14 15:57:00,1
2019-02-14 16:01:00,1
2019-02-14 21:29:00,4
2019-02-14 21:31:00,2
2019-02-14 21:42:00,2
2019-02-14 21:43:00,4
2019-02-14 21:47:00,5
2019-02-15 00:25:00,1
2019-02-15 00:32:00,1
2019-02-15 01:30:00,1
2019-02-15 01:33:00,1
2019-02-15 01:34:00,9
2019-02-15 01:35:00,1
2019-02-15 01:43:00,7
2019-02-15 01:57:00,2
2019-02-15 01:58:00,7
2019-02-15 01:59:00,9
2019-02-15 02:00:00,16
2019-02-15 02:01:00,9
2019-02-15 02:02:00,5
2019-02-15 02:03:00,1
2019-02-15 02:06:00,5
2019-02-15 02:07:00,1
2019-02-15 02:22:00,6
2019-02-15 02:23:00,9
2019-02-15 02:24:00,7
2019-02-15 06:27:00,4
2019-02-15 06:28:00,4
2019-02-15 06:29:00,2
2019-02-15 06:30:00,5
2019-02-15 06:31:00,3
2019-02-15 17:47:00,1
2019-02-15 23:35:00,5
2019-02-15 23:36:00,6
2019-02-15 23:37:00,5
2019-02-15 23:38:00,7
2019-02-15 23:39:00,4
2019-02-15 23:40:00,9
2019-02-15 23:41:00,7
2019-02-15 23:42:00,6
2019-02-15 23:43:00,6
2019-02-15 23:44:00,5
2019-02-15 23:45:00,3
2019-02-19 08:49:00,1
2019-02-20 10:03:00,1
2019-02-20 10:04:00,1
2019-02-21 14:17:00,1
2019-02-21 14:44:00,1
2019-02-21 14:45:00,3
2019-02-21 14:46:00,4
2019-02-21 14:47:00,1
2019-02-21 14:51:00,2
2019-02-21 14:52:00,3
2019-02-21 14:57:00,2
2019-02-21 14:59:00,1
2019-02-21 15:57:00,3
2019-02-21 15:58:00,1
2019-02-21 15:59:00,2
