81848,"SELECT * FROM dbo.fFootprintEq (#, #, #)"
2019-01-02 09:11:00,1
2019-01-02 18:01:00,6
2019-01-08 18:00:00,4
2019-01-08 18:01:00,14
2019-01-08 18:02:00,4
2019-01-09 01:22:00,2
2019-01-09 18:00:00,2
2019-01-10 18:01:00,16
2019-01-10 18:02:00,12
2019-01-10 18:03:00,4
2019-01-12 18:00:00,8
2019-01-12 18:01:00,8
2019-01-12 18:02:00,10
2019-01-13 09:05:00,1
2019-01-14 00:25:00,6
2019-01-14 00:26:00,6
2019-01-14 16:02:00,1
2019-01-15 02:23:00,4
2019-01-16 03:21:00,6
2019-01-16 03:54:00,4
2019-01-16 05:52:00,4
2019-01-16 16:25:00,1
2019-01-16 18:00:00,6
2019-01-16 18:02:00,8
2019-01-16 18:03:00,6
2019-01-16 18:04:00,6
2019-01-16 18:06:00,4
2019-01-16 18:07:00,8
2019-01-16 18:08:00,8
2019-01-16 18:09:00,8
2019-01-16 18:10:00,4
2019-01-16 18:11:00,6
2019-01-16 18:12:00,2
2019-01-16 18:13:00,5
2019-01-16 18:14:00,5
2019-01-16 18:15:00,2
2019-01-16 18:16:00,14
2019-01-16 18:17:00,8
2019-01-17 07:11:00,4
2019-01-17 07:12:00,2
2019-01-17 18:02:00,4
2019-01-17 18:03:00,8
2019-01-17 18:04:00,4
2019-01-17 18:06:00,4
2019-01-18 00:32:00,1
2019-01-18 00:33:00,1
2019-01-18 00:59:00,3
2019-01-18 01:00:00,1
2019-01-18 01:02:00,8
2019-01-18 01:03:00,4
2019-01-18 18:01:00,4
2019-01-19 00:17:00,4
2019-01-19 00:18:00,8
2019-01-19 01:23:00,4
2019-01-19 01:40:00,4
2019-01-19 02:06:00,10
2019-01-19 02:07:00,14
2019-01-19 02:08:00,12
2019-01-19 02:09:00,8
2019-01-19 02:10:00,8
2019-01-19 02:11:00,8
2019-01-19 03:03:00,12
2019-01-19 03:04:00,6
2019-01-19 03:05:00,8
2019-01-19 03:06:00,8
2019-01-19 22:48:00,4
2019-01-19 22:51:00,2
2019-01-19 22:53:00,4
2019-01-19 22:54:00,4
2019-01-19 22:56:00,7
2019-01-19 22:57:00,7
2019-01-19 22:59:00,6
2019-01-19 23:00:00,8
2019-01-19 23:01:00,4
2019-01-19 23:02:00,4
2019-01-19 23:04:00,4
2019-01-19 23:05:00,6
2019-01-19 23:06:00,6
