73,"select top # u, r, u-r as color_ur from galaxy where clean = #"
2019-01-02 15:34:00,1
2019-01-02 15:40:00,1
2019-01-08 09:44:00,1
2019-01-09 14:31:00,1
2019-01-09 14:33:00,1
2019-01-12 14:20:00,1
2019-02-01 15:48:00,1
2019-02-04 12:33:00,1
2019-02-04 12:57:00,1
2019-02-04 14:09:00,1
2019-02-04 14:14:00,1
2019-02-04 14:18:00,1
2019-02-04 14:24:00,2
2019-02-04 14:25:00,1
2019-02-04 14:31:00,1
2019-02-18 16:24:00,1
2019-03-01 15:27:00,1
2019-03-04 10:02:00,1
2019-03-13 16:18:00,3
2019-03-15 14:46:00,1
2019-03-27 09:41:00,1
2019-03-27 09:47:00,1
2019-03-27 09:51:00,2
2019-03-27 09:52:00,4
2019-03-27 09:53:00,2
2019-03-27 09:55:00,2
2019-03-27 09:56:00,4
2019-03-27 09:57:00,3
2019-03-27 09:58:00,1
2019-03-27 09:59:00,5
2019-03-28 13:18:00,1
2019-04-09 13:52:00,1
2019-04-09 13:53:00,2
2019-04-09 13:54:00,1
2019-04-09 13:55:00,1
2019-05-15 03:34:00,1
2019-05-16 04:13:00,1
2019-05-16 04:15:00,1
2019-05-30 12:40:00,1
2019-06-05 12:45:00,1
2019-06-26 15:20:00,2
2019-07-08 06:28:00,1
2019-07-08 06:29:00,3
2019-07-08 10:30:00,2
2019-07-17 09:14:00,1
2019-07-17 12:49:00,1
2019-10-11 09:19:00,1
2019-12-12 11:02:00,3
