349,"SELECT s.specObjID, g.class, g.subClass, g.z, g.ra, g.dec, g.plate, g.fiberID, g.MJD, s.oii_#_flux as OII3#, s.oiii_#_flux as OIII4#, s.oiii_#_flux as OIII5#, s.h_beta_flux as HBeta, s.h_alpha_flux as HAlpha, s.nii_#_flux as NII6#, x.logMass as logM FROM galSpecLine s JOIN stellarMassFSPSGranEarlyDust x ON x.specObjID = s.specObjID JOIN specObj g ON g.specObjID = s.specObjID WHERE g.plate = # AND g.fiberID = #"
2019-04-05 15:29:00,1
2019-04-05 15:34:00,1
2019-04-05 15:37:00,1
2019-04-05 15:39:00,2
2019-04-05 15:43:00,2
2019-04-05 19:26:00,2
2019-04-14 20:55:00,5
2019-04-14 21:19:00,2
2019-04-14 21:20:00,10
2019-04-14 21:21:00,3
2019-04-14 22:25:00,4
2019-04-14 22:30:00,23
2019-04-14 22:32:00,12
2019-04-14 22:36:00,15
2019-04-14 22:37:00,40
2019-04-15 00:10:00,2
2019-04-24 16:52:00,7
2019-04-24 16:53:00,64
2019-04-24 16:54:00,39
2019-05-01 20:29:00,34
2019-05-01 20:30:00,57
2019-05-01 20:31:00,23
