77,"SELECT TOP # p.psfMag_r, p.fiberMag_r, p.fiber2Mag_r, p.petroMag_r, p.deVMag_r, p.expMag_r, p.modelMag_r, p.cModelMag_r, s.class FROM PhotoObjAll AS p JOIN specObjAll s ON s.bestobjid = p.objid WHERE p.mode = # AND s.sciencePrimary = # AND p.clean = # AND s.class ! = #"
2019-04-10 04:26:00,1
2019-04-10 14:59:00,1
2019-04-10 15:00:00,1
2019-04-10 15:02:00,3
2019-04-10 15:03:00,4
2019-04-10 15:04:00,10
2019-04-10 15:16:00,1
2019-04-10 15:38:00,1
2019-04-10 19:33:00,1
2019-04-10 19:40:00,1
2019-04-12 05:29:00,1
2019-04-12 20:33:00,1
2019-04-12 21:16:00,1
2019-04-13 17:10:00,1
2019-04-14 02:31:00,1
2019-04-14 21:45:00,1
2019-04-15 23:17:00,1
2019-04-16 04:24:00,1
2019-04-16 23:32:00,1
2019-04-17 01:45:00,1
2019-04-17 02:14:00,1
2019-04-17 14:23:00,1
2019-04-17 14:38:00,1
2019-04-17 14:55:00,1
2019-04-17 14:59:00,2
2019-04-17 15:00:00,3
2019-04-17 15:01:00,3
2019-05-01 20:30:00,1
2019-05-01 22:09:00,1
2019-05-02 19:16:00,1
2019-05-02 22:18:00,1
2019-05-03 01:00:00,1
2019-05-20 19:43:00,1
2019-05-20 19:59:00,1
2019-05-28 04:04:00,1
2019-05-29 03:04:00,1
2019-05-29 03:11:00,1
2019-05-29 05:34:00,1
2019-05-29 14:33:00,1
2019-05-29 15:27:00,1
2019-06-12 15:08:00,1
2019-06-16 21:27:00,1
2019-06-17 07:54:00,1
2019-06-18 16:44:00,1
2019-06-27 15:37:00,1
2019-06-27 23:35:00,1
2019-07-04 03:14:00,1
2019-07-04 03:25:00,1
2019-07-04 19:19:00,1
2019-07-07 03:55:00,1
2019-07-07 18:32:00,1
2019-07-08 04:38:00,1
2019-07-08 21:45:00,1
2019-07-08 22:38:00,1
2019-07-08 22:59:00,1
2019-07-09 01:50:00,1
2019-07-09 02:00:00,1
2019-10-24 23:56:00,1
