1219,"SELECT ra, dec, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, flags_g, flags_r FROM Star WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND psfMag_g BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfMagErr_g < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #) AND ( (flags_g & #) ! = #) AND ( (flags_g & #) = #) AND ( ((flags_g & #) = #) or (psfMagErr_r < = #) ) AND ( ((flags_g & #) = #) or (flags_g & #) = #)"
2019-04-12 18:56:00,5
2019-04-15 17:33:00,46
2019-04-15 18:00:00,34
2019-04-15 18:01:00,9
2019-04-24 15:33:00,7
2019-04-24 15:34:00,39
2019-04-24 15:36:00,10
2019-04-24 15:37:00,21
2019-04-24 15:38:00,9
2019-04-24 15:39:00,21
2019-04-24 15:40:00,18
2019-04-24 16:18:00,1
2019-04-24 19:43:00,47
2019-04-25 13:27:00,47
2019-04-25 15:45:00,43
2019-04-25 16:24:00,5
2019-04-25 16:29:00,1
2019-04-28 16:48:00,25
2019-04-30 07:36:00,1
2019-05-01 19:33:00,18
2019-05-01 20:37:00,1
2019-05-02 19:53:00,17
2019-05-05 20:30:00,39
2019-05-05 20:31:00,10
2019-05-06 22:40:00,5
2019-05-14 11:37:00,64
2019-05-14 11:38:00,29
2019-05-14 13:35:00,80
2019-05-14 13:36:00,36
2019-05-14 14:47:00,8
2019-05-14 14:54:00,8
2019-05-20 14:41:00,6
2019-05-22 15:24:00,9
2019-05-22 15:25:00,41
2019-07-17 13:29:00,149
2019-07-17 13:30:00,62
2019-07-17 13:31:00,81
2019-07-17 13:32:00,27
2019-07-17 14:18:00,38
2019-07-19 12:16:00,1
2019-08-05 16:39:00,1
2019-08-08 13:19:00,1
2019-09-09 15:36:00,8
2019-09-09 15:37:00,6
2019-09-22 15:40:00,1
2019-12-21 12:28:00,32
2019-12-21 12:29:00,52
