8153,"select p.u, p.g, p.r from Galaxy as p where p.objId = #"
2019-04-14 19:18:00,42
2019-04-14 19:19:00,117
2019-04-14 19:20:00,128
2019-04-14 19:21:00,131
2019-04-14 19:22:00,117
2019-04-14 19:23:00,120
2019-04-14 19:24:00,81
2019-04-14 19:28:00,99
2019-04-14 19:29:00,150
2019-04-14 19:30:00,142
2019-04-14 19:31:00,125
2019-04-14 19:32:00,134
2019-04-14 19:33:00,127
2019-04-14 19:34:00,112
2019-04-14 19:35:00,113
2019-04-14 19:36:00,4
2019-04-14 20:05:00,6
2019-04-14 20:06:00,6
2019-04-14 20:27:00,221
2019-04-14 20:28:00,268
2019-04-14 20:29:00,234
2019-04-14 20:30:00,179
2019-04-14 20:31:00,20
2019-04-14 20:32:00,222
2019-04-14 20:33:00,273
2019-04-14 20:34:00,253
2019-04-14 20:35:00,233
2019-04-14 20:37:00,101
2019-04-14 20:38:00,286
2019-04-14 20:39:00,256
2019-04-14 20:40:00,73
2019-04-14 20:41:00,314
2019-04-14 20:42:00,296
2019-04-14 20:43:00,221
2019-04-14 20:44:00,156
2019-04-14 20:45:00,267
2019-04-14 20:46:00,274
2019-04-14 20:47:00,275
2019-04-14 20:48:00,28
2019-04-17 15:27:00,34
2019-04-17 15:28:00,123
2019-04-17 15:29:00,128
2019-04-17 15:30:00,123
2019-04-17 15:31:00,113
2019-04-17 15:32:00,122
2019-04-17 15:33:00,128
2019-04-17 15:34:00,131
2019-04-17 15:35:00,104
2019-04-17 16:50:00,76
2019-04-17 16:51:00,134
2019-04-17 16:52:00,125
2019-04-17 16:53:00,118
2019-04-17 16:54:00,129
2019-04-17 16:55:00,135
2019-04-17 16:56:00,140
2019-04-17 16:57:00,76
2019-04-17 17:22:00,5
2019-04-17 17:23:00,3
2019-04-17 17:24:00,2
