19,"CREATE TABLE [Diet_by_#_hour_recall] (eid BIGINT NOT # , [Daily_dietary_data_credible_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Invitation_to_complete_online_#_hour_recall_dietary_questionnaire_acceptance_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Invitation_to_complete_online_#_hour_recall_dietary_questionnaire_date_sent_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , PRIMARY KEY (eid) ) GO"
2019-04-15 13:26:00,1
2019-04-15 13:36:00,1
2019-04-16 08:57:00,1
2019-04-16 08:59:00,1
2019-04-16 10:13:00,1
2019-04-16 10:15:00,1
2019-04-16 10:18:00,1
2019-04-16 10:36:00,1
2019-04-17 11:28:00,1
2019-04-23 09:45:00,1
2019-04-23 10:53:00,1
2019-04-24 09:56:00,1
2019-04-24 13:20:00,1
2019-04-29 11:39:00,1
2019-04-30 11:44:00,1
2019-04-30 15:39:00,1
2019-05-01 09:28:00,1
2019-05-02 09:35:00,1
2019-05-02 10:36:00,1
