25,"SELECT EID, [Cooked_vegetable_intake_#], [Salad_raw_vegetable_intake_#], [Fresh_fruit_intake_#], [Dried_fruit_intake_#], [Oily_fish_intake_#], [Non_oily_fis"
2019-04-15 13:24:00,1
2019-04-15 13:34:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:34:00,1
2019-04-16 10:35:00,1
2019-04-17 11:26:00,2
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:51:00,1
2019-04-24 09:48:00,1
2019-04-24 09:54:00,1
2019-04-24 13:19:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:37:00,1
2019-05-01 09:25:00,1
2019-05-02 09:32:00,1
2019-05-02 10:34:00,1
2019-05-09 10:26:00,1
