37,"SELECT SUBSTRING (Name, #, #) AS Initial, count (*) as num from chinook.Artist group by SUBSTRING (Name, #, #)"
2019-04-21 16:03:00,1
2019-04-21 16:32:00,1
2019-04-21 17:25:00,1
2019-04-21 17:27:00,1
2019-04-22 15:13:00,1
2019-04-22 15:14:00,1
2019-04-22 15:15:00,1
2019-04-22 15:16:00,1
2019-04-22 15:26:00,4
2019-04-22 15:29:00,2
2019-04-22 15:52:00,1
2019-04-22 15:54:00,3
2019-04-22 15:56:00,1
2019-04-22 15:57:00,4
2019-04-22 15:58:00,2
2019-04-22 16:01:00,2
2019-04-22 16:03:00,2
2019-04-22 16:04:00,2
2019-04-22 16:05:00,2
2019-04-24 17:38:00,1
2019-04-24 17:41:00,1
2019-04-24 18:15:00,1
2019-04-24 18:18:00,1
