55,"SELECT dbo.fGetUrlFitsCFrame (fieldid, #) FROM Field WHERE ABS (# - RA) < # AND ABS (# - Dec) < #"
2019-05-06 00:51:00,6
2019-05-06 00:53:00,1
2019-05-06 00:55:00,1
2019-05-06 00:57:00,1
2019-06-19 20:19:00,1
2019-06-19 20:21:00,1
2019-06-19 20:26:00,1
2019-06-19 20:42:00,1
2019-07-26 00:34:00,1
2019-07-26 00:59:00,1
2019-07-26 01:00:00,1
2019-07-26 01:02:00,1
2019-07-26 01:04:00,1
2019-07-26 04:47:00,1
2019-07-26 04:49:00,1
2019-07-26 05:02:00,1
2019-07-26 05:03:00,2
2019-07-26 05:13:00,1
2019-07-26 11:52:00,1
2019-07-26 11:56:00,1
2019-08-02 19:57:00,1
2019-08-02 20:00:00,1
2019-08-02 20:03:00,1
2019-08-02 20:08:00,1
2019-08-02 20:10:00,1
2019-08-02 20:13:00,1
2019-10-09 15:55:00,1
2019-10-09 15:58:00,1
2019-10-09 16:08:00,1
2019-10-09 16:09:00,1
2019-10-09 16:19:00,2
2019-10-09 16:20:00,2
2019-10-09 16:24:00,3
2019-10-09 16:25:00,1
2019-10-09 16:27:00,1
2019-10-09 16:28:00,1
2019-10-29 12:33:00,2
2019-10-29 12:34:00,2
2019-10-29 12:38:00,1
2019-10-29 12:43:00,1
2019-10-29 12:44:00,1
2019-10-29 12:45:00,1
2019-10-29 12:46:00,1
