29,"SELECT p.ra, p.dec, z.z, z.zErr, p.petroMag_r from PhotoObj p JOIN dbo.fGetNearbyObjEq (#, #, #) n ON n.objID = p.objID JOIN Photoz z ON z.objID = n.objID WHERE p.type = # AND z.z < # + #*z.zErr AND z.z > # - #*z.zErr AND z.zErr < #"
2019-05-13 11:09:00,1
2019-05-13 11:10:00,1
2019-05-13 11:19:00,1
2019-05-13 11:24:00,1
2019-05-13 11:30:00,1
2019-05-13 11:37:00,1
2019-05-13 11:45:00,1
2019-05-13 11:48:00,1
2019-05-13 11:52:00,1
2019-05-13 11:56:00,1
2019-05-13 12:00:00,1
2019-05-13 12:05:00,1
2019-05-13 12:08:00,1
2019-05-13 12:12:00,1
2019-05-13 12:15:00,1
2019-05-13 12:18:00,1
2019-05-13 12:24:00,1
2019-05-13 12:29:00,1
2019-05-13 12:32:00,1
2019-05-13 12:36:00,1
2019-05-13 12:40:00,1
2019-05-13 12:44:00,1
2019-05-13 12:47:00,1
2019-05-13 12:52:00,1
2019-05-13 12:55:00,1
2019-05-13 13:01:00,1
2019-05-13 13:07:00,1
2019-05-13 13:10:00,1
2019-05-13 13:13:00,1
