733,"SELECT u.up_up_id as up_id, dbo.fDistanceEq (u.up_ra, u.up_dec, p.ra, p.dec) as distance, p.ra, p.dec, p.raErr, p.decErr, p.objId, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoModeN (mode) as mode, nChild, dbo.fPhotoTypeN (p.type) as type, clean, flags, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z, mjd FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoObj p ON p.objID = x.objID ORDER BY u.up_id, distance"
2019-01-17 20:31:00,1
2019-01-29 21:30:00,1
2019-01-30 17:27:00,1
2019-01-30 18:06:00,1
2019-01-31 00:46:00,1
2019-02-01 17:15:00,1
2019-02-01 17:16:00,1
2019-02-04 19:29:00,1
2019-02-06 19:48:00,1
2019-02-06 22:34:00,1
2019-02-06 22:35:00,1
2019-02-07 01:07:00,1
2019-02-13 11:47:00,1
2019-02-13 12:05:00,1
2019-02-13 12:06:00,1
2019-02-13 12:07:00,1
2019-02-13 12:08:00,2
2019-02-13 12:09:00,1
2019-02-13 12:12:00,1
2019-02-13 12:18:00,1
2019-02-13 13:42:00,1
2019-02-13 14:02:00,1
2019-02-14 04:06:00,1
2019-02-15 15:01:00,1
2019-02-19 19:07:00,1
2019-02-19 20:45:00,1
2019-02-19 21:01:00,1
2019-02-19 21:03:00,1
2019-02-19 21:57:00,1
2019-02-19 22:15:00,1
2019-02-19 22:34:00,1
2019-02-20 16:29:00,1
2019-02-20 19:50:00,1
2019-02-20 19:54:00,1
2019-02-20 19:55:00,1
2019-02-20 23:35:00,1
2019-02-21 13:27:00,1
2019-02-21 13:37:00,1
2019-02-21 14:58:00,1
2019-02-21 15:16:00,1
2019-02-21 15:38:00,1
2019-02-21 15:42:00,1
2019-02-21 16:02:00,1
2019-02-21 16:17:00,1
2019-02-21 16:30:00,1
2019-02-22 16:39:00,1
2019-02-22 16:45:00,1
2019-02-22 16:48:00,1
2019-02-22 16:51:00,1
2019-02-23 04:26:00,1
2019-02-24 12:26:00,1
2019-02-24 12:46:00,1
2019-02-24 13:38:00,1
2019-02-25 11:20:00,1
2019-02-25 16:21:00,1
2019-02-25 16:23:00,1
2019-02-25 18:31:00,1
2019-02-26 10:21:00,1
2019-02-26 11:16:00,1
2019-02-26 19:06:00,1
2019-02-26 23:27:00,1
2019-02-27 15:02:00,1
2019-02-27 15:25:00,1
2019-02-27 15:29:00,1
2019-02-27 15:31:00,1
2019-02-27 15:32:00,1
2019-02-27 15:40:00,1
2019-02-27 15:46:00,1
2019-02-27 16:21:00,1
2019-02-27 16:34:00,1
2019-02-27 16:35:00,1
2019-02-27 16:45:00,2
2019-02-27 16:46:00,1
2019-02-27 16:48:00,1
2019-02-27 16:50:00,1
2019-02-27 17:45:00,1
2019-02-27 18:08:00,1
2019-03-04 15:50:00,1
2019-03-04 15:52:00,1
2019-03-06 15:44:00,1
2019-03-06 15:52:00,1
2019-03-06 15:56:00,1
2019-03-08 17:04:00,1
2019-03-09 14:47:00,1
2019-03-11 05:35:00,1
2019-03-13 15:53:00,1
2019-03-14 00:20:00,1
2019-03-16 10:58:00,1
2019-03-16 11:08:00,1
2019-03-16 11:44:00,1
2019-03-16 13:21:00,2
2019-03-16 13:23:00,1
2019-03-16 13:32:00,1
2019-03-16 13:37:00,1
2019-03-16 14:18:00,1
2019-03-19 23:01:00,1
2019-03-19 23:44:00,1
2019-03-19 23:48:00,1
2019-03-19 23:53:00,1
2019-03-19 23:57:00,1
2019-03-20 00:16:00,1
2019-03-20 15:02:00,1
2019-03-20 19:25:00,1
2019-03-21 03:59:00,1
2019-03-21 18:10:00,1
2019-03-22 04:11:00,1
2019-03-22 04:12:00,1
2019-03-22 23:49:00,1
2019-03-22 23:50:00,1
2019-03-25 14:04:00,1
2019-03-25 14:08:00,1
2019-03-25 14:10:00,1
2019-03-25 14:22:00,1
2019-03-25 14:31:00,1
2019-03-25 17:15:00,1
2019-03-25 17:16:00,1
2019-03-25 17:17:00,1
2019-03-25 19:31:00,1
2019-03-25 21:05:00,1
2019-03-25 21:37:00,1
2019-03-25 21:38:00,1
2019-03-25 21:42:00,1
2019-03-26 18:40:00,1
2019-03-27 21:16:00,1
2019-04-03 12:29:00,1
2019-04-03 12:59:00,1
2019-04-03 13:37:00,1
2019-04-03 14:30:00,1
2019-04-03 15:03:00,1
2019-04-03 15:20:00,1
2019-04-03 15:31:00,1
2019-04-03 16:32:00,1
2019-04-05 18:42:00,1
2019-04-07 05:51:00,1
2019-04-07 06:33:00,1
2019-04-08 07:37:00,1
2019-04-08 17:54:00,1
2019-04-08 18:43:00,1
2019-04-08 22:44:00,1
2019-04-08 23:22:00,1
2019-04-09 00:03:00,1
2019-04-09 00:30:00,1
2019-04-09 01:03:00,1
2019-04-09 01:27:00,1
2019-04-09 01:43:00,1
2019-04-09 07:12:00,1
2019-04-10 05:30:00,1
2019-04-12 00:33:00,1
2019-04-12 04:59:00,1
2019-04-12 17:17:00,1
2019-04-13 22:02:00,1
2019-04-14 22:08:00,1
2019-04-14 22:09:00,1
2019-04-16 14:37:00,1
2019-04-17 03:15:00,1
2019-04-18 00:27:00,1
2019-04-18 10:38:00,1
2019-04-18 18:02:00,1
2019-04-19 21:09:00,1
2019-04-19 21:14:00,2
2019-04-19 21:15:00,3
2019-04-21 17:21:00,1
2019-04-23 18:00:00,1
2019-04-23 18:01:00,1
2019-04-25 09:37:00,1
2019-04-25 09:39:00,1
2019-04-28 21:41:00,1
2019-04-29 08:58:00,1
2019-04-29 09:32:00,1
2019-04-29 09:33:00,1
2019-04-29 10:30:00,1
2019-04-29 10:38:00,1
2019-04-29 12:15:00,1
2019-04-29 12:23:00,1
2019-04-29 12:25:00,1
2019-04-29 17:13:00,1
2019-04-29 21:34:00,1
2019-04-29 21:35:00,1
2019-05-02 23:58:00,1
2019-05-03 17:50:00,1
2019-05-03 22:29:00,1
2019-05-07 18:06:00,1
2019-05-07 18:26:00,1
2019-05-08 03:45:00,1
2019-05-08 04:39:00,1
2019-05-08 04:43:00,1
2019-05-08 04:44:00,1
2019-05-08 04:45:00,1
2019-05-08 14:05:00,1
2019-05-08 21:02:00,1
2019-05-08 21:45:00,1
2019-05-09 14:54:00,1
2019-05-09 15:26:00,1
2019-05-09 17:59:00,1
2019-05-10 14:09:00,1
2019-05-10 17:51:00,1
2019-05-10 22:07:00,1
2019-05-10 22:12:00,1
2019-05-10 22:15:00,1
2019-05-10 22:32:00,1
2019-05-12 03:14:00,1
2019-05-12 22:26:00,1
2019-05-12 22:27:00,1
2019-05-12 22:36:00,1
2019-05-13 03:35:00,1
2019-05-13 13:34:00,1
2019-05-13 18:57:00,1
2019-05-14 01:41:00,1
2019-05-14 16:05:00,1
2019-05-15 18:06:00,1
2019-05-16 13:50:00,1
2019-05-16 17:39:00,1
2019-05-16 18:05:00,1
2019-05-16 18:21:00,1
2019-05-17 01:11:00,1
2019-05-17 01:16:00,1
2019-05-17 01:20:00,1
2019-05-17 01:22:00,1
2019-05-17 15:53:00,1
2019-05-17 17:57:00,1
2019-05-17 18:14:00,1
2019-05-17 18:28:00,1
2019-05-17 18:37:00,1
2019-05-19 18:16:00,1
2019-05-21 01:41:00,1
2019-05-21 03:55:00,1
2019-05-21 12:56:00,1
2019-05-22 03:19:00,1
2019-05-22 04:06:00,1
2019-05-23 14:29:00,1
2019-05-23 22:03:00,1
2019-05-24 03:40:00,1
2019-05-24 03:50:00,1
2019-05-24 14:10:00,1
2019-05-24 17:25:00,1
2019-05-24 17:37:00,1
2019-05-24 17:38:00,1
2019-05-24 17:58:00,1
2019-05-25 01:02:00,2
2019-05-25 01:10:00,1
2019-05-26 02:04:00,1
2019-05-30 18:45:00,1
2019-05-30 19:07:00,1
2019-05-30 23:27:00,1
2019-05-30 23:37:00,1
2019-05-30 23:38:00,1
2019-05-30 23:40:00,1
2019-05-30 23:47:00,1
2019-05-31 02:45:00,1
2019-05-31 03:01:00,1
2019-05-31 03:10:00,1
2019-05-31 04:31:00,1
2019-05-31 13:37:00,1
2019-05-31 15:16:00,1
2019-05-31 15:39:00,1
2019-05-31 15:46:00,1
2019-05-31 15:56:00,1
2019-05-31 16:02:00,1
2019-05-31 16:05:00,1
2019-05-31 16:21:00,1
