1045,"SELECT objID, parentID, specObjID, ra, dec, petroRadErr_u, petroRadErr_g, petroRadErr_r, petroRadErr_i, petroRadErr_z, petroR9#Err_u, petroR9#Err_g, petroR9#Err_r, petroR9#Err_i, petroR9#Err_z, petroR5#Err_u, petroR5#Err_g, petroR5#Err_r, petroR5#Err_i, petroR5#Err_z, expRadErr_u, expRadErr_g, expRadErr_r, expRadErr_i, expRadErr_z, expABErr_u, expABErr_g, expABErr_r, expABErr_i, expABErr_z FROM photoObjAll WHERE objID = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = #"
2019-05-15 13:43:00,15
2019-05-15 13:44:00,50
2019-05-15 13:45:00,52
2019-05-15 13:46:00,58
2019-05-15 13:47:00,51
2019-05-15 13:48:00,52
2019-05-15 13:49:00,54
2019-05-15 13:50:00,51
2019-05-15 13:51:00,53
2019-05-15 13:52:00,53
2019-05-15 13:53:00,51
2019-05-15 13:54:00,51
2019-05-15 13:55:00,51
2019-05-15 13:56:00,50
2019-05-15 13:57:00,52
2019-05-15 13:58:00,51
2019-05-15 13:59:00,52
2019-05-15 14:00:00,51
2019-05-15 14:01:00,50
2019-05-15 14:02:00,50
2019-05-15 14:03:00,47
