64,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.dered_g, p.dered_i, p.dered_r, p.dered_u, p.dered_z FROM ..Galaxy AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID"
2019-05-17 11:22:00,1
2019-05-27 10:21:00,1
2019-05-27 10:26:00,1
2019-05-27 10:38:00,1
2019-05-27 10:51:00,1
2019-05-27 12:34:00,1
2019-05-27 12:44:00,1
2019-05-27 12:46:00,1
2019-05-27 12:49:00,1
2019-05-27 13:49:00,1
2019-05-27 13:57:00,1
2019-05-27 14:01:00,1
2019-05-27 14:04:00,1
2019-05-27 14:07:00,1
2019-05-27 14:28:00,1
2019-05-27 14:31:00,1
2019-05-27 14:35:00,1
2019-05-27 14:38:00,1
2019-05-27 14:41:00,1
2019-05-27 14:44:00,1
2019-05-27 15:27:00,1
2019-05-27 15:30:00,1
2019-05-27 15:33:00,1
2019-05-27 15:40:00,1
2019-05-27 15:42:00,1
2019-05-27 15:46:00,1
2019-05-27 15:53:00,1
2019-05-27 15:56:00,1
2019-05-27 15:58:00,1
2019-05-28 11:53:00,1
2019-05-28 12:01:00,1
2019-05-28 12:08:00,1
2019-05-28 12:59:00,1
2019-05-28 13:09:00,1
2019-05-28 13:13:00,1
2019-05-28 13:24:00,1
2019-05-28 13:25:00,1
2019-05-28 13:31:00,1
2019-05-28 13:40:00,1
2019-05-28 13:53:00,1
2019-05-30 13:29:00,1
2019-05-30 13:40:00,1
2019-05-30 13:43:00,1
2019-05-30 13:50:00,1
2019-05-30 13:53:00,1
2019-05-30 13:59:00,1
2019-05-30 15:45:00,1
2019-05-30 15:49:00,1
2019-05-30 15:51:00,1
2019-05-30 15:53:00,1
2019-05-30 16:06:00,1
2019-05-30 16:10:00,1
2019-05-30 16:14:00,1
2019-05-30 16:16:00,1
2019-05-30 16:19:00,1
2019-05-30 16:37:00,1
2019-05-31 10:18:00,1
2019-05-31 10:26:00,1
2019-05-31 10:33:00,1
2019-05-31 10:41:00,1
2019-05-31 10:46:00,1
2019-05-31 10:52:00,1
2019-05-31 11:49:00,1
2019-05-31 11:52:00,1
