21,"SELECT name, DR1#_PLUG_RA AS RA, DR1#_PLUG_DEC AS DEC, MJD, redshift, CLASS_BEST, CONF_BEST, DR1#_ZWARNING FROM spiders_quasar WHERE (redshift > # AND redshift < # AND CLASS_BEST = # AND DR1#_ZWARNING = #)"
2019-05-28 15:53:00,1
2019-05-28 16:20:00,1
2019-05-28 21:51:00,1
2019-05-28 21:52:00,1
2019-05-28 21:53:00,5
2019-05-28 21:54:00,1
2019-05-28 21:56:00,1
2019-05-28 22:08:00,2
2019-05-28 22:22:00,4
2019-05-28 22:30:00,1
2019-05-31 18:45:00,1
2019-05-31 18:46:00,1
2019-05-31 18:48:00,1
