276,"SELECT TOP # p.apstar_id, p.apogee_id, p.ra, p.dec, p.glon, p.glat, p.vhelio_avg, p.vscatter, a.teff, a.logg, a.metals FROM apogeeStar p JOIN fGetNearbyApogeeStarEq (#, #, #) n on p.apstar_id = n.apstar_id JOIN aspcapStar a on a.apstar_id = p.apstar_id"
2019-01-19 03:35:00,1
2019-01-30 13:42:00,2
2019-02-28 13:44:00,1
2019-03-01 19:07:00,26
2019-03-01 19:08:00,5
2019-03-01 19:09:00,4
2019-03-01 19:10:00,9
2019-03-01 19:11:00,7
2019-03-01 19:12:00,2
2019-03-01 19:13:00,5
2019-03-02 23:19:00,1
2019-03-04 03:40:00,1
2019-03-06 03:11:00,2
2019-03-06 03:13:00,1
2019-03-06 03:15:00,2
2019-03-06 03:17:00,1
2019-03-06 03:18:00,3
2019-03-06 03:22:00,1
2019-03-06 03:24:00,1
2019-03-07 00:11:00,2
2019-03-07 00:13:00,1
2019-03-21 19:37:00,1
2019-03-30 03:17:00,1
2019-04-03 17:28:00,1
2019-04-03 17:35:00,2
2019-04-03 17:54:00,3
2019-04-03 17:57:00,1
2019-04-03 17:58:00,1
2019-04-03 22:06:00,2
2019-04-05 01:47:00,1
2019-04-07 11:34:00,2
2019-04-10 15:16:00,1
2019-04-11 16:49:00,1
2019-04-11 16:51:00,1
2019-04-15 01:39:00,1
2019-04-15 06:42:00,1
2019-04-18 14:40:00,1
2019-04-20 03:35:00,1
2019-04-22 13:49:00,1
2019-04-22 13:52:00,1
2019-04-22 13:58:00,1
2019-04-22 15:09:00,1
2019-04-26 09:03:00,1
2019-04-26 19:53:00,1
2019-04-29 17:49:00,1
2019-04-29 17:53:00,1
2019-04-30 13:54:00,1
2019-04-30 14:14:00,1
2019-04-30 14:15:00,1
2019-04-30 15:09:00,1
2019-04-30 15:10:00,1
2019-04-30 15:44:00,1
2019-04-30 15:45:00,1
2019-04-30 15:46:00,2
2019-04-30 16:11:00,2
2019-05-02 14:46:00,1
2019-05-02 16:42:00,1
2019-05-04 09:40:00,1
2019-05-04 19:06:00,1
2019-05-08 09:01:00,1
2019-05-08 12:32:00,1
2019-05-08 15:26:00,2
2019-05-08 15:32:00,2
2019-05-08 15:33:00,1
2019-05-08 15:35:00,2
2019-05-08 15:36:00,5
2019-05-08 15:37:00,1
2019-05-08 15:39:00,1
2019-05-08 21:51:00,1
2019-05-09 00:32:00,1
2019-05-09 00:35:00,1
2019-05-09 00:46:00,1
2019-05-09 00:49:00,1
2019-05-09 10:38:00,1
2019-05-09 10:39:00,2
2019-05-09 10:41:00,1
2019-05-09 10:43:00,1
2019-05-09 10:44:00,1
2019-05-09 10:47:00,2
2019-05-09 13:39:00,3
2019-05-09 13:40:00,1
2019-05-09 13:45:00,1
2019-05-09 14:08:00,2
2019-05-09 14:12:00,1
2019-05-09 14:14:00,1
2019-05-09 18:59:00,1
2019-05-10 06:38:00,1
2019-05-10 09:05:00,3
2019-05-10 09:06:00,2
2019-05-13 18:42:00,1
2019-05-14 22:19:00,1
2019-05-16 13:52:00,2
2019-05-19 05:43:00,1
2019-05-21 11:44:00,1
2019-05-23 10:11:00,1
2019-05-24 07:14:00,1
2019-05-25 22:21:00,1
2019-05-27 15:20:00,1
2019-05-29 17:34:00,2
2019-06-02 04:34:00,1
2019-06-03 20:58:00,1
2019-06-05 21:02:00,2
2019-06-06 05:27:00,1
2019-06-12 02:26:00,1
2019-06-14 09:23:00,2
2019-06-16 05:32:00,2
2019-06-18 19:16:00,1
2019-06-24 05:10:00,1
2019-06-24 19:53:00,1
2019-06-25 14:01:00,1
