326,"SELECT p.RA, p.DEC, p.PetroR5#_r, p.PetroR5#_g, p.objid, s.z FROM PhotoObj as p JOIN SpecObj as s on s.bestobjid = p.objid WHERE objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = #"
2019-06-23 16:52:00,7
2019-06-23 16:53:00,22
2019-06-23 16:54:00,18
2019-06-23 16:55:00,17
2019-06-23 16:56:00,17
2019-06-23 16:57:00,16
2019-06-23 16:58:00,16
2019-06-23 16:59:00,16
2019-06-23 17:00:00,17
2019-06-23 17:01:00,13
2019-06-23 17:31:00,20
2019-06-23 17:32:00,41
2019-06-23 17:33:00,39
2019-06-23 17:34:00,26
2019-06-23 17:35:00,27
2019-06-23 17:36:00,14
