978,"SELECT p.ra, p.dec FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID and p.type = # and p.dered_r > = # and p.dered_r < = #"
2019-06-24 16:12:00,1
2019-06-24 17:04:00,1
2019-06-24 18:09:00,2
2019-06-24 18:10:00,2
2019-06-24 18:11:00,1
2019-06-24 18:12:00,1
2019-06-24 18:15:00,1
2019-06-24 18:16:00,1
2019-06-24 18:19:00,3
2019-06-24 18:20:00,4
2019-06-24 18:21:00,2
2019-06-24 18:25:00,3
2019-06-24 18:26:00,1
2019-06-24 18:28:00,1
2019-06-24 18:30:00,1
2019-06-24 18:31:00,2
2019-06-24 18:32:00,10
2019-06-24 18:33:00,6
2019-06-24 18:35:00,9
2019-06-24 18:36:00,10
2019-06-24 18:37:00,8
2019-06-24 18:38:00,7
2019-06-24 18:42:00,3
2019-06-24 18:43:00,11
2019-06-24 18:44:00,11
2019-06-24 18:45:00,3
2019-06-24 18:46:00,4
2019-06-24 18:47:00,9
2019-06-24 18:48:00,10
2019-06-24 18:49:00,2
2019-06-24 18:52:00,9
2019-06-24 18:53:00,11
2019-06-24 18:54:00,1
2019-06-24 18:55:00,10
2019-06-24 18:56:00,7
2019-06-24 19:01:00,7
2019-06-24 19:02:00,10
2019-06-24 19:04:00,4
2019-06-24 19:05:00,6
2019-06-24 19:06:00,8
2019-06-24 19:07:00,12
2019-06-24 19:08:00,8
2019-06-24 19:54:00,4
2019-06-24 19:55:00,8
2019-06-24 19:56:00,14
2019-06-24 19:57:00,9
2019-06-24 19:58:00,1
2019-06-24 19:59:00,13
2019-06-24 20:00:00,14
2019-06-24 20:01:00,13
2019-06-24 20:02:00,5
2019-06-24 20:03:00,1
2019-06-24 20:04:00,9
2019-06-24 20:05:00,13
2019-06-24 20:06:00,2
2019-06-24 20:48:00,10
2019-06-24 20:49:00,11
2019-06-24 20:51:00,2
2019-06-24 20:54:00,4
2019-06-24 20:55:00,5
2019-06-24 20:56:00,1
2019-06-24 20:57:00,10
2019-06-24 20:58:00,8
2019-06-24 21:00:00,2
2019-06-24 21:01:00,5
2019-06-24 21:02:00,11
2019-06-24 21:03:00,10
2019-06-24 21:04:00,12
2019-06-24 21:07:00,5
2019-06-24 21:08:00,12
2019-06-24 21:09:00,13
2019-06-24 21:10:00,8
2019-06-24 21:13:00,4
2019-06-24 21:14:00,11
2019-06-24 21:15:00,12
2019-06-24 21:16:00,9
2019-06-24 21:17:00,5
2019-06-24 21:18:00,14
2019-06-24 21:19:00,12
2019-06-24 21:21:00,12
2019-06-24 21:22:00,11
2019-06-24 21:23:00,7
2019-06-24 21:24:00,5
2019-06-24 21:25:00,12
2019-06-24 21:26:00,13
2019-06-24 21:27:00,12
2019-06-24 21:28:00,1
2019-06-24 21:29:00,9
2019-06-24 21:30:00,13
2019-06-24 21:31:00,3
2019-06-24 21:32:00,5
2019-06-24 21:33:00,9
2019-06-24 21:34:00,10
2019-06-24 21:35:00,1
2019-06-24 21:36:00,5
2019-06-24 21:37:00,9
2019-06-24 21:38:00,9
2019-06-24 21:39:00,2
2019-06-24 21:40:00,10
2019-06-24 21:41:00,7
2019-06-24 21:42:00,9
2019-06-24 21:43:00,3
2019-06-24 21:44:00,3
2019-06-24 22:10:00,5
2019-06-24 22:11:00,11
2019-06-24 22:12:00,11
2019-06-24 22:13:00,5
2019-06-24 22:14:00,9
2019-06-24 22:15:00,4
2019-06-24 22:46:00,2
2019-06-24 22:47:00,8
2019-06-24 22:48:00,10
2019-06-24 22:49:00,6
2019-06-24 22:50:00,8
2019-06-24 22:51:00,8
2019-06-24 22:52:00,9
2019-06-24 22:53:00,10
2019-06-24 22:54:00,10
2019-06-24 22:55:00,9
2019-06-24 22:56:00,9
2019-06-24 22:57:00,12
2019-06-24 22:58:00,6
2019-06-25 02:05:00,2
2019-06-25 02:06:00,1
2019-06-25 02:07:00,4
2019-06-25 02:08:00,5
2019-06-25 02:09:00,11
2019-06-25 02:10:00,13
2019-06-25 02:11:00,14
2019-06-25 02:12:00,13
2019-06-25 03:12:00,10
2019-06-25 03:28:00,1
2019-06-25 03:29:00,1
2019-06-25 03:49:00,2
2019-06-26 13:14:00,1
2019-06-26 13:15:00,10
2019-06-26 13:42:00,3
2019-06-26 13:52:00,1
2019-06-26 14:16:00,1
2019-06-26 14:17:00,3
2019-06-26 14:29:00,3
2019-06-26 14:30:00,1
2019-06-26 15:00:00,1
2019-06-26 15:01:00,2
2019-07-01 21:50:00,1
2019-07-02 11:24:00,1
2019-07-02 11:27:00,1
2019-07-02 11:29:00,2
2019-07-02 11:30:00,1
2019-07-02 11:31:00,1
2019-07-02 11:32:00,2
2019-07-02 11:34:00,2
2019-07-02 11:35:00,1
2019-07-02 11:36:00,2
2019-07-02 11:37:00,1
2019-07-02 12:46:00,1
2019-07-02 12:54:00,1
2019-07-02 13:03:00,1
