18,"select top # elodieFeH, elodieTEff, elodieObject, elodieSpType, elodieLogG, elodieBV, wCoverage, spectroSynFlux_u from specObj where class = # AND elodieTEff > # AND elodieFeH > # AND elodieFeH < #"
2019-06-26 07:54:00,1
2019-06-26 07:57:00,2
2019-06-26 07:58:00,1
2019-06-26 07:59:00,1
2019-06-26 08:00:00,1
2019-06-26 08:01:00,2
2019-06-26 08:03:00,1
2019-06-26 08:04:00,1
2019-06-26 08:05:00,1
2019-06-26 08:11:00,1
2019-06-26 08:12:00,2
2019-06-26 08:13:00,1
2019-06-26 08:14:00,2
2019-06-26 08:17:00,1
