777,SELECT count (*)
2019-01-03 13:25:00,3
2019-01-03 13:28:00,1
2019-01-03 15:46:00,1
2019-01-03 15:47:00,1
2019-01-03 15:48:00,1
2019-01-03 15:51:00,1
2019-01-04 04:21:00,1
2019-01-04 04:22:00,1
2019-01-04 04:23:00,2
2019-01-04 06:50:00,1
2019-01-08 19:06:00,1
2019-01-08 19:21:00,1
2019-01-08 19:26:00,1
2019-01-08 19:28:00,1
2019-01-09 09:57:00,3
2019-01-09 10:02:00,2
2019-01-09 17:51:00,1
2019-01-18 10:16:00,2
2019-01-22 22:10:00,4
2019-01-22 22:11:00,2
2019-01-22 22:22:00,1
2019-01-23 20:11:00,1
2019-01-23 20:14:00,1
2019-01-24 18:30:00,1
2019-01-25 07:28:00,1
2019-01-29 01:44:00,1
2019-01-29 01:45:00,1
2019-01-29 10:02:00,1
2019-01-29 10:11:00,1
2019-01-29 10:12:00,1
2019-01-29 10:13:00,1
2019-01-30 07:02:00,1
2019-01-30 07:03:00,1
2019-01-30 07:04:00,1
2019-01-30 07:06:00,1
2019-01-30 07:07:00,2
2019-01-30 07:08:00,1
2019-01-30 07:14:00,1
2019-01-30 07:15:00,1
2019-01-30 07:29:00,1
2019-01-30 18:16:00,3
2019-02-01 09:02:00,1
2019-02-01 09:03:00,1
2019-02-04 06:46:00,1
2019-02-04 22:25:00,1
2019-02-04 22:27:00,1
2019-02-05 02:02:00,1
2019-02-06 03:19:00,1
2019-02-06 03:22:00,1
2019-02-06 03:23:00,1
2019-02-06 11:46:00,1
2019-02-06 14:34:00,1
2019-02-06 14:35:00,1
2019-02-06 14:36:00,1
2019-02-06 14:54:00,1
2019-02-06 14:55:00,1
2019-02-06 14:56:00,1
2019-02-07 14:26:00,2
2019-02-07 14:29:00,1
2019-02-07 23:10:00,1
2019-02-10 01:53:00,1
2019-02-10 02:02:00,1
2019-02-10 02:10:00,1
2019-02-10 02:21:00,1
2019-02-10 02:49:00,1
2019-02-10 03:19:00,1
2019-02-10 03:30:00,1
2019-02-10 03:33:00,1
2019-02-10 04:02:00,1
2019-02-10 04:05:00,1
2019-02-10 04:10:00,1
2019-02-10 04:16:00,1
2019-02-10 13:18:00,1
2019-02-10 18:08:00,1
2019-02-10 22:35:00,1
2019-02-10 22:41:00,1
2019-02-10 22:45:00,1
2019-02-10 22:46:00,1
2019-02-10 23:01:00,1
2019-02-10 23:39:00,1
2019-02-10 23:40:00,1
2019-02-10 23:42:00,1
2019-02-11 01:19:00,1
2019-02-11 01:56:00,1
2019-02-11 02:01:00,1
2019-02-11 02:02:00,1
2019-02-11 02:19:00,1
2019-02-11 03:05:00,1
2019-02-11 03:11:00,1
2019-02-11 03:15:00,1
2019-02-11 23:06:00,1
2019-02-11 23:07:00,1
2019-02-11 23:48:00,1
2019-02-12 00:02:00,1
2019-02-12 00:11:00,1
2019-02-12 00:18:00,1
2019-02-12 00:38:00,1
2019-02-12 01:07:00,1
2019-02-12 01:22:00,1
2019-02-12 01:38:00,2
2019-02-12 01:40:00,2
2019-02-12 01:42:00,1
2019-02-12 01:43:00,1
2019-02-12 01:45:00,1
2019-02-12 03:10:00,1
2019-02-12 03:14:00,1
2019-02-12 03:17:00,1
2019-02-12 03:47:00,1
2019-02-12 03:55:00,1
2019-02-12 03:56:00,1
2019-02-12 03:59:00,1
2019-02-12 04:34:00,1
2019-02-12 04:35:00,1
2019-02-12 04:48:00,1
2019-02-12 05:18:00,1
2019-02-12 05:20:00,1
2019-02-12 05:29:00,1
2019-02-12 05:41:00,1
2019-02-12 05:43:00,3
2019-02-12 05:45:00,1
2019-02-12 05:46:00,1
2019-02-12 05:47:00,1
2019-02-12 05:48:00,2
2019-02-12 06:38:00,1
2019-02-12 13:51:00,1
2019-02-12 13:53:00,1
2019-02-12 14:02:00,1
2019-02-12 14:03:00,1
2019-02-12 14:04:00,1
2019-02-12 16:23:00,2
2019-02-18 19:56:00,1
2019-02-18 19:57:00,1
2019-02-19 10:55:00,2
2019-02-20 22:25:00,1
2019-02-20 22:26:00,1
2019-02-25 16:25:00,1
2019-02-25 16:26:00,1
2019-03-05 12:48:00,2
2019-03-05 12:54:00,1
2019-03-05 13:06:00,1
2019-03-05 13:08:00,1
2019-03-05 13:09:00,1
2019-03-05 13:10:00,2
2019-03-05 13:11:00,1
2019-03-05 13:12:00,2
2019-03-05 13:13:00,2
2019-03-05 13:14:00,3
2019-03-05 13:56:00,1
2019-03-05 13:57:00,1
2019-03-05 14:02:00,1
2019-03-05 14:06:00,1
2019-03-05 14:07:00,1
2019-03-05 14:08:00,1
2019-03-05 14:10:00,1
2019-03-05 14:11:00,3
2019-03-05 14:12:00,3
2019-03-05 14:13:00,2
2019-03-06 13:56:00,3
2019-03-06 13:57:00,4
2019-03-06 13:58:00,3
2019-03-07 15:53:00,1
2019-03-07 21:45:00,1
2019-03-07 21:47:00,1
2019-03-07 21:48:00,1
2019-03-07 21:52:00,1
2019-03-07 21:54:00,1
2019-03-10 04:24:00,1
2019-03-12 15:24:00,1
2019-03-12 15:30:00,1
2019-03-12 15:36:00,1
2019-03-12 15:37:00,3
2019-03-12 15:38:00,3
2019-03-12 15:39:00,2
2019-03-12 15:40:00,4
2019-03-12 15:41:00,3
2019-03-12 15:42:00,4
2019-03-12 15:43:00,4
2019-03-12 15:44:00,4
2019-03-12 15:45:00,4
2019-03-15 11:49:00,1
2019-03-15 11:50:00,1
2019-03-15 11:57:00,1
2019-03-15 11:58:00,1
2019-03-15 11:59:00,2
2019-03-15 12:01:00,1
2019-03-15 12:03:00,2
2019-03-15 12:04:00,1
2019-03-15 12:05:00,2
2019-03-15 12:06:00,1
2019-03-15 12:51:00,1
2019-03-15 12:52:00,1
2019-03-15 13:03:00,1
2019-03-15 13:04:00,2
2019-03-15 13:05:00,1
2019-03-15 13:31:00,2
2019-03-15 13:33:00,1
2019-03-15 13:34:00,1
2019-03-15 13:35:00,3
2019-03-15 13:36:00,2
2019-03-15 13:37:00,2
2019-03-15 13:38:00,2
2019-03-15 13:39:00,3
2019-03-15 13:40:00,4
2019-03-15 13:41:00,3
2019-03-15 13:42:00,2
2019-03-15 13:44:00,1
2019-03-18 11:55:00,1
2019-03-18 12:41:00,1
2019-03-18 12:49:00,3
2019-03-18 12:50:00,2
2019-03-18 12:52:00,1
2019-03-18 12:53:00,1
2019-03-18 13:00:00,1
2019-03-18 13:05:00,1
2019-03-18 13:06:00,2
2019-03-18 13:20:00,1
2019-03-18 13:22:00,1
2019-03-18 13:26:00,1
2019-03-18 13:28:00,1
2019-03-18 13:33:00,1
2019-03-18 13:36:00,1
2019-03-18 13:37:00,1
2019-03-18 13:38:00,1
2019-03-18 13:40:00,1
2019-03-18 13:46:00,1
2019-03-18 13:56:00,1
2019-03-18 13:57:00,1
2019-03-18 13:59:00,1
2019-03-18 14:00:00,1
2019-03-18 14:01:00,1
2019-03-18 14:08:00,1
2019-03-21 16:21:00,1
2019-03-21 16:26:00,1
2019-03-22 11:59:00,1
2019-03-22 12:06:00,1
2019-03-23 13:14:00,3
2019-03-23 13:15:00,2
2019-03-27 09:20:00,2
2019-03-27 09:21:00,2
2019-03-27 09:22:00,2
2019-03-27 09:23:00,3
2019-03-27 09:24:00,3
2019-03-27 09:25:00,2
2019-03-27 09:26:00,1
2019-03-27 11:10:00,2
2019-03-27 11:13:00,3
2019-03-27 11:14:00,3
2019-03-27 11:15:00,3
2019-03-27 11:16:00,2
2019-03-27 14:30:00,1
2019-03-27 22:00:00,2
2019-03-28 16:32:00,2
2019-03-28 16:33:00,2
2019-03-28 16:34:00,2
2019-03-29 22:49:00,1
2019-03-29 22:50:00,1
2019-03-29 22:51:00,1
2019-03-29 22:52:00,3
2019-03-29 22:53:00,1
2019-03-30 09:52:00,1
2019-03-30 10:12:00,1
2019-03-30 11:46:00,1
2019-04-01 13:27:00,1
2019-04-01 14:22:00,1
2019-04-03 07:46:00,1
2019-04-04 15:35:00,3
2019-04-04 15:36:00,1
2019-04-04 15:37:00,4
2019-04-04 15:38:00,2
2019-04-04 15:39:00,1
2019-04-04 15:40:00,2
2019-04-04 15:41:00,1
2019-04-08 21:12:00,1
2019-04-10 17:09:00,1
2019-04-10 17:16:00,2
2019-04-10 17:17:00,2
2019-04-10 17:18:00,1
2019-04-10 17:27:00,1
2019-04-10 17:28:00,1
2019-04-10 17:33:00,1
2019-04-10 17:34:00,1
2019-04-10 17:35:00,1
2019-04-10 17:39:00,2
2019-04-10 17:43:00,1
2019-04-22 02:13:00,1
2019-04-22 04:49:00,1
2019-04-22 04:50:00,1
2019-04-23 15:15:00,1
2019-04-23 15:21:00,1
2019-04-24 13:48:00,3
2019-04-24 17:46:00,1
2019-04-24 17:47:00,1
2019-04-27 13:01:00,1
2019-04-28 02:10:00,1
2019-04-28 02:13:00,2
2019-04-28 02:15:00,1
2019-05-04 14:39:00,1
2019-05-04 14:40:00,1
2019-05-14 03:42:00,1
2019-05-14 06:29:00,1
2019-05-14 18:27:00,1
2019-05-14 18:29:00,3
2019-05-14 18:31:00,1
2019-05-14 18:32:00,1
2019-05-14 18:34:00,2
2019-05-14 18:35:00,1
2019-05-16 13:16:00,1
2019-05-16 23:04:00,1
2019-05-17 09:05:00,1
2019-05-17 09:06:00,1
2019-05-17 09:07:00,1
2019-05-17 09:09:00,2
2019-05-17 09:10:00,6
2019-05-17 09:11:00,7
2019-05-17 09:12:00,5
2019-05-17 09:13:00,3
2019-05-17 09:14:00,1
2019-05-17 09:15:00,2
2019-05-17 09:16:00,3
2019-05-17 12:41:00,1
2019-05-17 12:43:00,1
2019-05-17 13:03:00,1
2019-05-17 13:04:00,1
2019-05-17 13:05:00,2
2019-05-17 13:06:00,1
2019-05-17 13:07:00,1
2019-05-17 13:08:00,1
2019-05-17 13:09:00,1
2019-05-17 13:15:00,1
2019-05-17 13:16:00,1
2019-05-17 13:21:00,1
2019-05-17 13:22:00,1
2019-05-17 13:23:00,1
2019-05-17 13:24:00,1
2019-05-17 13:25:00,1
2019-05-17 13:26:00,1
2019-05-17 13:27:00,1
2019-05-17 13:29:00,2
2019-05-17 13:31:00,1
2019-05-23 03:03:00,1
2019-05-23 09:33:00,1
2019-05-24 15:50:00,1
2019-05-24 15:54:00,1
2019-05-24 16:15:00,1
2019-05-24 16:17:00,1
2019-05-28 17:51:00,2
2019-05-28 17:55:00,1
2019-05-28 18:45:00,5
2019-05-30 09:16:00,1
2019-06-01 13:39:00,1
2019-06-03 04:58:00,2
2019-06-03 04:59:00,1
2019-06-03 05:04:00,2
2019-06-07 13:07:00,3
2019-06-07 13:08:00,1
2019-06-15 09:13:00,1
2019-06-15 09:16:00,1
2019-07-02 18:55:00,1
2019-07-07 06:37:00,1
2019-07-07 06:44:00,1
2019-07-07 06:45:00,1
2019-07-07 06:50:00,1
2019-07-17 22:38:00,1
2019-07-18 20:24:00,1
2019-07-18 20:25:00,1
2019-07-22 21:30:00,1
2019-07-22 21:31:00,1
2019-07-22 21:32:00,1
2019-07-22 21:33:00,1
2019-07-26 08:18:00,2
2019-07-31 15:28:00,1
2019-08-14 23:21:00,2
2019-08-17 15:12:00,1
2019-08-17 15:17:00,1
2019-08-19 02:00:00,1
2019-08-20 18:33:00,1
2019-08-22 02:13:00,2
2019-08-22 02:16:00,1
2019-08-22 02:44:00,1
2019-08-22 02:51:00,1
2019-08-23 05:21:00,2
