2830,"SELECT TOP # ra, dec, u, err_u, g, err_g, r, err_r, i, err_i from STAR where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-07-20 22:46:00,2
2019-07-20 22:52:00,13
2019-07-20 22:53:00,23
2019-07-20 22:54:00,3
2019-07-20 23:02:00,2
2019-07-20 23:03:00,1
2019-07-20 23:04:00,7
2019-07-20 23:07:00,2
2019-07-20 23:47:00,10
2019-07-20 23:48:00,75
2019-07-20 23:49:00,76
2019-07-20 23:50:00,39
2019-07-20 23:51:00,67
2019-07-20 23:52:00,33
2019-07-21 00:02:00,34
2019-07-21 00:03:00,66
2019-07-21 00:04:00,11
2019-07-21 00:05:00,81
2019-07-21 00:06:00,8
2019-07-21 00:07:00,2
2019-07-21 00:09:00,6
2019-07-21 00:10:00,2
2019-07-21 00:11:00,4
2019-07-21 00:13:00,4
2019-07-21 00:14:00,1
2019-07-21 00:15:00,1
2019-07-21 00:16:00,13
2019-07-21 00:28:00,1
2019-07-21 00:30:00,1
2019-07-21 00:31:00,1
2019-07-21 00:32:00,1
2019-07-21 00:33:00,3
2019-07-21 00:34:00,13
2019-07-21 00:35:00,13
2019-07-21 00:38:00,13
2019-07-21 00:39:00,13
2019-07-21 00:45:00,23
2019-07-21 00:46:00,70
2019-07-21 00:47:00,20
2019-07-21 00:51:00,10
2019-08-17 03:25:00,26
2019-08-17 03:26:00,9
2019-08-17 03:28:00,6
2019-08-17 03:29:00,28
2019-08-17 03:30:00,1
2019-08-17 03:42:00,1
2019-08-17 03:43:00,9
2019-08-17 03:44:00,11
2019-08-17 03:45:00,3
2019-08-17 03:48:00,1
2019-08-17 03:49:00,2
2019-08-17 03:50:00,17
2019-08-17 03:51:00,20
2019-08-17 03:58:00,23
2019-08-17 03:59:00,6
2019-08-17 04:00:00,21
2019-08-17 05:53:00,7
2019-08-17 05:54:00,26
2019-08-17 05:55:00,27
2019-08-17 05:56:00,28
2019-08-17 05:57:00,30
2019-08-17 05:58:00,28
2019-08-17 05:59:00,31
2019-08-17 06:00:00,30
2019-08-17 06:01:00,27
2019-08-17 06:02:00,30
2019-08-17 06:03:00,34
2019-08-17 06:04:00,32
2019-08-17 06:05:00,29
2019-08-17 06:06:00,29
2019-08-17 06:07:00,28
2019-08-17 06:08:00,31
2019-08-17 06:09:00,29
2019-08-17 06:10:00,29
2019-08-17 06:11:00,32
2019-08-17 06:12:00,30
2019-08-17 06:13:00,30
2019-08-17 06:14:00,32
2019-08-17 06:15:00,31
2019-08-17 06:16:00,29
2019-08-17 06:17:00,31
2019-08-17 06:18:00,30
2019-08-17 06:19:00,32
2019-08-17 06:20:00,23
2019-08-17 06:21:00,32
2019-08-17 06:22:00,29
2019-08-17 06:23:00,27
2019-08-17 06:24:00,27
2019-08-17 06:25:00,30
2019-08-17 06:26:00,25
2019-08-17 06:27:00,27
2019-08-17 06:28:00,26
2019-08-17 06:29:00,31
2019-08-17 06:30:00,29
2019-08-17 06:31:00,26
2019-08-17 06:32:00,28
2019-08-17 06:33:00,27
2019-08-17 06:34:00,30
2019-08-17 06:35:00,31
2019-08-17 06:36:00,34
2019-08-17 06:37:00,31
2019-08-17 06:38:00,29
2019-08-17 06:39:00,32
2019-08-17 06:40:00,32
2019-08-17 06:41:00,30
2019-08-17 06:42:00,32
2019-08-17 06:43:00,29
2019-08-17 06:44:00,28
2019-08-17 06:45:00,31
2019-08-17 06:46:00,30
2019-08-17 06:47:00,30
2019-08-17 06:48:00,30
2019-08-17 06:49:00,32
2019-08-17 06:50:00,32
2019-08-17 06:51:00,28
2019-08-17 06:52:00,27
2019-08-17 06:53:00,31
2019-08-17 06:54:00,31
2019-08-17 06:55:00,33
2019-08-17 06:56:00,36
