25687,"select survey, run2d, plate, mjd, fiberID, specObjID from SpecObj where class = # and ra between # and # and dec between # and #"
2019-01-23 22:44:00,9
2019-01-23 22:45:00,29
2019-01-23 22:46:00,27
2019-01-23 22:47:00,7
2019-01-23 22:48:00,35
2019-01-23 22:49:00,36
2019-01-23 22:50:00,18
2019-01-23 22:51:00,16
2019-01-23 22:52:00,15
2019-01-23 22:53:00,20
2019-01-23 22:54:00,19
2019-01-23 22:55:00,10
2019-01-23 22:56:00,22
2019-01-23 22:57:00,20
2019-01-23 22:58:00,26
2019-01-23 22:59:00,20
2019-01-23 23:00:00,11
2019-01-23 23:01:00,16
2019-01-23 23:02:00,21
2019-01-23 23:03:00,22
2019-01-23 23:04:00,28
2019-01-23 23:05:00,18
2019-01-23 23:06:00,15
2019-01-23 23:07:00,12
2019-01-23 23:08:00,20
2019-01-23 23:09:00,21
2019-01-23 23:10:00,29
2019-01-23 23:11:00,30
2019-01-23 23:12:00,15
2019-01-23 23:13:00,11
2019-01-23 23:14:00,21
2019-01-23 23:15:00,26
2019-01-23 23:16:00,22
2019-01-23 23:17:00,21
2019-01-23 23:18:00,16
2019-01-23 23:19:00,14
2019-01-23 23:20:00,23
2019-01-23 23:21:00,21
2019-01-23 23:22:00,24
2019-01-23 23:23:00,19
2019-01-23 23:24:00,23
2019-01-23 23:25:00,10
2019-01-23 23:26:00,18
2019-01-23 23:27:00,14
2019-01-23 23:28:00,25
2019-01-23 23:29:00,18
2019-01-23 23:30:00,14
2019-01-23 23:31:00,11
2019-01-23 23:32:00,25
2019-01-23 23:33:00,19
2019-01-23 23:34:00,12
2019-01-23 23:35:00,18
2019-01-23 23:36:00,25
2019-01-23 23:37:00,17
2019-01-23 23:38:00,22
2019-01-23 23:39:00,18
2019-01-23 23:40:00,17
2019-01-23 23:41:00,32
2019-01-23 23:42:00,29
2019-01-23 23:43:00,33
2019-01-23 23:44:00,29
2019-01-23 23:45:00,26
2019-01-23 23:46:00,37
2019-01-23 23:47:00,17
2019-01-23 23:48:00,16
2019-01-23 23:49:00,7
2019-01-23 23:50:00,8
2019-01-23 23:51:00,1
2019-01-23 23:52:00,1
2019-02-07 03:47:00,26
2019-02-07 03:48:00,17
2019-02-07 03:49:00,25
2019-02-07 03:50:00,4
2019-02-07 03:51:00,43
2019-02-07 03:52:00,19
2019-02-07 03:53:00,13
2019-02-07 03:54:00,15
2019-02-07 03:55:00,18
2019-02-07 03:56:00,27
2019-02-07 03:57:00,8
2019-02-07 03:58:00,12
2019-02-07 03:59:00,10
2019-02-07 04:00:00,10
2019-02-07 04:01:00,21
2019-02-07 04:02:00,3
2019-02-07 04:03:00,3
2019-02-07 04:04:00,8
2019-02-07 04:05:00,9
2019-02-07 04:06:00,20
2019-02-07 04:07:00,15
2019-02-07 04:08:00,10
2019-02-07 04:09:00,6
2019-02-07 04:10:00,11
2019-02-07 04:11:00,11
2019-02-07 04:12:00,10
2019-02-07 04:13:00,16
2019-02-07 04:14:00,15
2019-02-07 04:15:00,11
2019-02-07 04:16:00,11
2019-02-07 04:17:00,9
2019-02-07 04:18:00,6
2019-02-07 04:19:00,15
2019-02-07 04:20:00,27
2019-02-07 04:21:00,9
2019-02-07 04:22:00,11
2019-02-07 04:23:00,10
2019-02-07 04:24:00,15
2019-02-07 04:25:00,15
2019-02-07 04:26:00,15
2019-02-07 04:27:00,23
2019-02-07 04:28:00,20
2019-02-07 04:29:00,12
2019-02-07 04:30:00,13
2019-02-07 04:31:00,17
2019-02-07 04:32:00,12
2019-02-07 04:33:00,12
2019-02-07 04:34:00,18
2019-02-07 04:35:00,21
2019-02-07 04:36:00,15
2019-02-07 04:37:00,19
2019-02-07 04:38:00,21
2019-02-07 04:39:00,19
2019-02-07 04:40:00,18
2019-02-07 04:41:00,14
2019-02-07 04:42:00,13
2019-02-07 04:43:00,15
2019-02-07 04:44:00,12
2019-02-07 04:45:00,9
2019-02-07 04:46:00,12
2019-02-07 04:47:00,17
2019-02-07 04:48:00,14
2019-02-07 04:49:00,13
2019-02-07 04:50:00,14
2019-02-07 04:51:00,15
2019-02-07 04:52:00,9
2019-02-07 04:53:00,18
2019-02-07 04:54:00,21
2019-02-07 04:55:00,10
2019-02-07 04:56:00,20
2019-02-07 04:57:00,10
2019-02-07 04:58:00,12
2019-02-07 04:59:00,16
2019-02-07 05:00:00,10
2019-02-07 05:01:00,4
2019-02-07 05:02:00,18
2019-02-07 05:03:00,28
2019-02-07 05:04:00,30
2019-02-07 05:05:00,24
2019-02-07 05:06:00,14
2019-02-07 05:07:00,21
2019-02-07 05:08:00,29
2019-02-07 05:09:00,22
2019-02-07 05:10:00,22
2019-02-07 05:11:00,14
2019-02-07 05:12:00,13
2019-02-07 05:13:00,19
2019-02-07 05:14:00,11
2019-02-07 05:15:00,3
2019-02-07 05:16:00,5
2019-02-07 05:17:00,1
2019-02-07 05:18:00,2
2019-02-19 19:30:00,33
2019-02-19 19:31:00,119
2019-02-19 19:32:00,122
2019-02-19 19:33:00,104
2019-02-19 19:34:00,101
2019-02-19 19:35:00,105
2019-02-19 19:36:00,89
2019-02-19 19:37:00,131
2019-02-19 19:38:00,109
2019-02-19 19:39:00,107
2019-02-19 19:40:00,98
2019-02-19 19:41:00,119
2019-02-19 19:42:00,118
2019-02-19 19:43:00,44
2019-02-20 03:23:00,57
2019-02-20 03:24:00,167
2019-02-20 03:25:00,146
2019-02-20 03:26:00,154
2019-02-20 03:27:00,166
2019-02-20 03:28:00,169
2019-02-20 03:29:00,178
2019-02-20 03:30:00,153
2019-02-20 03:31:00,225
2019-03-01 04:49:00,40
