89,"SELECT u.up_name as [name], s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN SpecObjAll s ON s.specObjID = x.specObjID"
2019-01-23 11:21:00,1
2019-01-23 11:27:00,1
2019-01-23 11:29:00,1
2019-01-23 11:30:00,1
2019-02-03 01:33:00,1
2019-02-10 03:30:00,1
2019-02-17 06:10:00,1
2019-02-17 06:14:00,1
2019-02-17 06:17:00,1
2019-02-17 06:18:00,2
2019-02-17 06:19:00,1
2019-02-25 04:07:00,1
2019-02-25 04:08:00,1
2019-02-25 04:10:00,1
2019-02-25 04:11:00,1
2019-02-25 06:41:00,1
2019-02-25 06:45:00,1
2019-02-25 06:46:00,1
2019-02-28 16:39:00,1
2019-03-06 06:07:00,2
2019-03-06 06:10:00,1
2019-03-06 06:11:00,1
2019-03-06 06:12:00,1
2019-03-06 06:24:00,1
2019-03-06 06:25:00,1
2019-03-06 06:27:00,1
2019-03-06 06:28:00,1
2019-03-06 06:34:00,1
2019-03-06 06:39:00,1
2019-03-13 23:46:00,2
2019-03-20 20:45:00,2
2019-03-23 07:07:00,1
2019-03-23 07:15:00,1
2019-03-23 07:22:00,2
2019-03-23 07:23:00,2
2019-03-23 07:31:00,1
2019-03-23 07:42:00,1
2019-04-05 03:16:00,1
2019-04-05 03:42:00,1
2019-04-08 13:24:00,1
2019-04-22 03:56:00,1
2019-04-22 03:57:00,1
2019-05-14 12:10:00,1
2019-06-03 08:56:00,2
2019-06-03 08:59:00,1
2019-07-03 17:47:00,2
2019-07-17 13:48:00,1
2019-07-18 15:03:00,1
2019-07-18 15:04:00,1
2019-07-18 15:14:00,1
2019-07-18 15:49:00,1
2019-07-18 15:59:00,4
2019-07-18 16:00:00,2
2019-07-19 10:17:00,1
2019-07-28 21:07:00,1
2019-09-01 07:43:00,1
2019-09-12 03:30:00,1
2019-09-12 03:41:00,3
2019-09-12 03:42:00,1
2019-09-12 03:47:00,1
2019-09-19 14:17:00,1
2019-10-30 16:54:00,1
2019-10-30 17:32:00,1
2019-10-30 17:40:00,2
2019-11-05 10:38:00,1
2019-11-08 02:57:00,1
2019-11-18 01:56:00,1
2019-11-24 19:03:00,1
2019-12-03 20:55:00,1
2019-12-10 15:40:00,1
2019-12-14 00:12:00,1
2019-12-14 00:27:00,1
2019-12-24 10:46:00,1
2019-12-24 10:47:00,1
