114,"SELECT TOP # w.w1mpro as w1, w.w2mpro as w2, w.w3mpro as w3 FROM WISE_xmatch AS x JOIN WISE_allsky AS w ON x.wise_cntr = w.cntr JOIN (SELECT * FROM SpecPhotoAll WHERE SpecPhotoAll.nChild = #) AS p ON x.sdss_objid = p.objid JOIN (SELECT * FROM SpecObjAll WHERE SpecObjAll.z > # AND SpecObjAll.z < #) AS s ON s.specobjid = p.specobjid WHERE (s.class = # or s.class = #)"
2019-08-21 14:50:00,1
2019-08-21 14:55:00,1
2019-08-21 15:08:00,1
2019-08-21 15:10:00,1
2019-08-21 15:12:00,1
2019-08-21 15:13:00,1
2019-08-21 15:16:00,1
2019-08-21 15:17:00,1
2019-08-21 15:19:00,2
2019-08-21 15:20:00,1
2019-08-21 15:21:00,1
2019-08-21 15:22:00,3
2019-08-21 15:24:00,1
2019-08-21 15:25:00,1
2019-08-21 15:27:00,2
2019-08-21 15:28:00,1
2019-08-21 15:45:00,2
2019-08-21 15:46:00,1
2019-08-21 15:47:00,1
2019-08-21 15:48:00,1
2019-08-21 15:49:00,1
2019-08-21 15:50:00,1
2019-08-21 15:51:00,1
2019-08-21 15:52:00,2
2019-08-21 15:53:00,1
2019-08-21 15:54:00,2
2019-08-21 15:55:00,2
2019-08-21 15:56:00,2
2019-08-21 15:57:00,3
2019-08-21 15:58:00,2
2019-08-21 15:59:00,2
2019-08-21 16:00:00,2
2019-08-21 16:01:00,3
2019-08-21 16:03:00,2
2019-08-21 16:04:00,2
2019-08-21 16:05:00,3
2019-08-21 16:06:00,2
2019-08-21 16:07:00,3
2019-08-21 16:08:00,4
2019-08-21 16:09:00,4
2019-08-21 16:10:00,3
2019-08-21 16:11:00,2
2019-08-21 16:12:00,2
2019-08-21 16:13:00,4
2019-08-21 16:14:00,5
2019-08-21 16:15:00,4
2019-08-21 16:16:00,2
2019-08-21 16:17:00,2
2019-08-21 16:18:00,3
2019-08-21 16:19:00,1
2019-08-21 16:20:00,3
2019-08-21 16:21:00,2
2019-08-21 16:22:00,1
2019-08-21 16:23:00,1
2019-08-21 16:24:00,1
2019-08-21 16:25:00,1
2019-08-21 16:26:00,1
2019-08-21 16:27:00,2
2019-08-21 16:28:00,1
2019-08-21 16:29:00,3
2019-08-21 16:30:00,1
