544,select fieldid from field where medianpsfcolor_z between # and -.# and q_u between # and #
2019-01-24 20:55:00,3
2019-01-24 22:38:00,2
2019-01-25 01:10:00,2
2019-01-25 01:12:00,1
2019-01-25 01:28:00,1
2019-01-25 03:09:00,1
2019-01-25 04:15:00,5
2019-01-25 04:39:00,2
2019-01-25 04:41:00,2
2019-01-25 04:52:00,1
2019-01-25 06:26:00,1
2019-01-25 06:34:00,3
2019-01-25 06:38:00,3
2019-01-25 06:42:00,1
2019-01-25 06:45:00,1
2019-01-25 06:46:00,2
2019-01-25 06:48:00,1
2019-01-25 06:50:00,2
2019-01-25 07:01:00,2
2019-01-25 07:02:00,5
2019-01-25 07:09:00,2
2019-01-25 07:10:00,1
2019-01-25 07:19:00,2
2019-01-25 08:27:00,3
2019-01-25 08:28:00,1
2019-01-25 08:40:00,4
2019-01-25 08:42:00,6
2019-01-25 08:43:00,4
2019-01-25 08:45:00,7
2019-01-25 08:47:00,2
2019-01-25 08:48:00,1
2019-01-25 08:51:00,1
2019-01-25 08:52:00,2
2019-01-25 08:53:00,7
2019-01-25 08:54:00,2
2019-01-25 08:55:00,1
2019-01-25 08:57:00,2
2019-01-25 08:58:00,2
2019-01-25 08:59:00,2
2019-01-25 09:00:00,2
2019-01-25 09:01:00,4
2019-01-25 09:05:00,2
2019-01-25 09:06:00,2
2019-01-25 10:12:00,5
2019-01-25 10:14:00,7
2019-01-25 12:13:00,1
2019-01-25 12:17:00,1
2019-01-25 12:18:00,2
2019-01-25 12:22:00,1
2019-01-25 16:22:00,1
2019-01-27 10:43:00,2
2019-01-27 10:44:00,1
2019-01-27 10:46:00,15
2019-01-27 10:53:00,4
2019-01-27 10:54:00,5
2019-01-27 10:59:00,1
2019-01-28 02:44:00,10
2019-01-28 02:45:00,3
2019-01-28 02:46:00,7
2019-01-28 02:47:00,4
2019-01-28 02:48:00,7
2019-01-28 02:49:00,7
2019-01-28 02:58:00,3
2019-01-28 02:59:00,4
2019-01-28 13:30:00,7
2019-01-28 13:58:00,1
2019-01-28 14:04:00,1
2019-01-28 16:06:00,1
2019-01-28 16:07:00,2
2019-01-28 16:08:00,8
2019-01-28 16:09:00,4
2019-01-28 16:10:00,4
2019-01-28 16:11:00,2
2019-01-28 16:16:00,1
2019-01-28 16:17:00,1
2019-01-28 16:18:00,4
2019-01-28 16:22:00,7
2019-01-28 16:23:00,4
2019-01-28 17:00:00,5
2019-01-28 17:02:00,2
2019-01-28 17:03:00,5
2019-01-28 17:08:00,1
2019-01-28 17:09:00,2
2019-01-28 17:10:00,6
2019-01-28 17:11:00,2
2019-01-28 17:12:00,7
2019-01-28 17:13:00,8
2019-01-28 17:14:00,1
2019-01-28 17:28:00,4
2019-01-28 17:55:00,1
2019-01-28 20:48:00,4
2019-01-28 20:49:00,5
2019-01-28 23:05:00,6
2019-01-28 23:06:00,17
2019-01-28 23:07:00,23
2019-01-28 23:08:00,13
2019-01-28 23:09:00,24
2019-01-28 23:10:00,21
2019-01-28 23:11:00,6
2019-01-28 23:15:00,1
2019-01-28 23:16:00,13
2019-01-28 23:17:00,15
2019-01-28 23:18:00,25
2019-01-28 23:19:00,23
2019-01-28 23:20:00,16
2019-01-28 23:21:00,5
2019-02-26 11:41:00,3
2019-02-26 11:42:00,1
2019-02-26 11:51:00,1
2019-02-26 12:57:00,10
2019-02-26 13:36:00,9
2019-02-26 13:37:00,2
2019-02-26 13:42:00,4
2019-02-26 13:43:00,11
2019-02-26 13:44:00,1
