682,select fieldid from field where medianpsfcolor_z between -.# and -.# and q_u between # and #
2019-01-24 16:40:00,5
2019-01-24 16:41:00,18
2019-01-24 20:10:00,10
2019-01-24 20:11:00,2
2019-01-24 20:55:00,2
2019-01-24 22:02:00,1
2019-01-25 01:11:00,1
2019-01-25 01:12:00,3
2019-01-25 01:13:00,3
2019-01-25 01:28:00,3
2019-01-25 01:41:00,4
2019-01-25 02:33:00,1
2019-01-25 02:34:00,2
2019-01-25 02:38:00,2
2019-01-25 02:40:00,1
2019-01-25 02:41:00,3
2019-01-25 02:42:00,2
2019-01-25 02:43:00,1
2019-01-25 03:06:00,3
2019-01-25 03:07:00,2
2019-01-25 03:11:00,1
2019-01-25 04:15:00,3
2019-01-25 04:50:00,1
2019-01-25 04:51:00,2
2019-01-25 04:52:00,5
2019-01-25 05:40:00,2
2019-01-25 06:11:00,2
2019-01-25 06:25:00,1
2019-01-25 06:26:00,1
2019-01-25 06:27:00,1
2019-01-25 06:28:00,4
2019-01-25 06:29:00,1
2019-01-25 06:30:00,1
2019-01-25 06:34:00,2
2019-01-25 06:36:00,4
2019-01-25 06:41:00,5
2019-01-25 06:43:00,2
2019-01-25 06:44:00,1
2019-01-25 06:45:00,2
2019-01-25 06:48:00,2
2019-01-25 06:58:00,1
2019-01-25 07:00:00,10
2019-01-25 07:01:00,11
2019-01-25 07:02:00,11
2019-01-25 07:04:00,4
2019-01-25 07:05:00,2
2019-01-25 07:07:00,5
2019-01-25 07:09:00,2
2019-01-25 07:10:00,7
2019-01-25 07:12:00,2
2019-01-25 07:18:00,1
2019-01-25 08:27:00,3
2019-01-25 08:28:00,1
2019-01-25 08:37:00,1
2019-01-25 08:40:00,6
2019-01-25 08:41:00,5
2019-01-25 08:42:00,3
2019-01-25 08:43:00,2
2019-01-25 08:44:00,4
2019-01-25 08:45:00,2
2019-01-25 08:47:00,1
2019-01-25 08:48:00,1
2019-01-25 08:49:00,5
2019-01-25 08:51:00,3
2019-01-25 08:52:00,2
2019-01-25 08:53:00,5
2019-01-25 08:54:00,3
2019-01-25 08:57:00,3
2019-01-25 08:58:00,6
2019-01-25 08:59:00,2
2019-01-25 09:00:00,3
2019-01-25 09:01:00,5
2019-01-25 09:03:00,3
2019-01-25 09:05:00,14
2019-01-25 09:06:00,2
2019-01-25 09:07:00,3
2019-01-25 10:12:00,4
2019-01-25 10:13:00,4
2019-01-25 10:14:00,2
2019-01-25 11:32:00,1
2019-01-25 12:13:00,1
2019-01-25 12:14:00,5
2019-01-25 12:16:00,2
2019-01-25 12:17:00,1
2019-01-25 12:19:00,2
2019-01-25 12:20:00,1
2019-01-25 12:22:00,1
2019-01-25 13:43:00,4
2019-01-25 13:46:00,1
2019-01-25 14:36:00,2
2019-01-25 16:22:00,7
2019-01-25 23:24:00,1
2019-01-27 10:44:00,4
2019-01-27 10:45:00,32
2019-01-27 10:46:00,12
2019-01-27 10:47:00,2
2019-01-27 10:52:00,1
2019-01-27 10:53:00,17
2019-01-27 10:54:00,9
2019-01-28 02:40:00,2
2019-01-28 02:41:00,1
2019-01-28 02:42:00,4
2019-01-28 02:43:00,1
2019-01-28 02:44:00,14
2019-01-28 02:46:00,3
2019-01-28 02:47:00,5
2019-01-28 02:48:00,20
2019-01-28 02:49:00,15
2019-01-28 02:53:00,7
2019-01-28 02:54:00,8
2019-01-28 02:58:00,11
2019-01-28 02:59:00,4
2019-01-28 13:30:00,9
2019-01-28 13:57:00,4
2019-01-28 13:58:00,4
2019-01-28 14:04:00,2
2019-01-28 14:05:00,3
2019-01-28 15:49:00,3
2019-01-28 16:06:00,2
2019-01-28 16:08:00,11
2019-01-28 16:09:00,4
2019-01-28 16:10:00,5
2019-01-28 16:11:00,2
2019-01-28 16:17:00,1
2019-01-28 16:18:00,2
2019-01-28 16:19:00,2
2019-01-28 16:20:00,4
2019-01-28 16:21:00,9
2019-01-28 16:22:00,11
2019-01-28 16:23:00,9
2019-01-28 16:53:00,1
2019-01-28 16:58:00,9
2019-01-28 17:00:00,2
2019-01-28 17:02:00,7
2019-01-28 17:03:00,5
2019-01-28 17:08:00,2
2019-01-28 17:10:00,1
2019-01-28 17:11:00,1
2019-01-28 17:13:00,1
2019-01-28 17:14:00,8
2019-01-28 17:28:00,3
2019-01-28 17:54:00,4
2019-01-28 20:48:00,1
2019-01-28 20:49:00,15
2019-01-28 23:16:00,1
2019-01-28 23:41:00,2
2019-02-26 11:20:00,3
2019-02-26 11:40:00,2
2019-02-26 11:42:00,1
2019-02-26 11:43:00,4
2019-02-26 11:45:00,1
2019-02-26 11:49:00,1
2019-02-26 11:50:00,2
2019-02-26 12:02:00,4
2019-02-26 12:03:00,1
2019-02-26 12:56:00,8
2019-02-26 13:07:00,9
2019-02-26 13:08:00,19
2019-02-26 13:36:00,9
2019-02-26 13:38:00,1
