4446,"SELECT ALL p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.type, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z, p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z, p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z, p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z, p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z, p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z, p.flags, dbo.fPhotoFlagsN (p.flags) FROM PhotoObj AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND (p.type = # OR (p.flags & dbo.fPhotoFlags (#) ) > #) ORDER by p.r"
2019-09-04 02:23:00,263
2019-09-04 02:24:00,380
2019-09-04 02:25:00,498
2019-09-04 02:26:00,276
2019-09-04 02:27:00,299
2019-09-04 02:28:00,294
2019-09-04 02:29:00,298
2019-09-04 02:30:00,313
2019-09-04 02:31:00,289
2019-09-04 02:32:00,306
2019-09-04 02:33:00,364
2019-09-04 02:34:00,290
2019-09-04 02:35:00,268
2019-09-04 02:36:00,147
2019-09-04 02:37:00,99
2019-09-04 02:38:00,36
2019-09-04 02:39:00,10
2019-09-04 02:40:00,5
2019-09-04 02:41:00,5
2019-09-04 02:42:00,6
