1045,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-01-26 11:29:00,1
2019-02-28 10:08:00,1
2019-02-28 10:44:00,1
2019-03-09 15:37:00,1
2019-04-11 14:31:00,1
2019-04-11 14:32:00,1
2019-06-24 12:27:00,1
2019-06-24 12:32:00,1
2019-06-25 10:22:00,1
2019-06-25 10:43:00,1
2019-06-25 10:56:00,1
2019-06-25 11:00:00,1
2019-06-25 11:38:00,1
2019-06-25 11:39:00,3
2019-06-25 11:40:00,3
2019-06-25 11:41:00,3
2019-06-25 11:42:00,3
2019-06-25 11:43:00,2
2019-06-25 11:44:00,3
2019-06-25 11:45:00,1
2019-06-25 11:46:00,2
2019-06-25 11:48:00,1
2019-06-25 11:49:00,2
2019-06-25 11:50:00,3
2019-06-25 11:51:00,2
2019-06-25 11:56:00,3
2019-06-25 11:57:00,4
2019-06-25 11:58:00,1
2019-06-25 11:59:00,1
2019-06-25 12:02:00,1
2019-06-25 12:05:00,1
2019-06-25 12:06:00,1
2019-06-25 12:07:00,1
2019-06-25 12:09:00,1
2019-06-25 12:13:00,1
2019-06-25 12:20:00,2
2019-06-25 12:21:00,1
2019-06-25 12:32:00,1
2019-06-25 12:34:00,1
2019-06-25 12:40:00,1
2019-06-25 12:43:00,1
2019-06-25 12:46:00,1
2019-06-25 12:48:00,1
2019-06-25 12:51:00,1
2019-06-25 12:52:00,1
2019-06-25 13:16:00,1
2019-06-25 13:17:00,3
2019-06-25 13:46:00,1
2019-06-25 13:47:00,1
2019-06-25 13:54:00,1
2019-06-25 14:00:00,1
2019-06-25 14:01:00,2
2019-06-25 14:20:00,1
2019-06-25 16:12:00,1
2019-06-25 16:14:00,2
2019-06-25 16:23:00,1
2019-06-25 16:47:00,1
2019-06-25 18:22:00,1
2019-06-25 19:15:00,1
2019-06-25 19:16:00,1
2019-06-25 19:21:00,1
2019-06-25 19:29:00,3
2019-06-25 19:37:00,1
2019-06-25 19:38:00,1
2019-06-25 19:39:00,1
2019-06-25 19:40:00,1
2019-06-25 19:41:00,1
2019-06-25 19:42:00,1
2019-06-25 19:45:00,1
2019-06-25 19:52:00,1
2019-06-25 19:53:00,1
2019-06-26 00:42:00,1
2019-06-26 02:03:00,1
2019-06-26 05:51:00,1
2019-06-26 05:52:00,1
2019-06-26 05:53:00,1
2019-06-26 05:54:00,1
2019-06-26 08:22:00,1
2019-06-26 08:23:00,1
2019-06-26 08:49:00,1
2019-06-26 08:53:00,1
2019-06-26 09:46:00,1
2019-06-26 09:53:00,2
2019-06-26 09:58:00,1
2019-06-26 11:08:00,1
2019-06-26 11:12:00,1
2019-06-26 11:13:00,1
2019-06-26 11:18:00,1
2019-06-26 11:19:00,1
2019-06-26 11:22:00,1
2019-06-26 11:30:00,1
2019-06-26 16:15:00,1
2019-06-26 17:18:00,1
2019-06-26 17:19:00,3
2019-06-27 12:57:00,1
2019-06-27 12:58:00,1
2019-06-27 13:04:00,1
2019-06-27 13:13:00,1
2019-06-29 00:09:00,1
2019-06-29 00:27:00,1
2019-06-29 00:30:00,1
2019-06-29 01:15:00,2
2019-06-29 01:17:00,1
2019-06-29 14:37:00,1
2019-06-29 14:39:00,1
2019-06-29 14:41:00,1
2019-06-29 14:42:00,1
2019-06-29 17:06:00,1
2019-06-29 17:07:00,1
2019-06-29 19:13:00,1
2019-06-30 12:37:00,1
2019-06-30 12:40:00,1
2019-06-30 12:42:00,1
2019-07-01 14:21:00,1
2019-07-01 14:22:00,3
2019-07-01 14:23:00,2
2019-07-01 14:28:00,1
2019-07-02 12:41:00,1
2019-07-02 12:43:00,1
2019-07-02 12:45:00,1
2019-07-03 12:19:00,1
2019-07-03 12:22:00,1
2019-07-03 15:01:00,1
2019-07-04 13:52:00,1
2019-07-04 13:53:00,2
2019-07-04 13:55:00,1
2019-07-04 13:56:00,1
2019-07-04 14:01:00,2
2019-07-04 18:00:00,1
2019-07-08 10:44:00,2
2019-07-08 10:45:00,1
2019-07-08 10:47:00,2
2019-07-08 10:48:00,1
2019-07-08 10:49:00,1
2019-07-08 10:51:00,3
2019-07-08 10:52:00,3
2019-07-08 10:53:00,1
2019-07-08 10:54:00,1
2019-07-08 10:55:00,1
2019-07-08 10:56:00,1
2019-07-08 10:57:00,1
2019-07-08 10:59:00,1
2019-07-08 11:00:00,1
2019-07-08 11:02:00,3
2019-07-08 11:16:00,4
2019-07-08 11:17:00,3
2019-07-08 11:20:00,2
2019-07-08 11:28:00,1
2019-07-08 11:32:00,1
2019-07-08 11:34:00,1
2019-07-08 11:57:00,1
2019-07-08 12:01:00,2
2019-07-08 12:05:00,1
2019-07-08 12:17:00,1
2019-07-08 12:29:00,1
2019-07-08 14:44:00,1
2019-07-09 07:07:00,1
2019-07-09 07:08:00,1
2019-07-09 07:10:00,1
2019-07-09 07:14:00,1
2019-07-09 11:15:00,1
2019-07-09 11:25:00,1
2019-07-09 11:27:00,1
2019-07-09 11:28:00,1
2019-07-09 11:30:00,1
2019-07-09 11:37:00,2
2019-07-09 11:38:00,1
2019-07-09 11:40:00,1
2019-07-09 12:38:00,1
2019-07-10 10:52:00,1
2019-07-10 11:03:00,1
2019-07-10 11:06:00,1
2019-07-10 11:24:00,1
2019-07-10 11:28:00,1
2019-07-10 12:22:00,1
2019-07-10 12:23:00,1
2019-07-10 12:35:00,1
2019-07-10 12:45:00,1
2019-07-11 10:26:00,1
2019-07-11 10:28:00,1
2019-07-11 10:30:00,1
2019-07-11 10:32:00,1
2019-07-11 10:43:00,1
2019-07-11 10:44:00,1
2019-07-11 11:05:00,1
2019-07-11 11:32:00,3
2019-07-11 11:33:00,2
2019-07-11 11:37:00,1
2019-07-11 11:38:00,1
2019-07-11 11:55:00,1
2019-07-11 11:56:00,1
2019-07-11 11:57:00,1
2019-07-11 12:16:00,1
2019-07-15 09:15:00,1
2019-07-15 09:58:00,1
2019-07-15 10:04:00,1
2019-07-15 10:12:00,1
2019-07-15 10:19:00,1
2019-07-15 10:33:00,1
2019-07-15 10:34:00,1
2019-07-15 10:35:00,1
2019-07-15 10:37:00,1
2019-07-15 10:38:00,1
2019-07-15 10:39:00,1
2019-07-15 10:40:00,1
2019-07-15 10:42:00,1
2019-07-15 11:33:00,1
2019-07-15 11:40:00,1
2019-07-15 11:42:00,1
2019-07-15 12:20:00,1
2019-07-15 12:35:00,1
2019-07-15 12:46:00,1
2019-07-16 10:12:00,1
2019-07-16 10:13:00,1
