94,"SELECT TOP # p.ra, p.dec, p.g, p.i, p.petroR5#_r, p.petroR9#_r, p.r, p.u, p.z, IS# (s.plate, #) as plate, IS# (s.mjd, #) as mjd, IS# (s.fiberid, #) as fiberid FROM BESTDR7..PhotoObj AS p LEFT OUTER JOIN BESTDR7..SpecObj s ON p.objID = s.bestObjID JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-09-30 14:49:00,1
2019-09-30 15:01:00,1
2019-09-30 15:09:00,1
2019-09-30 15:35:00,1
2019-09-30 15:54:00,1
2019-09-30 16:00:00,1
2019-09-30 16:07:00,1
2019-09-30 16:26:00,1
2019-10-01 17:45:00,1
2019-10-01 18:03:00,1
2019-10-01 18:12:00,1
2019-10-01 18:19:00,1
2019-10-01 18:23:00,1
2019-10-01 18:29:00,1
2019-10-01 18:34:00,1
2019-10-01 21:42:00,1
2019-10-01 21:47:00,1
2019-10-01 21:53:00,1
2019-10-01 21:59:00,1
2019-10-01 22:08:00,1
2019-10-01 22:13:00,1
2019-10-01 22:19:00,1
2019-10-01 22:24:00,1
2019-10-01 22:30:00,1
2019-10-01 22:36:00,1
2019-10-01 22:42:00,1
2019-10-01 22:48:00,1
2019-10-01 23:11:00,1
2019-10-01 23:16:00,1
2019-10-01 23:20:00,1
2019-10-01 23:24:00,1
2019-10-01 23:29:00,1
2019-10-02 13:04:00,1
2019-10-02 13:14:00,1
2019-10-02 13:19:00,1
2019-10-02 13:22:00,1
2019-10-02 13:27:00,1
2019-10-02 13:32:00,1
2019-10-02 13:38:00,1
2019-10-02 13:41:00,1
2019-10-02 13:46:00,1
2019-10-02 15:00:00,1
2019-10-02 15:19:00,1
2019-10-02 15:25:00,1
2019-10-02 15:29:00,1
2019-10-02 18:47:00,1
2019-10-03 12:59:00,1
2019-10-03 21:03:00,2
2019-10-03 21:07:00,1
2019-10-03 21:12:00,1
2019-10-03 21:19:00,1
2019-10-03 21:23:00,1
2019-10-03 21:29:00,1
2019-10-03 21:39:00,1
2019-10-03 21:55:00,1
2019-10-03 22:04:00,1
2019-10-03 22:23:00,1
2019-10-03 22:29:00,1
2019-10-03 22:33:00,1
2019-10-03 22:40:00,1
2019-10-03 22:44:00,1
2019-10-03 22:51:00,1
2019-10-03 22:58:00,1
2019-10-04 14:36:00,1
2019-10-04 14:42:00,1
2019-10-04 14:47:00,1
2019-10-04 14:52:00,1
2019-10-04 14:57:00,1
2019-10-04 15:03:00,1
2019-10-04 15:18:00,1
2019-10-04 15:24:00,1
2019-10-04 15:29:00,1
2019-10-04 15:34:00,1
2019-10-04 15:52:00,1
2019-10-04 15:58:00,1
2019-10-04 16:02:00,1
2019-10-04 16:23:00,1
2019-10-04 16:28:00,1
2019-10-04 17:10:00,1
2019-10-04 17:16:00,1
2019-10-04 17:21:00,1
2019-10-04 17:26:00,1
2019-10-04 17:31:00,1
2019-10-04 17:35:00,1
2019-10-04 17:41:00,1
2019-10-04 17:47:00,1
2019-10-04 17:53:00,1
2019-10-04 17:57:00,1
2019-10-04 18:03:00,1
2019-10-04 18:08:00,1
2019-10-04 18:13:00,1
2019-10-04 18:17:00,1
2019-10-15 17:44:00,1
