14,"SELECT ObjId, type, p.ra, p.dec, dered_r, dered_g, petroMag_r, petroMag_g, n.z, p.camcol, n.camcol FROM PhotoObjAll p JOIN nsatlas n ON p.camcol = n.camcol WHERE type = # AND p.ra > # and p.ra < # AND p.dec > # and p.dec < # AND n.z > # AND n.z < #"
2019-10-10 11:45:00,1
2019-10-10 12:17:00,1
2019-10-10 12:19:00,1
2019-10-10 12:40:00,1
2019-10-10 12:44:00,1
2019-10-10 12:45:00,1
2019-10-10 12:46:00,1
2019-10-10 12:51:00,1
2019-10-10 12:53:00,1
2019-10-10 12:54:00,1
2019-10-10 13:01:00,1
2019-10-10 13:06:00,1
2019-10-10 13:10:00,1
2019-10-10 15:37:00,1
