105997,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-10-17 12:32:00,12
2019-10-17 12:33:00,12
2019-10-17 12:44:00,1
2019-10-17 12:45:00,16
2019-10-17 12:46:00,15
2019-10-17 12:47:00,20
2019-10-17 12:48:00,13
2019-10-17 12:49:00,9
2019-10-17 12:50:00,17
2019-10-17 12:51:00,16
2019-10-17 12:52:00,18
2019-10-17 12:53:00,20
2019-10-17 12:54:00,19
2019-10-17 12:55:00,20
2019-10-17 12:56:00,17
2019-10-17 12:57:00,18
2019-10-17 12:58:00,20
2019-10-17 12:59:00,1
2019-10-17 13:03:00,22
2019-10-17 13:04:00,28
2019-10-17 13:05:00,38
2019-10-17 13:06:00,31
2019-10-17 13:07:00,39
2019-10-17 13:08:00,28
2019-10-17 13:09:00,26
2019-10-17 13:10:00,25
2019-10-17 13:11:00,31
2019-10-17 13:12:00,30
2019-10-17 13:13:00,34
2019-10-17 13:14:00,26
2019-10-17 13:15:00,33
2019-10-17 13:16:00,22
2019-10-17 13:17:00,17
2019-10-17 13:18:00,18
2019-10-17 13:19:00,13
2019-10-17 13:20:00,14
2019-10-17 13:21:00,17
2019-10-17 13:22:00,22
2019-10-17 13:23:00,19
2019-10-17 13:24:00,13
2019-10-17 13:25:00,20
2019-10-17 13:26:00,19
2019-10-17 13:27:00,20
2019-10-17 13:28:00,16
2019-10-17 13:29:00,17
2019-10-17 13:30:00,10
2019-10-17 13:31:00,15
2019-10-17 13:32:00,15
2019-10-17 13:33:00,12
2019-10-17 13:34:00,13
2019-10-17 13:35:00,15
2019-10-17 13:36:00,14
2019-10-17 13:37:00,12
2019-10-17 13:40:00,12
2019-10-17 13:41:00,26
2019-10-17 13:42:00,23
2019-10-17 13:43:00,24
2019-10-17 13:44:00,14
2019-10-17 13:45:00,17
2019-10-17 13:46:00,20
2019-10-17 13:47:00,16
2019-10-17 13:48:00,21
2019-10-17 13:49:00,15
2019-10-17 13:50:00,16
2019-10-17 13:51:00,20
2019-10-17 13:52:00,17
2019-10-17 13:53:00,18
2019-10-17 13:54:00,19
2019-10-17 13:55:00,19
2019-10-17 13:56:00,16
2019-10-17 13:57:00,18
2019-10-17 13:58:00,14
2019-10-17 13:59:00,14
2019-10-17 14:00:00,12
2019-10-17 14:01:00,17
2019-10-17 14:02:00,18
2019-10-17 14:03:00,19
2019-10-17 14:04:00,19
2019-10-17 14:05:00,17
2019-10-17 14:06:00,19
2019-10-17 14:07:00,19
2019-10-17 14:08:00,16
2019-10-17 14:09:00,17
2019-10-17 14:10:00,20
2019-10-17 14:11:00,20
2019-10-17 14:12:00,20
2019-10-17 14:13:00,21
2019-10-17 14:14:00,19
2019-10-17 14:15:00,19
2019-10-17 14:16:00,20
2019-10-17 14:17:00,19
2019-10-17 14:18:00,18
2019-10-17 14:19:00,12
2019-10-17 15:12:00,8
2019-10-17 15:13:00,43
2019-10-17 15:14:00,42
2019-10-17 15:15:00,41
2019-10-17 15:16:00,39
2019-10-17 15:17:00,38
2019-10-17 15:18:00,38
2019-10-17 15:19:00,38
2019-10-17 15:20:00,34
2019-10-17 15:21:00,37
2019-10-17 15:22:00,37
2019-10-17 15:23:00,37
2019-10-17 15:24:00,36
2019-10-17 15:25:00,37
2019-10-17 15:26:00,35
2019-10-17 15:27:00,34
2019-10-17 15:28:00,33
2019-10-17 15:29:00,35
2019-10-17 15:30:00,32
2019-10-17 15:31:00,30
2019-10-17 15:32:00,31
2019-10-17 15:33:00,9
2019-10-18 10:24:00,33
2019-10-18 10:25:00,40
2019-10-18 10:26:00,35
2019-10-18 10:27:00,34
2019-10-18 10:28:00,35
2019-10-18 10:29:00,30
2019-10-18 10:30:00,28
2019-10-18 10:31:00,22
2019-10-18 10:32:00,18
2019-10-18 10:33:00,21
2019-10-18 10:34:00,22
2019-10-18 10:35:00,15
2019-10-18 10:36:00,19
2019-10-18 10:37:00,20
2019-10-18 10:38:00,20
2019-10-18 10:39:00,21
2019-10-18 10:40:00,21
2019-10-18 10:41:00,19
2019-10-18 10:42:00,21
2019-10-18 10:43:00,24
2019-10-18 10:44:00,19
2019-10-18 10:45:00,21
