456,"SELECT sp.ra, sp.dec, sp.z as redshift, sp.modelMag_g as g, sp.modelMagerr_g as err_g, sp.modelMag_i as i, sp.modelMagerr_i as err_i, gs.h_alpha_eqw, gs.oii_#_eqw FROM GalSpecLine AS gs JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS GN ON GN.specobjID = gs.specobjid JOIN Galaxy as gal ON gal.specobjId = gs.specobjid WHERE h_alpha_eqw between # and # and oii_#_eqw between # and # and sp.modelMag_g-sp.modelMag_i between # and # and sp.z between # and # and sp.modelMag_i-#*log1# (#E+#*sp.z) < #"
2019-01-31 13:14:00,1
2019-01-31 13:15:00,2
2019-01-31 13:16:00,2
2019-01-31 13:17:00,6
2019-01-31 13:18:00,2
2019-01-31 13:20:00,3
2019-01-31 13:22:00,2
2019-01-31 13:24:00,2
2019-01-31 13:25:00,3
2019-01-31 13:26:00,1
2019-01-31 13:30:00,5
2019-01-31 13:31:00,1
2019-01-31 14:31:00,1
2019-01-31 14:33:00,1
2019-01-31 14:35:00,3
2019-01-31 14:36:00,5
2019-01-31 14:37:00,7
2019-01-31 14:38:00,5
2019-01-31 14:39:00,3
2019-01-31 14:40:00,2
2019-01-31 14:41:00,3
2019-01-31 14:42:00,4
2019-01-31 14:43:00,3
2019-01-31 14:44:00,4
2019-01-31 14:47:00,2
2019-01-31 14:48:00,2
2019-01-31 14:49:00,1
2019-01-31 14:51:00,1
2019-01-31 14:52:00,2
2019-01-31 15:29:00,2
2019-01-31 15:30:00,2
2019-01-31 15:32:00,3
2019-01-31 15:33:00,2
2019-01-31 15:34:00,3
2019-01-31 15:36:00,1
2019-01-31 15:37:00,3
2019-01-31 15:38:00,4
2019-01-31 15:41:00,1
2019-01-31 15:49:00,1
2019-01-31 15:50:00,1
2019-01-31 15:51:00,2
2019-01-31 15:52:00,4
2019-01-31 15:53:00,8
2019-01-31 15:54:00,7
2019-01-31 15:55:00,3
2019-01-31 15:56:00,3
2019-01-31 15:57:00,6
2019-01-31 15:58:00,5
2019-01-31 15:59:00,2
2019-01-31 16:00:00,2
2019-01-31 16:01:00,4
2019-01-31 16:02:00,7
2019-01-31 16:03:00,1
2019-02-01 00:12:00,1
2019-02-01 00:16:00,1
2019-02-01 00:17:00,2
2019-02-01 00:18:00,4
2019-02-01 00:19:00,6
2019-02-01 00:20:00,7
2019-02-01 00:21:00,4
2019-02-01 00:22:00,3
2019-02-01 00:23:00,5
2019-02-01 00:24:00,4
2019-02-01 00:25:00,5
2019-02-01 00:26:00,2
2019-02-01 00:27:00,3
2019-02-01 00:28:00,6
2019-02-01 00:29:00,3
2019-02-07 13:31:00,1
2019-02-07 13:34:00,2
2019-02-07 13:35:00,1
2019-02-07 13:36:00,2
2019-02-07 13:37:00,2
2019-02-07 13:38:00,3
2019-02-07 13:39:00,3
2019-02-07 13:40:00,3
2019-02-07 13:41:00,3
2019-02-07 13:42:00,2
2019-02-07 13:43:00,2
2019-02-07 13:44:00,1
2019-02-07 13:45:00,2
2019-02-07 13:46:00,1
2019-02-07 13:47:00,3
2019-02-07 13:48:00,2
2019-02-07 13:49:00,2
2019-02-07 13:50:00,3
2019-02-07 13:51:00,1
2019-02-07 13:52:00,1
2019-02-07 13:53:00,1
2019-02-07 13:54:00,2
2019-02-07 13:55:00,1
2019-02-07 13:56:00,1
2019-02-07 13:57:00,3
2019-02-07 13:58:00,3
2019-02-07 13:59:00,3
2019-02-07 14:00:00,1
2019-02-08 01:29:00,1
2019-02-08 01:32:00,1
2019-02-08 01:33:00,2
2019-02-08 01:34:00,1
2019-02-08 01:35:00,1
2019-02-08 08:18:00,1
2019-02-08 08:19:00,4
2019-02-08 08:20:00,3
2019-02-08 08:21:00,3
2019-02-08 08:22:00,2
2019-02-08 08:23:00,3
2019-02-08 08:24:00,1
2019-02-08 08:25:00,2
2019-02-08 08:26:00,1
2019-02-08 08:27:00,1
2019-02-08 08:28:00,2
2019-02-08 08:29:00,2
2019-02-08 08:30:00,2
2019-02-08 08:31:00,3
2019-02-08 08:32:00,2
2019-02-08 08:33:00,2
2019-02-08 08:34:00,1
2019-02-08 08:35:00,1
2019-02-08 08:36:00,1
2019-02-08 08:37:00,1
2019-02-08 08:38:00,2
2019-02-08 08:39:00,2
2019-02-08 08:40:00,3
2019-02-08 08:41:00,3
2019-02-08 08:42:00,1
2019-02-14 23:22:00,1
2019-02-14 23:29:00,1
2019-02-14 23:31:00,1
2019-02-14 23:40:00,1
2019-02-14 23:46:00,1
2019-02-14 23:53:00,1
2019-02-14 23:55:00,1
2019-02-14 23:56:00,1
2019-02-14 23:58:00,1
2019-02-15 00:02:00,1
2019-02-15 00:03:00,2
2019-02-15 00:04:00,2
2019-02-15 00:05:00,2
2019-02-15 00:06:00,2
2019-02-15 00:07:00,2
2019-02-15 00:08:00,3
2019-02-15 00:09:00,3
2019-02-15 00:10:00,2
2019-02-15 00:11:00,2
2019-02-15 00:12:00,2
2019-02-15 00:13:00,2
2019-02-15 00:14:00,2
2019-02-15 00:15:00,3
2019-02-15 00:16:00,3
2019-02-15 00:17:00,2
2019-02-15 00:18:00,3
2019-02-15 00:19:00,1
2019-02-15 00:20:00,2
2019-02-15 00:21:00,1
2019-02-15 00:22:00,2
2019-02-15 00:23:00,3
2019-02-15 00:24:00,2
2019-02-15 00:25:00,2
2019-02-15 00:26:00,2
2019-02-19 00:34:00,2
2019-02-19 00:36:00,2
2019-02-19 00:37:00,1
2019-02-19 00:38:00,2
2019-02-19 00:39:00,1
2019-02-19 00:40:00,2
2019-02-19 00:41:00,1
2019-02-19 00:42:00,2
2019-02-19 09:19:00,1
2019-02-19 09:20:00,1
2019-02-19 09:21:00,2
2019-02-19 09:22:00,2
2019-02-19 09:23:00,2
2019-02-19 09:24:00,3
2019-02-19 09:25:00,3
2019-02-19 09:27:00,2
2019-02-19 09:28:00,2
2019-02-19 09:29:00,2
2019-02-19 09:30:00,3
2019-02-19 09:31:00,2
2019-02-19 09:32:00,2
2019-02-19 09:33:00,2
2019-02-19 09:34:00,2
2019-02-19 09:35:00,2
2019-02-19 09:36:00,3
2019-02-19 09:37:00,2
2019-02-19 09:38:00,3
2019-02-19 09:39:00,1
2019-02-19 09:40:00,1
2019-02-19 09:41:00,2
2019-02-19 09:42:00,3
2019-02-19 09:43:00,3
2019-02-19 09:44:00,2
2019-02-19 09:46:00,1
2019-02-19 09:47:00,2
2019-02-19 09:52:00,1
2019-02-19 10:23:00,1
2019-03-07 17:23:00,1
