14,"SELECT s.ra, s.dec, s.z, s.zErr, s.velDisp, s.velDispErr FROM SpecObj as s join SpecPhotoALL as i on s.specObjID = i.specObjID WHERE s.ra BETWEEN # AND # AND s.dec BETWEEN # AND # AND s.class = # AND s.subclass = # AND s.zWarning = # AND s.programname = # AND (i.petroMag_r-i.extinction_r) < #"
2019-11-05 16:24:00,1
2019-11-05 16:39:00,1
2019-11-05 16:48:00,1
2019-11-05 16:53:00,1
2019-11-05 16:54:00,1
2019-11-05 17:20:00,1
2019-11-07 20:40:00,1
2019-11-07 20:52:00,1
2019-11-07 22:41:00,2
2019-11-08 00:36:00,1
2019-11-14 22:59:00,1
2019-11-15 00:08:00,1
2019-11-16 02:31:00,1
