8289,"SELECT pro.objID, pro.bin, pro.band, pro.profMean, pro.profErr FROM PhotoProfile AS pro WHERE pro.objID = # AND pro.bin BETWEEN # AND #"
2019-11-15 07:32:00,1
2019-11-15 07:33:00,17
2019-11-15 07:34:00,24
2019-11-15 07:35:00,9
2019-11-15 09:27:00,5
2019-11-15 09:28:00,24
2019-11-15 09:29:00,24
2019-11-15 09:30:00,24
2019-11-15 09:31:00,23
2019-11-15 09:32:00,23
2019-11-15 09:33:00,24
2019-11-15 09:34:00,24
2019-11-15 09:35:00,25
2019-11-15 09:36:00,24
2019-11-15 09:37:00,25
2019-11-15 09:38:00,27
2019-11-15 09:39:00,23
2019-11-15 09:40:00,24
2019-11-15 09:41:00,25
2019-11-15 09:42:00,23
2019-11-15 09:43:00,25
2019-11-15 09:44:00,21
2019-11-15 09:45:00,24
2019-11-15 09:46:00,25
2019-11-15 09:47:00,24
2019-11-15 09:48:00,16
2019-11-15 09:49:00,12
2019-11-15 09:50:00,23
2019-11-15 09:51:00,22
2019-11-15 09:52:00,20
2019-11-15 09:53:00,22
2019-11-15 09:54:00,22
2019-11-15 09:55:00,25
2019-11-15 09:56:00,24
2019-11-15 09:57:00,25
2019-11-15 09:58:00,24
2019-11-15 09:59:00,24
2019-11-15 10:00:00,25
2019-11-15 10:01:00,25
2019-11-15 10:02:00,24
2019-11-15 10:03:00,23
2019-11-15 10:04:00,23
2019-11-15 10:05:00,24
2019-11-15 10:06:00,23
2019-11-15 10:07:00,23
2019-11-15 10:08:00,24
2019-11-15 10:09:00,24
2019-11-15 10:10:00,25
2019-11-15 10:11:00,23
2019-11-15 10:12:00,23
2019-11-15 10:13:00,24
2019-11-15 10:14:00,24
2019-11-15 10:15:00,20
2019-11-15 10:16:00,19
2019-11-15 10:17:00,23
2019-11-15 10:18:00,22
2019-11-15 10:19:00,24
2019-11-15 10:20:00,21
2019-11-15 10:21:00,23
2019-11-15 10:22:00,24
2019-11-15 10:23:00,24
2019-11-15 10:24:00,21
2019-11-15 10:25:00,25
2019-11-15 10:26:00,20
2019-11-15 10:27:00,17
2019-11-15 10:28:00,25
2019-11-15 10:29:00,18
2019-11-15 10:30:00,19
2019-11-15 10:31:00,24
2019-11-15 10:32:00,24
2019-11-15 10:33:00,23
2019-11-15 10:34:00,25
2019-11-15 10:35:00,23
2019-11-15 10:36:00,26
2019-11-15 10:37:00,24
2019-11-15 10:38:00,24
2019-11-15 10:39:00,24
2019-11-15 10:40:00,25
2019-11-15 10:41:00,23
2019-11-15 10:42:00,25
2019-11-15 10:43:00,25
2019-11-15 10:44:00,24
2019-11-15 10:45:00,24
2019-11-15 10:46:00,23
2019-11-15 10:47:00,24
2019-11-15 10:48:00,26
2019-11-15 10:49:00,25
2019-11-15 10:50:00,27
2019-11-15 10:51:00,26
2019-11-15 10:52:00,26
2019-11-15 10:53:00,26
2019-11-15 10:54:00,26
2019-11-15 10:55:00,24
2019-11-15 10:56:00,24
2019-11-15 10:57:00,25
2019-11-15 10:58:00,24
2019-11-15 10:59:00,24
2019-11-15 11:00:00,25
2019-11-15 11:01:00,25
2019-11-15 11:02:00,25
2019-11-15 11:03:00,20
2019-11-15 11:04:00,23
2019-11-15 11:05:00,22
2019-11-15 11:06:00,24
2019-11-15 11:07:00,22
2019-11-15 11:08:00,26
2019-11-15 11:09:00,24
2019-11-15 11:10:00,23
2019-11-15 11:11:00,25
2019-11-15 11:12:00,24
2019-11-15 11:13:00,23
2019-11-15 11:14:00,26
2019-11-15 11:15:00,20
2019-11-15 11:16:00,24
2019-11-15 11:17:00,24
2019-11-15 11:18:00,25
2019-11-15 11:19:00,23
2019-11-15 11:20:00,24
2019-11-15 11:21:00,22
2019-11-15 11:22:00,24
2019-11-15 11:23:00,26
2019-11-15 11:24:00,22
2019-11-15 11:25:00,26
2019-11-15 11:26:00,20
2019-11-15 11:27:00,23
2019-11-15 11:28:00,21
2019-11-15 11:29:00,22
2019-11-15 11:30:00,23
2019-11-15 11:31:00,22
2019-11-15 11:32:00,23
2019-11-15 11:33:00,19
2019-11-15 11:34:00,22
2019-11-15 11:35:00,20
2019-11-15 11:36:00,21
2019-11-15 11:37:00,19
2019-11-15 11:38:00,24
2019-11-15 11:39:00,23
2019-11-15 11:40:00,19
2019-11-15 11:41:00,20
2019-11-15 11:42:00,24
2019-11-15 11:43:00,23
2019-11-15 11:44:00,18
2019-11-15 11:45:00,25
2019-11-15 11:46:00,24
2019-11-15 11:47:00,20
2019-11-15 12:38:00,156
2019-11-15 12:39:00,779
2019-11-15 12:40:00,968
2019-11-15 12:41:00,1087
2019-11-15 12:42:00,913
2019-11-15 12:43:00,931
2019-11-15 12:44:00,152
