28778,"select top # p.objid, p.ra, p.dec, p.psfMag_g, psfMagErr_g, p.petroMag_g, petroMagErr_g, p.petroRad_g, petroRadErr_g, fiberMag_g, fiberMagErr_g, modelMag_g, modelMagErr_g, p.clean, p.mode from PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON p.objID = GN.objID ORDER BY distance"
2019-11-17 00:00:00,54
2019-11-17 00:01:00,62
2019-11-17 00:02:00,60
2019-11-17 00:03:00,61
2019-11-17 00:04:00,61
2019-11-17 00:05:00,60
2019-11-17 00:06:00,60
2019-11-17 00:07:00,63
2019-11-17 00:08:00,60
2019-11-17 00:09:00,61
2019-11-17 00:10:00,61
2019-11-17 00:11:00,55
2019-11-17 00:12:00,61
2019-11-17 00:13:00,55
2019-11-17 00:14:00,57
2019-11-17 00:15:00,55
2019-11-17 00:16:00,54
2019-11-17 00:17:00,56
2019-11-17 00:18:00,52
2019-11-17 00:19:00,55
2019-11-17 00:20:00,56
2019-11-17 00:21:00,53
2019-11-17 00:22:00,61
2019-11-17 00:23:00,62
2019-11-17 00:24:00,62
2019-11-17 00:25:00,61
2019-11-17 00:26:00,62
2019-11-17 00:27:00,60
2019-11-17 00:28:00,60
2019-11-17 00:29:00,61
2019-11-17 00:30:00,62
2019-11-17 00:31:00,63
2019-11-17 00:32:00,56
2019-11-17 00:33:00,61
2019-11-17 00:34:00,61
2019-11-17 00:35:00,60
2019-11-17 00:36:00,58
2019-11-17 00:37:00,61
2019-11-17 00:38:00,62
2019-11-17 00:39:00,60
2019-11-17 00:40:00,63
2019-11-17 00:41:00,61
2019-11-17 00:42:00,60
2019-11-17 00:43:00,61
2019-11-17 00:44:00,60
2019-11-17 00:45:00,61
2019-11-17 00:46:00,61
2019-11-17 00:47:00,60
2019-11-17 00:48:00,61
2019-11-17 00:49:00,61
2019-11-17 00:50:00,61
2019-11-17 00:51:00,61
2019-11-17 00:52:00,60
2019-11-17 00:53:00,62
2019-11-17 00:54:00,59
2019-11-17 00:55:00,60
2019-11-17 00:56:00,62
2019-11-17 00:57:00,61
2019-11-17 00:58:00,61
2019-11-17 00:59:00,61
2019-11-17 01:00:00,54
2019-11-17 01:01:00,60
2019-11-17 01:02:00,61
2019-11-17 01:03:00,60
2019-11-17 01:04:00,62
2019-11-17 01:05:00,60
2019-11-17 01:06:00,62
2019-11-17 01:07:00,60
2019-11-17 01:08:00,59
2019-11-17 01:09:00,61
2019-11-17 01:10:00,62
2019-11-17 01:11:00,60
2019-11-17 01:12:00,60
2019-11-17 01:13:00,61
2019-11-17 01:14:00,60
2019-11-17 01:15:00,61
2019-11-17 01:16:00,62
2019-11-17 01:17:00,61
2019-11-17 01:18:00,60
2019-11-17 01:19:00,61
2019-11-17 01:20:00,61
2019-11-17 01:21:00,62
2019-11-17 01:22:00,61
2019-11-17 01:23:00,62
2019-11-17 01:24:00,61
2019-11-17 01:25:00,61
2019-11-17 01:26:00,61
2019-11-17 01:27:00,62
2019-11-17 01:28:00,60
2019-11-17 01:29:00,62
2019-11-17 01:30:00,61
2019-11-17 01:31:00,61
2019-11-17 01:32:00,56
2019-11-17 01:33:00,57
2019-11-17 01:34:00,50
2019-11-17 01:35:00,59
2019-11-17 01:36:00,60
2019-11-17 01:37:00,59
2019-11-17 01:38:00,61
2019-11-17 01:39:00,61
2019-11-17 01:40:00,62
2019-11-17 01:41:00,58
2019-11-17 01:42:00,61
2019-11-17 01:43:00,61
2019-11-17 01:44:00,61
2019-11-17 01:45:00,60
2019-11-17 01:46:00,61
2019-11-17 01:47:00,60
2019-11-17 01:48:00,61
2019-11-17 01:49:00,61
2019-11-17 01:50:00,62
2019-11-17 01:51:00,60
2019-11-17 01:52:00,60
2019-11-17 01:53:00,61
2019-11-17 01:54:00,55
2019-11-17 01:55:00,52
2019-11-17 01:56:00,44
2019-11-17 01:57:00,54
2019-11-17 01:58:00,60
2019-11-17 01:59:00,61
2019-11-17 02:00:00,55
2019-11-17 02:01:00,61
2019-11-17 02:02:00,60
2019-11-17 02:03:00,61
2019-11-17 02:04:00,60
2019-11-17 02:05:00,60
2019-11-17 02:06:00,59
2019-11-17 02:07:00,60
2019-11-17 02:08:00,61
2019-11-17 02:09:00,61
2019-11-17 02:10:00,61
2019-11-17 02:11:00,61
2019-11-17 02:12:00,61
2019-11-17 02:13:00,59
2019-11-17 02:14:00,61
2019-11-17 02:15:00,60
2019-11-17 02:16:00,60
2019-11-17 02:17:00,61
2019-11-17 02:18:00,61
2019-11-17 02:19:00,60
2019-11-17 02:20:00,62
2019-11-17 02:21:00,60
2019-11-17 02:22:00,61
2019-11-17 02:23:00,61
2019-11-17 02:24:00,61
2019-11-17 02:25:00,60
2019-11-17 02:26:00,61
2019-11-17 02:27:00,61
2019-11-17 02:28:00,62
2019-11-17 02:29:00,60
2019-11-17 02:30:00,60
2019-11-17 02:31:00,60
2019-11-17 02:32:00,61
2019-11-17 02:33:00,61
2019-11-17 02:34:00,61
2019-11-17 02:35:00,62
2019-11-17 02:36:00,60
2019-11-17 02:37:00,61
2019-11-17 02:38:00,60
2019-11-17 02:39:00,62
2019-11-17 02:40:00,62
2019-11-17 02:41:00,60
2019-11-17 02:42:00,61
2019-11-17 02:43:00,60
2019-11-17 02:44:00,60
2019-11-17 02:45:00,61
2019-11-17 02:46:00,59
2019-11-17 02:47:00,61
2019-11-17 02:48:00,61
2019-11-17 02:49:00,62
2019-11-17 02:50:00,61
2019-11-17 02:51:00,60
2019-11-17 02:52:00,62
2019-11-17 02:53:00,60
2019-11-17 02:54:00,61
2019-11-17 02:55:00,61
2019-11-17 02:56:00,61
2019-11-17 02:57:00,59
2019-11-17 02:58:00,60
2019-11-17 02:59:00,50
2019-11-17 03:00:00,49
2019-11-17 03:01:00,58
2019-11-17 03:02:00,60
2019-11-17 03:03:00,61
2019-11-17 03:04:00,61
2019-11-17 03:05:00,61
2019-11-17 03:06:00,59
2019-11-17 03:07:00,62
2019-11-17 03:08:00,61
2019-11-17 03:09:00,61
2019-11-17 03:10:00,62
2019-11-17 03:11:00,61
2019-11-17 03:12:00,61
2019-11-17 03:13:00,61
2019-11-17 03:14:00,61
2019-11-17 03:15:00,60
2019-11-17 03:16:00,61
2019-11-17 03:17:00,61
2019-11-17 03:18:00,58
2019-11-17 03:19:00,61
2019-11-17 03:20:00,60
2019-11-17 03:21:00,60
2019-11-17 03:22:00,61
2019-11-17 03:23:00,61
2019-11-17 03:24:00,61
2019-11-17 03:25:00,62
2019-11-17 03:26:00,61
2019-11-17 03:27:00,62
2019-11-17 03:28:00,58
2019-11-17 03:29:00,60
2019-11-17 03:30:00,61
2019-11-17 03:31:00,60
2019-11-17 03:32:00,60
2019-11-17 03:33:00,62
2019-11-17 03:34:00,60
2019-11-17 03:35:00,33
2019-11-17 03:36:00,57
2019-11-17 03:37:00,60
2019-11-17 03:38:00,61
2019-11-17 03:39:00,59
2019-11-17 03:40:00,61
2019-11-17 03:41:00,60
2019-11-17 03:42:00,60
2019-11-17 03:43:00,61
2019-11-17 03:44:00,61
2019-11-17 03:45:00,62
2019-11-17 03:46:00,61
2019-11-17 03:47:00,60
2019-11-17 03:48:00,62
2019-11-17 03:49:00,61
2019-11-17 03:50:00,61
2019-11-17 03:51:00,59
2019-11-17 03:52:00,60
2019-11-17 03:53:00,58
2019-11-17 03:54:00,58
2019-11-17 03:55:00,58
2019-11-17 03:56:00,58
2019-11-17 03:57:00,59
2019-11-17 03:58:00,60
2019-11-17 03:59:00,59
2019-11-17 04:00:00,53
2019-11-17 04:01:00,57
2019-11-17 04:02:00,61
2019-11-17 04:03:00,61
2019-11-17 04:04:00,61
2019-11-17 04:05:00,60
2019-11-17 04:06:00,60
2019-11-17 04:07:00,59
2019-11-17 04:08:00,59
2019-11-17 04:09:00,60
2019-11-17 04:10:00,58
2019-11-17 04:11:00,61
2019-11-17 04:12:00,61
2019-11-17 04:13:00,58
2019-11-17 04:14:00,61
2019-11-17 04:15:00,62
2019-11-17 04:16:00,60
2019-11-17 04:17:00,59
2019-11-17 04:18:00,60
2019-11-17 04:19:00,59
2019-11-17 04:20:00,60
2019-11-17 04:21:00,59
2019-11-17 04:22:00,60
2019-11-17 04:23:00,59
2019-11-17 04:24:00,62
2019-11-17 04:25:00,60
2019-11-17 04:26:00,61
2019-11-17 04:27:00,61
2019-11-17 04:28:00,61
2019-11-17 04:29:00,61
2019-11-17 04:30:00,61
2019-11-17 04:31:00,60
2019-11-17 04:32:00,62
2019-11-17 04:33:00,59
2019-11-17 04:34:00,61
2019-11-17 04:35:00,61
2019-11-17 04:36:00,61
2019-11-17 04:37:00,60
2019-11-17 04:38:00,61
2019-11-17 04:39:00,60
2019-11-17 04:40:00,61
2019-11-17 04:41:00,59
2019-11-17 04:42:00,60
2019-11-17 04:43:00,60
2019-11-17 04:44:00,60
2019-11-17 04:45:00,60
2019-11-17 04:46:00,61
2019-11-17 04:47:00,60
2019-11-17 04:48:00,60
2019-11-17 04:49:00,60
2019-11-17 04:50:00,61
2019-11-17 04:51:00,60
2019-11-17 04:52:00,59
2019-11-17 04:53:00,60
2019-11-17 04:54:00,60
2019-11-17 04:55:00,61
2019-11-17 04:56:00,61
2019-11-17 04:57:00,60
2019-11-17 04:58:00,61
2019-11-17 04:59:00,61
2019-11-17 05:00:00,54
2019-11-17 05:01:00,59
2019-11-17 05:02:00,60
2019-11-17 05:03:00,61
2019-11-17 05:04:00,61
2019-11-17 05:05:00,59
2019-11-17 05:06:00,58
2019-11-17 05:07:00,60
2019-11-17 05:08:00,59
2019-11-17 05:09:00,61
2019-11-17 05:10:00,61
2019-11-17 05:11:00,60
2019-11-17 05:12:00,61
2019-11-17 05:13:00,59
2019-11-17 05:14:00,58
2019-11-17 05:15:00,61
2019-11-17 05:16:00,60
2019-11-17 05:17:00,59
2019-11-17 05:18:00,61
2019-11-17 05:19:00,61
2019-11-17 05:20:00,60
2019-11-17 05:21:00,61
2019-11-17 05:22:00,61
2019-11-17 05:23:00,61
2019-11-17 05:24:00,61
2019-11-17 05:25:00,61
2019-11-17 05:26:00,61
2019-11-17 05:27:00,62
2019-11-17 05:28:00,59
2019-11-17 05:29:00,61
2019-11-17 05:30:00,58
2019-11-17 05:31:00,61
2019-11-17 05:32:00,59
2019-11-17 05:33:00,61
2019-11-17 05:34:00,60
2019-11-17 05:35:00,60
2019-11-17 05:36:00,60
2019-11-17 05:37:00,59
2019-11-17 05:38:00,61
2019-11-17 05:39:00,59
2019-11-17 05:40:00,61
2019-11-17 05:41:00,60
2019-11-17 05:42:00,60
2019-11-17 05:43:00,62
2019-11-17 05:44:00,61
2019-11-17 05:45:00,59
2019-11-17 05:46:00,60
2019-11-17 05:47:00,59
2019-11-17 05:48:00,59
2019-11-17 05:49:00,59
2019-11-17 05:50:00,60
2019-11-17 05:51:00,61
2019-11-17 05:52:00,60
2019-11-17 05:53:00,60
2019-11-17 05:54:00,61
2019-11-17 05:55:00,61
2019-11-17 05:56:00,60
2019-11-17 05:57:00,59
2019-11-17 05:58:00,61
2019-11-17 05:59:00,61
2019-11-17 06:00:00,53
2019-11-17 06:01:00,60
2019-11-17 06:02:00,60
2019-11-17 06:03:00,60
2019-11-17 06:04:00,59
2019-11-17 06:05:00,58
2019-11-17 06:06:00,61
2019-11-17 06:07:00,58
2019-11-17 06:08:00,60
2019-11-17 06:09:00,59
2019-11-17 06:10:00,59
2019-11-17 06:11:00,56
2019-11-17 06:12:00,59
2019-11-17 06:13:00,60
2019-11-17 06:14:00,62
2019-11-17 06:15:00,61
2019-11-17 06:16:00,61
2019-11-17 06:17:00,61
2019-11-17 06:18:00,60
2019-11-17 06:19:00,61
2019-11-17 06:20:00,61
2019-11-17 06:21:00,42
2019-11-17 11:16:00,3
2019-11-17 11:17:00,59
2019-11-17 11:18:00,58
2019-11-17 11:19:00,60
2019-11-17 11:20:00,61
2019-11-17 11:21:00,57
2019-11-17 11:22:00,58
2019-11-17 11:23:00,59
2019-11-17 11:24:00,59
2019-11-17 11:25:00,59
2019-11-17 11:26:00,57
2019-11-17 11:27:00,60
2019-11-17 11:28:00,60
2019-11-17 11:29:00,58
2019-11-17 11:30:00,57
2019-11-17 11:31:00,59
2019-11-17 11:32:00,59
2019-11-17 11:33:00,61
2019-11-17 11:34:00,60
2019-11-17 11:35:00,60
2019-11-17 11:36:00,59
2019-11-17 11:37:00,58
2019-11-17 11:38:00,58
2019-11-17 11:39:00,58
2019-11-17 11:40:00,57
2019-11-17 11:41:00,60
2019-11-17 11:42:00,56
2019-11-17 11:43:00,60
2019-11-17 11:44:00,61
2019-11-17 11:45:00,60
2019-11-17 11:46:00,57
2019-11-17 11:47:00,59
2019-11-17 11:48:00,60
2019-11-17 11:49:00,58
2019-11-17 11:50:00,59
2019-11-17 11:51:00,61
2019-11-17 11:52:00,59
2019-11-17 11:53:00,59
2019-11-17 11:54:00,59
2019-11-17 11:55:00,60
2019-11-17 11:56:00,58
2019-11-17 11:57:00,60
2019-11-17 11:58:00,60
2019-11-17 11:59:00,59
2019-11-17 12:00:00,54
2019-11-17 12:01:00,59
2019-11-17 12:02:00,58
2019-11-17 12:03:00,26
2019-11-17 12:04:00,61
2019-11-17 12:05:00,60
2019-11-17 12:06:00,59
2019-11-17 12:07:00,56
2019-11-17 12:08:00,62
2019-11-17 12:09:00,59
2019-11-17 12:10:00,62
2019-11-17 12:11:00,61
2019-11-17 12:12:00,59
2019-11-17 12:13:00,59
2019-11-17 12:14:00,62
2019-11-17 12:15:00,52
2019-11-17 12:16:00,59
2019-11-17 12:17:00,61
2019-11-17 12:18:00,59
2019-11-17 12:19:00,61
2019-11-17 12:20:00,61
2019-11-17 12:21:00,60
2019-11-17 12:22:00,63
2019-11-17 12:23:00,57
2019-11-17 12:24:00,63
2019-11-17 12:25:00,60
2019-11-17 12:26:00,62
2019-11-17 12:27:00,61
2019-11-17 12:28:00,60
2019-11-17 12:29:00,64
2019-11-17 12:30:00,60
2019-11-17 12:31:00,60
2019-11-17 12:32:00,61
2019-11-17 12:33:00,60
2019-11-17 12:34:00,63
2019-11-17 12:35:00,62
2019-11-17 12:36:00,61
2019-11-17 12:37:00,62
2019-11-17 12:38:00,61
2019-11-17 12:39:00,62
2019-11-17 12:40:00,62
2019-11-17 12:41:00,61
2019-11-17 12:42:00,61
2019-11-17 12:43:00,59
2019-11-17 12:44:00,61
2019-11-17 12:45:00,61
2019-11-17 12:46:00,63
2019-11-17 12:47:00,61
2019-11-17 12:48:00,62
2019-11-17 12:49:00,61
2019-11-17 12:50:00,63
2019-11-17 12:51:00,62
2019-11-17 12:52:00,61
2019-11-17 12:53:00,62
2019-11-17 12:54:00,54
2019-11-17 12:55:00,62
2019-11-17 12:56:00,28
2019-11-19 18:42:00,1
2019-11-19 19:01:00,1
