145,"select top # objid, modelmag_u, modelmag_g, modelmag_r, modelmag_i, modelmag_z, z from SpecPhoto where (specclass = # or specclass = #) and zconf > .#"
2019-01-03 00:08:00,1
2019-02-25 04:30:00,1
2019-02-26 23:41:00,2
2019-02-26 23:44:00,1
2019-02-26 23:45:00,1
2019-02-26 23:48:00,3
2019-02-26 23:49:00,2
2019-03-03 11:28:00,1
2019-03-03 11:30:00,1
2019-03-03 11:35:00,1
2019-03-03 12:37:00,1
2019-03-03 12:39:00,1
2019-03-03 12:43:00,1
2019-03-05 23:24:00,3
2019-03-05 23:27:00,1
2019-03-05 23:30:00,1
2019-03-05 23:34:00,1
2019-03-05 23:35:00,1
2019-03-05 23:37:00,1
2019-03-05 23:39:00,1
2019-03-05 23:40:00,1
2019-03-05 23:41:00,1
2019-03-05 23:44:00,1
2019-03-05 23:47:00,1
2019-03-05 23:50:00,1
2019-03-12 21:52:00,1
2019-03-14 23:48:00,1
2019-03-15 02:56:00,1
2019-03-15 02:57:00,1
2019-03-15 03:23:00,1
2019-03-16 20:17:00,1
2019-03-17 15:31:00,1
2019-03-17 15:32:00,1
2019-03-17 22:29:00,1
2019-03-17 22:40:00,1
2019-03-17 22:44:00,1
2019-03-18 13:37:00,1
2019-03-19 01:00:00,1
2019-03-19 01:01:00,1
2019-03-19 01:39:00,1
2019-03-19 13:24:00,1
2019-03-19 18:40:00,1
2019-03-19 18:43:00,1
2019-03-25 14:56:00,1
2019-04-08 16:27:00,1
2019-04-08 16:28:00,2
2019-04-08 16:47:00,1
2019-04-08 16:56:00,1
2019-04-08 16:57:00,1
2019-04-08 18:38:00,1
2019-04-08 19:04:00,1
2019-04-15 00:31:00,1
2019-04-15 00:32:00,1
2019-04-16 05:14:00,1
2019-04-16 19:19:00,1
2019-04-16 19:25:00,13
2019-04-16 19:26:00,2
2019-04-16 19:27:00,4
2019-04-16 19:29:00,2
2019-04-16 19:31:00,1
2019-04-16 19:35:00,2
2019-04-16 19:36:00,1
2019-04-16 19:38:00,1
2019-04-16 19:40:00,1
2019-04-16 19:49:00,1
2019-04-16 20:08:00,1
2019-04-18 17:41:00,1
2019-04-18 17:56:00,1
2019-04-18 17:57:00,1
2019-04-18 18:00:00,1
2019-04-18 18:02:00,1
2019-04-18 18:03:00,1
2019-04-18 18:04:00,1
2019-04-22 18:32:00,1
2019-04-22 18:33:00,1
2019-04-22 20:05:00,1
2019-04-22 20:08:00,2
2019-04-25 03:53:00,1
2019-04-25 03:56:00,2
2019-04-25 04:06:00,2
2019-04-25 04:08:00,1
2019-04-25 16:33:00,1
2019-04-25 16:36:00,1
2019-04-25 16:39:00,1
2019-04-30 07:31:00,1
2019-04-30 14:54:00,1
2019-05-03 11:28:00,1
2019-05-07 01:29:00,1
2019-05-07 03:08:00,1
2019-06-26 14:03:00,1
2019-06-26 14:05:00,2
2019-06-26 14:09:00,1
2019-06-26 14:14:00,1
2019-06-26 14:17:00,1
2019-06-26 14:19:00,1
2019-06-26 14:23:00,1
2019-06-27 11:06:00,1
2019-07-03 03:22:00,1
2019-07-07 10:31:00,1
2019-07-12 15:21:00,2
2019-07-13 21:04:00,1
2019-07-17 12:00:00,1
2019-07-18 17:50:00,1
2019-07-21 23:19:00,1
2019-08-05 07:38:00,1
2019-09-09 19:47:00,1
2019-09-19 15:07:00,1
2019-11-06 15:58:00,1
2019-11-06 16:48:00,1
2019-11-06 23:58:00,1
2019-12-14 02:22:00,1
2019-12-17 21:14:00,1
2019-12-17 21:51:00,1
2019-12-17 21:52:00,2
