62,"SELECT p.objId as OBJID, p.ra as RA, p.dec as DEC, p.type as PHOTPTYPE, dbo.fPhotoTypeN (p.type) as PHOT_SG, p.flags as FLAGS, p.clean, flags & dbo.fPhotoFlags (#) as SATURATED, flags & dbo.fPhotoFlags (#) as BAD_COUNTS_ERROR, flags & dbo.fPhotoFlags (#) as BINNED1, flags & dbo.fPhotoFlags (#) as TOO_FEW_GOOD_DETECTIONS, p.modelMag_u as u, p.modelMag_g as g, p.modelMag_r as r, p.modelMag_i as i, p.modelMag_z as z, p.modelMagErr_u as u_err, p.modelMagErr_g as g_err, p.modelMagErr_r as r_err, p.modelMagErr_i as i_err, p.modelMagErr_z as z_err, p.MODELMAGERR_U, p.MODELMAGERR_G, p.MODELMAGERR_R, p.MODELMAGERR_I, p.MODELMAGERR_Z, p.EXTINCTION_U, p.EXTINCTION_G, p.EXTINCTION_R, p.EXTINCTION_I, p.EXTINCTION_Z, p.DERED_U, p.DERED_G, p.DERED_R, p.DERED_I, p.DERED_Z, p.PETRORAD_U, p.PETRORAD_G, p.PETRORAD_R, p.PETRORAD_I, p.PETRORAD_Z, p.PETRORADERR_U, p.PETRORADERR_G, p.PETRORADERR_R, p.PETRORADERR_I, p.PETRORADERR_Z, p.DEVRAD_U, p.DEVRADERR_U, p.DEVRAD_G, p.DEVRADERR_G, p.DEVRAD_R, p.DEVRADERR_R, p.DEVRAD_I, p.DEVRADERR_I, p.DEVRAD_Z, p.DEVRADERR_Z, p.DEVAB_U, p.DEVAB_G, p.DEVAB_R, p.DEVAB_I, p.DEVAB_Z, p.CMODELMAG_U, p.CMODELMAGERR_U, p.CMODELMAG_G, p.CMODELMAGERR_G, p.CMODELMAG_R, p.CMODELMAGERR_R, p.CMODELMAG_I, p.CMODELMAGERR_I, p.CMODELMAG_Z, p.CMODELMAGERR_Z, p.PSFMAG_U, p.PSFMAGERR_U, p.PSFMAG_G, p.PSFMAGERR_G, p.PSFMAG_R, p.PSFMAGERR_R, p.PSFMAG_I, p.PSFMAGERR_I, p.PSFMAG_Z, p.PSFMAGERR_Z, p.FIBERMAG_U, p.FIBERMAGERR_U, p.FIBERMAG_G, p.FIBERMAGERR_G, p.FIBERMAG_R, p.FIBERMAGERR_R, p.FIBERMAG_I, p.FIBERMAGERR_I, p.FIBERMAG_Z, p.FIBERMAGERR_Z, p.FRACDEV_U, p.FRACDEV_G, p.FRACDEV_R, p.FRACDEV_I, p.FRACDEV_Z, p.Q_U, p.U_U, p.Q_G, p.U_G, p.Q_R, p.U_R, p.Q_I, p.U_I, p.Q_Z, p.U_Z, p.EXPAB_U, p.EXPRAD_U, p.EXPPHI_U, p.EXPAB_G, p.EXPRAD_G, p.EXPPHI_G, p.EXPAB_R, p.EXPRAD_R, p.EXPPHI_R, p.EXPAB_I, p.EXPRAD_I, p.EXPPHI_I, p.EXPAB_Z, p.EXPRAD_Z, p.EXPPHI_Z, p.FIBER2MAG_R, p.FIBER2MAGERR_R, p.EXPMAG_R, p.EXPMAGERR_R, p.PETROR5#_R, p.PETROR9#_R, p.PETROMAG_R, p.expMag_r + #*log1# (#*PI () *p.expRad_r*p.expRad_r + #e-#) as SB_EXP_R, p.petroMag_r + #*log1# (#*PI () *p.petroR5#_r*p.petroR5#_r) as SB_PETRO_R, IS# (w.j_m_#mass, #) as J, IS# (w.j_msig_#mass, #) as JERR, IS# (w.H_m_#mass, #) as H, IS# (w.h_msig_#mass, #) as HERR, IS# (w.k_m_#mass, #) as K, IS# (w.k_msig_#mass, #) as KERR, s.survey, IS# (s.z, #) as SPEC_Z, IS# (s.zErr, #) as SPEC_Z_ERR, IS# (s.zWarning, #) as SPEC_Z_WARN, IS# (pz.z, #) as PHOTOZ, IS# (pz.zerr, #) as PHOTOZ_ERR FROM dbo.fGetNearbyObjEq (#, #, #) n, PhotoPrimary p LEFT JOIN SpecObj s ON p.objID = s.bestObjID LEFT JOIN PHOTOZ pz ON p.ObjID = pz.ObjID LEFT join WISE_XMATCH as wx on p.objid = wx.sdss_objid LEFT join wise_ALLSKY as w on wx.wise_cntr = w.cntr WHERE n.objID = p.objID"
2019-11-21 11:31:00,1
2019-11-21 11:32:00,1
2019-11-21 11:33:00,1
2019-11-21 11:35:00,1
2019-11-21 11:36:00,1
2019-11-21 11:37:00,1
2019-11-21 11:38:00,1
2019-11-21 11:39:00,1
2019-11-21 11:40:00,1
2019-11-21 11:41:00,1
2019-11-21 11:43:00,2
2019-11-21 11:45:00,1
2019-11-21 11:46:00,1
2019-11-21 11:47:00,1
2019-11-21 11:48:00,1
2019-11-21 11:49:00,1
2019-11-21 11:50:00,1
2019-11-21 11:51:00,1
2019-11-21 11:52:00,1
2019-11-21 11:53:00,1
2019-11-21 11:54:00,1
2019-11-21 11:55:00,1
2019-11-21 11:56:00,1
2019-11-21 11:57:00,1
2019-11-21 11:58:00,1
2019-11-21 11:59:00,1
2019-11-21 12:00:00,1
2019-11-21 12:01:00,1
2019-11-21 12:02:00,1
2019-11-21 12:03:00,1
2019-11-21 12:04:00,1
2019-11-21 12:05:00,1
2019-11-21 12:06:00,1
2019-11-21 12:07:00,1
2019-11-21 12:08:00,1
2019-11-21 12:09:00,1
2019-11-21 12:10:00,1
2019-11-21 12:11:00,1
2019-11-21 12:12:00,1
2019-11-21 12:13:00,1
2019-11-21 12:14:00,1
2019-11-21 12:16:00,1
2019-11-21 12:17:00,1
2019-11-21 12:18:00,1
2019-11-21 12:19:00,1
2019-11-21 12:20:00,1
2019-11-21 12:21:00,1
2019-11-21 13:21:00,1
2019-11-21 13:33:00,1
2019-11-21 13:34:00,1
2019-11-21 13:36:00,1
2019-11-21 13:37:00,1
2019-11-21 13:38:00,1
2019-11-21 13:39:00,1
2019-11-21 13:40:00,1
2019-11-21 13:46:00,1
2019-11-21 13:47:00,1
2019-11-21 13:50:00,1
2019-11-21 13:51:00,1
2019-11-21 13:52:00,1
2019-11-21 13:53:00,1
