61,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid, s.velDisp FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-11-24 12:02:00,1
2019-11-25 05:46:00,1
2019-11-25 06:20:00,1
2019-11-26 05:38:00,1
2019-11-26 05:50:00,1
2019-11-27 07:17:00,1
2019-11-27 07:45:00,1
2019-11-27 08:10:00,1
2019-11-27 08:11:00,2
2019-11-27 08:13:00,2
2019-11-27 08:20:00,1
2019-11-27 08:24:00,1
2019-11-27 08:26:00,1
2019-11-27 10:12:00,2
2019-11-27 10:15:00,1
2019-11-27 14:47:00,1
2019-11-27 15:07:00,3
2019-11-27 15:08:00,1
2019-11-28 05:24:00,1
2019-11-28 05:27:00,1
2019-11-28 05:28:00,2
2019-11-28 05:29:00,1
2019-11-28 05:32:00,1
2019-11-28 05:34:00,3
2019-11-28 05:35:00,1
2019-11-28 07:41:00,2
2019-11-28 09:53:00,1
2019-11-28 09:54:00,2
2019-11-28 09:55:00,2
2019-11-28 10:29:00,1
2019-11-28 10:30:00,4
2019-11-28 10:31:00,1
2019-11-28 10:34:00,1
2019-11-28 10:35:00,3
2019-11-28 14:33:00,1
2019-11-28 14:38:00,2
2019-11-28 14:39:00,2
2019-11-28 14:43:00,1
2019-12-01 10:40:00,1
2019-12-01 11:28:00,2
2019-12-01 11:29:00,2
