139,"SELECT top # p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.g BETWEEN # AND #"
2019-02-03 09:48:00,1
2019-03-13 23:48:00,1
2019-03-14 01:09:00,1
2019-03-14 01:12:00,1
2019-03-14 01:16:00,1
2019-03-14 01:22:00,1
2019-03-14 01:27:00,1
2019-03-14 01:30:00,1
2019-03-14 01:33:00,1
2019-03-14 01:36:00,1
2019-03-14 01:45:00,1
2019-03-14 01:49:00,1
2019-03-14 01:51:00,1
2019-03-14 02:32:00,1
2019-03-14 02:33:00,1
2019-03-14 02:43:00,1
2019-03-14 03:18:00,1
2019-03-14 03:19:00,1
2019-03-14 03:21:00,1
2019-03-14 03:22:00,1
2019-03-14 03:24:00,1
2019-03-14 03:27:00,1
2019-03-14 03:28:00,1
2019-03-14 03:29:00,1
2019-03-14 03:59:00,1
2019-03-14 04:00:00,1
2019-03-14 04:03:00,2
2019-03-14 04:07:00,1
2019-03-14 04:10:00,2
2019-03-14 04:12:00,1
2019-03-14 04:42:00,1
2019-03-14 04:46:00,1
2019-03-14 04:55:00,1
2019-03-14 04:57:00,1
2019-03-14 05:02:00,1
2019-03-14 05:06:00,1
2019-03-14 05:10:00,1
2019-03-14 05:56:00,1
2019-03-14 05:58:00,1
2019-03-14 06:02:00,1
2019-03-14 06:04:00,1
2019-03-14 06:07:00,1
2019-03-14 20:19:00,1
2019-03-14 20:44:00,1
2019-03-14 20:47:00,1
2019-03-14 20:49:00,1
2019-03-14 20:56:00,1
2019-03-14 20:58:00,1
2019-03-14 20:59:00,1
2019-03-14 21:04:00,1
2019-03-15 02:59:00,1
2019-03-15 03:09:00,1
2019-03-15 03:14:00,1
2019-03-15 03:18:00,1
2019-03-15 03:25:00,1
2019-03-15 03:30:00,1
2019-03-15 03:59:00,1
2019-03-15 10:52:00,1
2019-03-15 10:54:00,1
2019-03-15 11:09:00,2
2019-03-15 11:32:00,1
2019-03-15 11:33:00,1
2019-03-15 12:02:00,1
2019-03-15 12:10:00,1
2019-03-15 12:19:00,1
2019-03-15 12:22:00,1
2019-03-15 12:25:00,1
2019-03-19 07:08:00,1
2019-03-19 07:38:00,1
2019-03-19 09:06:00,1
2019-03-19 09:13:00,1
2019-03-19 09:21:00,1
2019-03-19 09:30:00,1
2019-03-19 09:33:00,1
2019-03-19 09:44:00,1
2019-03-19 11:33:00,1
2019-03-19 12:24:00,1
2019-03-19 12:25:00,1
2019-03-19 12:26:00,1
2019-03-19 12:27:00,1
2019-03-19 12:28:00,1
2019-03-19 12:30:00,2
2019-03-19 12:31:00,2
2019-03-29 02:21:00,1
2019-03-29 02:26:00,1
2019-03-29 02:32:00,1
2019-03-29 02:34:00,1
2019-03-29 02:40:00,1
2019-03-29 02:44:00,1
2019-03-29 02:45:00,1
2019-03-29 02:52:00,1
2019-03-29 02:58:00,1
2019-03-29 03:00:00,1
2019-03-29 03:26:00,1
2019-03-29 03:29:00,1
2019-03-29 03:36:00,1
2019-03-29 03:38:00,1
2019-03-29 03:42:00,1
2019-03-29 04:03:00,1
2019-03-29 04:05:00,1
2019-03-29 04:08:00,1
2019-03-29 04:09:00,1
2019-03-29 04:11:00,1
2019-03-29 04:16:00,1
2019-03-29 04:17:00,1
2019-03-29 04:21:00,1
2019-03-29 04:29:00,1
2019-03-29 04:32:00,1
2019-03-29 05:34:00,1
2019-03-31 08:06:00,1
2019-03-31 08:10:00,1
2019-03-31 08:13:00,1
2019-03-31 08:35:00,1
2019-03-31 08:37:00,1
2019-03-31 08:40:00,1
2019-03-31 08:42:00,1
2019-03-31 08:47:00,1
2019-03-31 08:55:00,1
2019-05-22 05:49:00,1
2019-05-22 06:00:00,1
2019-08-23 06:26:00,1
2019-08-23 06:32:00,1
2019-08-23 06:36:00,1
2019-08-23 06:38:00,1
2019-08-23 06:39:00,1
2019-08-23 06:44:00,1
2019-08-23 06:47:00,1
2019-08-23 06:49:00,1
2019-08-23 06:52:00,1
2019-08-23 06:54:00,1
2019-08-23 06:57:00,1
2019-08-23 06:58:00,1
2019-09-27 23:58:00,1
2019-09-27 23:59:00,1
