30,"SELECT TOP # p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetObjFromRect (#, #, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.u between # AND # AND p.g between # AND # AND p.i between # AND # AND p.r between # AND # AND p.z between # AND #"
2019-02-04 13:01:00,1
2019-02-05 05:11:00,1
2019-02-05 10:48:00,1
2019-02-08 08:38:00,1
2019-02-08 08:43:00,1
2019-05-07 10:59:00,1
2019-05-07 11:00:00,1
2019-05-31 20:25:00,1
2019-08-06 07:55:00,1
2019-08-06 07:57:00,1
2019-08-06 07:58:00,1
2019-08-06 08:00:00,1
2019-08-06 08:01:00,1
2019-08-06 08:04:00,1
2019-08-13 00:42:00,1
2019-08-13 00:44:00,1
2019-08-13 00:45:00,2
2019-08-13 00:47:00,1
2019-09-24 08:05:00,1
2019-09-24 08:20:00,1
2019-10-13 14:51:00,1
2019-10-13 14:56:00,1
2019-11-01 12:59:00,1
2019-11-01 13:03:00,1
2019-11-01 13:04:00,1
2019-12-04 10:38:00,1
2019-12-12 06:03:00,1
2019-12-12 06:04:00,2
