20,"SELECT f.aa_r, f.kk_r, f.airmass_r, f.gain_r, f.sky_r, f.skysig_r, f.run, f.rerun, f.camcol, f.field FROM PhotoObjAll as p JOIN Field as f ON (f.run = p.run AND f.rerun = p.rerun AND f.camcol = p.camcol AND f.field = p.field) WHERE p.objID = #"
2019-12-10 15:19:00,1
2019-12-10 15:27:00,1
2019-12-10 15:33:00,1
2019-12-10 15:39:00,1
2019-12-10 16:09:00,1
2019-12-10 16:47:00,1
2019-12-10 16:52:00,1
2019-12-10 16:55:00,1
2019-12-10 17:08:00,1
2019-12-10 17:11:00,1
2019-12-10 17:14:00,1
2019-12-10 19:43:00,1
2019-12-10 19:44:00,1
2019-12-10 19:45:00,2
2019-12-10 19:49:00,1
2019-12-10 19:51:00,2
2019-12-10 23:47:00,1
2019-12-13 12:34:00,1
