27,"select z, ra, dec, bestObjID from specObj where class = # AND z > # AND zWarning = #"
2019-02-05 17:32:00,1
2019-02-05 17:40:00,1
2019-02-13 15:28:00,1
2019-02-13 15:32:00,1
2019-02-13 15:33:00,1
2019-02-13 15:35:00,1
2019-02-13 15:37:00,1
2019-02-13 15:57:00,1
2019-06-20 17:44:00,1
2019-06-27 21:22:00,3
2019-07-19 15:55:00,1
2019-09-24 11:00:00,4
2019-09-24 11:01:00,2
2019-10-03 16:22:00,1
2019-10-15 18:29:00,1
2019-10-18 04:26:00,1
2019-11-20 18:34:00,1
2019-11-20 18:35:00,3
2019-12-22 05:22:00,1
